"Year","LUC","LUC_upper","LUC_lower","Emissions","Plus1SD","Minus1SD","Total emissions","Plus1SD","Minus1SD"
2011,1.744693,2.444693,1.044693,9.246968,9.709316,8.784620,10.991661,11.830569,10.152754
2012,1.823723,2.523723,1.123723,9.368677,9.837111,8.900243,11.192400,12.034677,10.350124
2013,1.724760,2.424760,1.024760,9.446467,9.918790,8.974143,11.171227,12.015673,10.326781
2014,1.749430,2.449430,1.049430,9.492256,9.966869,9.017643,11.241686,12.087415,10.395957
2015,1.777463,2.477463,1.077463,9.473014,9.946665,8.999363,11.250477,12.095667,10.405288
2016,1.467400,2.167400,0.767400,9.467442,9.940814,8.994069,10.934842,11.779875,10.089808
2017,1.448627,2.148627,0.748627,9.623218,10.104378,9.142057,11.071844,11.921265,10.222423
2018,1.332430,2.032430,0.632430,9.825995,10.317294,9.334695,11.158425,12.013629,10.303220
2019,1.333837,2.033837,0.633837,9.912306,10.407921,9.416690,11.246142,12.103834,10.388451
2020,1.232680,1.932680,0.532680,9.381938,9.851035,8.912842,10.614618,11.457264,9.771973
2021,1.271043,1.971043,0.571043,9.837500,10.329375,9.345625,11.108543,11.964079,10.253008
2022,1.306057,2.006057,0.606057,10.021400,10.522470,9.520330,11.327457,12.188311,10.466602
2023,1.295183,1.995183,0.595183,10.169475,10.677949,9.661002,11.464659,12.329844,10.599473
2024,1.251503,1.951503,0.551503,10.310256,10.825769,9.794743,11.561759,12.431100,10.692418
2025,1.130000,1.830000,0.430000,10.400246,11.022563,9.782242,11.530246,12.466877,10.596474
