"YYYYMM","Diesel","Natural gas","Flaring","Cold-vent CO2"
202002,0,50.521134,9.384702,0.381148
202003,0,57.456991,5.827991,2.462962
202004,0,61.258362,0.530655,2.585906
202005,0,65.175614,0.588562,2.563388
202006,9.095995,59.468566,2.305449,1.645764
202007,0,61.000299,1.091519,2.670953
202008,0,61.887297,1.483594,2.478545
202009,0,43.603373,2.133836,1.846413
202010,0,54.741520,2.990952,2.047692
202011,0,60.915784,1.205817,2.589370
202012,16.253942,59.793011,2.226459,2.424441
202101,0,60.723631,0.520954,2.407122
202102,0,53.669065,0.912139,1.987229
202103,0,59.293611,0.258831,2.406353
202104,0,60.119444,0.160347,2.363492
202105,0,10.478469,3.010494,0.246372
202106,18.876277,19.357973,3.571268,0
202107,0,47.719192,5.830928,0.686211
202108,0,51.590844,2.631309,1.649024
202109,0,52.797545,1.847999,1.915318
202110,0,57.688649,1.296607,2.721981
202111,0,52.912802,0.832076,2.663436
202112,12.425569,57.375856,0.484645,2.842422
202201,0,60.357525,1.173097,2.933320
202202,0,50.904124,0.502961,2.736380
202203,0,51.301265,1.712481,2.738127
202204,0,49.617423,0.633932,2.096191
202205,0,56.362566,0.740646,2.285369
202206,9.287487,55.377290,2.379048,2.510897
202207,0,59.930028,0.946866,2.826485
202208,0,55.193584,3.846042,1.471552
202209,0,56.041359,1.662689,2.481578
202210,0,55.802089,4.477216,2.169730
202211,0,42.909103,3.408132,0.870194
202212,13.844463,56.417548,3.059342,2.074359
202301,0,49.356552,2.830265,1.890465
202302,0,41.544148,1.535786,1.706799
202303,0,49.998854,1.186347,1.982407
202304,0,61.471899,2.093764,1.617202
202305,0,66.684531,2.119787,1.472147
202306,9.734933,56.011315,3.027046,1.989983
202307,0,63.155967,1.093907,1.436828
202308,0,54.527145,2.302017,0.483297
202309,0,47.073953,5.114356,1.076573
202310,0,54.340871,2.709596,0.684779
202311,0,51.943187,3.471794,0.909740
202312,12.324514,54.133974,0.497280,2.162872
202401,0,60.313634,0.734733,1.860572
202402,0,50.492674,0.802115,1.723827
202403,0,50.035851,1.247339,0.980485
202404,0,51.154106,1.012529,1.790132
202405,0,54.074625,0.533229,0.690042
202406,10.809670,52.251277,0.333593,0.000008
202407,0,53.737008,0.923299,0.000002
202408,0,36.394430,4.393440,0
202409,0,8.593976,1.112071,0
202410,0,46.775724,1.503689,0.000158
202411,0,42.800557,2.375435,0.000065
202412,20.211565,45.414810,1.908679,0.000079
202501,0,49.476799,0.538928,0.000162
202502,0,39.349544,2.031472,0.000045
202503,0,55.306179,1.081263,0.000091
202504,0,53.630393,1.547095,0.000016
202505,0,55.805869,0.946144,0.000012
202506,20.805975,53.785805,0.582606,0.000028
202507,0,57.383130,0.418771,0
202508,0,56.170338,0.528249,0.000002
