"Year","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
2003,,15.131847,15.131835,15.131835,15.156257,15.156799,15.044370,15.044370,15.047608,15.040630,15.040629,15.253706,15.253729,15.253982,15.253785,15.255711,15.255754,15.211756,15.233466,15.233543,15.233543,15.240076
2004,,,15.559204,15.482170,15.502676,15.486147,15.369462,15.369462,15.372855,15.373910,15.373909,15.595204,15.595222,15.595430,15.595273,15.597189,15.597230,15.622277,15.646827,15.646872,15.646874,15.652997
2005,,,,15.775231,15.794591,15.729007,15.599855,15.599855,15.603154,15.609120,15.609119,15.834016,15.845852,15.847164,15.846450,15.848256,15.848299,15.801092,15.828643,15.828678,15.831931,15.838267
2006,,,,,15.887740,15.888249,15.740463,15.740463,15.743762,15.758780,15.764317,16.009982,16.009808,16.011170,16.010394,16.012193,16.012572,16.016378,16.044171,16.044200,16.043916,16.050003
2007,,,,,,16.011352,15.846137,15.846137,15.849593,15.871339,15.876376,16.124449,16.132000,16.133103,16.131203,16.133022,16.135298,16.163820,16.191315,16.191341,16.191469,16.197561
2008,,,,,,,16.872239,16.872239,16.872239,16.897664,16.901719,17.126962,17.140543,17.142750,17.134755,17.136572,17.141000,17.165123,17.193292,17.193311,17.193312,17.199455
2009,,,,,,,,15.319514,15.294134,15.308068,15.308067,15.564693,15.589914,15.591885,15.581806,15.583581,15.588856,15.429453,15.456685,15.456700,15.456701,15.462003
2010,,,,,,,,,15.378071,15.392226,15.392225,15.641330,15.647974,15.650194,15.641970,15.643762,15.651676,15.700600,15.728462,15.728472,15.728473,15.734245
2011,,,,,,,,,,15.420381,15.420380,15.650360,15.655521,15.658676,15.651954,15.653772,15.660111,15.626464,15.651629,15.651639,15.651639,15.657062
2012,,,,,,,,,,,14.917177,15.114333,15.117498,15.119853,15.111489,15.113236,15.122542,15.031058,15.054995,15.053869,15.053869,15.059403
2013,,,,,,,,,,,,14.397995,14.399349,14.401836,14.400717,14.402342,14.412629,14.323491,14.350591,14.345391,14.345391,14.353913
2014,,,,,,,,,,,,,12.709245,12.711951,12.710968,12.712278,12.719998,12.721444,12.749335,12.742386,12.742386,12.749418
2015,,,,,,,,,,,,,,12.834335,12.834487,12.835822,12.841249,12.839945,12.870681,12.863265,12.863265,12.876451
2016,,,,,,,,,,,,,,,13.651782,13.653193,13.656609,13.658804,13.698501,13.692732,13.692732,13.702377
2017,,,,,,,,,,,,,,,,13.415284,13.421353,13.742594,13.773093,13.768263,13.768255,13.788765
2018,,,,,,,,,,,,,,,,,13.611934,13.612563,13.644539,13.638237,13.638238,13.681721
2019,,,,,,,,,,,,,,,,,,13.118239,13.162346,13.154180,13.154177,13.167744
2020,,,,,,,,,,,,,,,,,,,12.028152,12.017763,12.017764,12.035845
2021,,,,,,,,,,,,,,,,,,,,12.226928,12.226658,12.243935
2022,,,,,,,,,,,,,,,,,,,,,11.915312,11.942247
2023,,,,,,,,,,,,,,,,,,,,,,11.314449
