"YYYYMM","Diesel","Natural gas","Flaring","Cold-vent CO2"
201505,0,22.824849,1.443461,0.067184
201506,0.036565,23.572742,1.409993,0.000405
201507,0,23.545986,1.892874,0.137558
201508,0,18.783409,1.368376,0.002880
201509,0,21.612882,1.346994,0.009086
201510,0,23.610682,1.293313,0.068968
201511,0,22.730958,1.087121,0.000401
201512,0.059587,22.646825,1.489724,0.258805
201601,0,22.618894,1.089805,0.003671
201602,0,20.379561,1.142312,0.023815
201603,0,22.433440,1.143961,0.006374
201604,0,21.689521,1.233601,0.098142
201605,0,24.000195,1.332320,0.000386
201606,0.011750,20.887230,1.267467,4.566522
201607,0,24.856625,1.266746,0
201608,0,20.110720,1.289065,0.000318
201609,0,11.778808,0.691040,0.000427
201610,0,23.789840,1.225893,0.000057
201611,0,21.609796,1.121230,0.157094
201612,0.060958,23.036587,1.068507,0.001971
201701,0,22.775337,1.567788,0.002594
201702,0,21.082556,0.928177,0
201703,0,17.662965,1.028260,0
201704,0,23.098175,0.896170,0
201705,0,24.970144,1.001829,0
201706,0,23.781708,1.035774,0.261982
201707,0,24.376173,0.729079,0
201708,0,19.150676,0.953864,0.721605
201709,0,22.821580,0.633387,0.833549
201710,0,24.531048,0.612473,0
201711,0,22.783716,0.553839,0
201712,7.261520,23.212037,0.571394,0
201801,0,22.168359,0.605632,0
201802,0,21.257004,0.533283,0.171208
201803,0,22.609577,0.632650,0.448461
201804,0,23.643250,0.544320,0
201805,0,24.660223,0.563598,0
201806,4.436542,23.752898,0.565801,0
201807,0,24.549100,0.600402,0
201808,0,22.895338,0.782937,0
201809,0,0.057294,0.096075,0
201810,0,23.388645,0.847883,0.794335
201811,0,23.427208,0.718176,0.068153
201812,0,15.584257,1.016486,0.037373
201901,0,24.079327,0.595846,0.002566
201902,0,21.288427,0.546519,0.004931
201903,0,20.590796,0.949268,0.121556
201904,0,22.937363,0.664148,0
201905,0,23.597512,0.673428,0
201906,0,21.987275,1.042165,0.013365
201907,0,22.437488,0.699371,0.000726
201908,0,23.095250,0.661599,0.060516
201909,0,17.056118,0.867473,0.006692
201910,0,22.428082,0.796469,0.002546
201911,0,21.935870,0.917126,0.041238
201912,0,22.611814,1.137063,0.049352
202001,0,22.591000,1.142460,0.005012
202002,0,21.014440,0.939615,0.029171
202003,0,20.598442,1.090391,0.689366
202004,0,21.312263,0.920749,0.349628
202005,0,22.074774,0.942150,0.000449
202006,0,19.580785,0.953192,0.000971
202007,0,20.668123,0.938031,0
202008,0,21.489406,0.942482,0.000107
202009,0,15.141531,0.930493,0.162923
202010,0,21.104150,1.018091,0.000154
202011,0,20.846807,0.871357,0
202012,0,21.853150,0.985295,0.033819
202101,0,20.874990,0.960311,1.170675
202102,0,18.525875,0.830032,0.044979
202103,0,13.840602,0.825715,0.025189
202104,0,21.199423,0.797755,0.571762
202105,0,22.128043,0.896020,0
202106,0,21.220756,0.691236,0
202107,0,21.117534,0.731138,0.000034
202108,0,17.554115,0.732391,0.031430
202109,0,3.094484,0.573533,0.034307
202110,0,19.437765,0.812062,0.285338
202111,0,18.975525,0.863353,0.004296
202112,0,19.787635,0.941847,0.028773
202201,0,20.052751,0.858159,0.125543
202202,0,18.668584,0.871680,0
202203,0,17.973011,0.895587,0.035102
202204,0,13.248917,0.856099,0.063849
202205,0,19.175481,0.727542,0
202206,0,18.603695,0.700002,0
202207,0,13.446256,0.930697,0.000633
202208,0,13.613460,0.751309,0
202209,0,12.952608,0.705207,0.090446
202210,0,12.983283,0.695577,0
202211,0,16.186778,0.666474,0.038668
202212,0,13.588799,0.718815,0.000026
202301,0,13.604626,1.203107,0
202302,0,12.457471,0.675782,0
202303,0,11.838893,0.979339,0.000018
202304,0,15.998590,0.763538,0.039926
202305,0,18.641339,0.687965,0
202306,0,17.954936,0.672222,0
202307,0,18.898491,0.704562,0.033239
202308,0,15.518015,0.764954,0.076296
202309,0,7.363148,0.690796,0.040643
202310,0,14.871332,0.798014,0.076354
202311,0,13.251038,0.745966,0.000172
202312,0,13.819426,0.787753,0.000645
202401,0,13.956160,1.317160,0
202402,0,13.120159,1.048329,0.026693
202403,0,12.511537,1.062575,0
202404,0,14.669021,0.788208,0.124262
202405,0,17.562758,0.696155,0.028461
202406,0,15.430085,0.644368,0.015296
202407,0,14.221187,0.739548,0.001137
202408,0,14.506774,1.053265,0.011965
202409,0,2.568552,0.464481,0.001813
202410,0,12.157338,1.274328,0.000071
202411,0,13.614387,0.587406,0
202412,1.222081,14.168547,0.651151,0
202501,1.557394,14.330606,0.678993,0
202502,1.389467,10.560662,0.570246,0
202503,1.560103,12.926734,0.923013,0
202504,1.500516,14.005688,0.624871,0
202505,1.684694,15.215116,0.543186,1.393202
202506,1.860748,14.406169,0.600564,0.206523
