"Year","China","USA","India","EU27","Russia","Japan","World"
1996,2.856649,20.867321,0.837625,8.765924,10.704888,9.955717,4.164388
1997,2.840192,20.881930,0.856012,8.598218,10.019229,9.873960,4.131378
1998,2.698500,20.785180,0.857394,8.565519,9.922302,9.536929,4.059213
1999,2.833504,20.789043,0.923367,8.426206,10.141275,9.807552,4.096031
2000,2.886820,21.282460,0.930930,8.438622,10.072826,9.968097,4.148800
2001,2.929515,20.694748,0.927297,8.555709,10.364425,9.832655,4.125716
2002,3.203187,20.621824,0.939750,8.538371,10.349519,10.046952,4.162733
2003,3.756086,20.645629,0.955542,8.695486,10.604022,10.097813,4.327484
2004,4.023198,20.795028,0.997855,8.682902,10.695658,10.048420,4.421495
2005,4.507749,20.658025,1.034603,8.634430,10.866317,10.096342,4.515645
2006,4.945851,20.192239,1.102451,8.645381,11.322848,9.908319,4.611727
2007,5.284508,20.248576,1.170476,8.496679,11.345776,10.179146,4.688505
2008,5.639515,19.349745,1.234271,8.287770,11.545911,9.620694,4.708763
2009,5.892710,17.765031,1.317558,7.589321,10.792086,9.080701,4.572416
2010,6.394178,18.252019,1.352022,7.783861,11.398726,9.482800,4.774950
2011,7.024069,17.669734,1.403215,7.547387,11.759599,9.880664,4.878259
2012,7.156134,16.876879,1.510960,7.378732,11.844850,10.214783,4.887112
2013,7.235177,17.158994,1.545232,7.185157,11.395340,10.301605,4.868795
2014,7.212194,17.168006,1.643411,6.869910,11.366104,9.914011,4.830362
2015,7.077095,16.562983,1.688923,6.990574,11.327114,9.612498,4.767311
2016,6.963967,16.053693,1.758998,6.979746,11.266587,9.474347,4.713752
2017,7.095308,15.804430,1.791917,7.024785,11.454742,9.375188,4.735624
2018,7.291804,16.191355,1.894121,6.863767,11.757415,9.048934,4.780249
2019,7.535168,15.739861,1.889137,6.527037,11.698945,8.788165,4.778430
2020,7.653495,14.034053,1.734155,5.900400,11.213839,8.307600,4.479880
2021,8.028589,14.932488,1.899894,6.293982,11.798489,8.521657,4.676995
2022,7.960333,15.013372,1.997756,6.125599,12.453518,8.331365,4.676281
2023,8.348701,14.445414,2.143543,5.592555,12.571794,8.019698,4.697341
