"Year","Coal","Oil","Gas","Others","Land-use change"
1944,3.869074,1.068820,0.197601,0.022664,5.698399
1945,2.999808,1.045860,0.216698,0.022986,5.692299
1946,3.235935,1.108510,0.223835,0.036306,5.647552
1947,3.623063,1.246564,0.247890,0.043141,5.636322
1948,3.740633,1.370652,0.280124,0.051635,5.550291
1949,3.547168,1.294042,0.300456,0.058189,5.476196
1950,3.881695,1.549886,0.353151,0.140524,6.207054
1951,4.085879,1.718226,0.416182,0.155641,6.559806
1952,4.031568,1.817347,0.447081,0.166110,6.478080
1953,4.062390,1.936623,0.474524,0.170894,6.589081
1954,4.054793,2.052920,0.501350,0.174746,6.980460
1955,4.387063,2.298363,0.547230,0.204272,7.123228
1956,4.608936,2.498143,0.587231,0.224661,7.219500
1957,4.692079,2.611238,0.646670,0.228837,7.323567
1958,4.761802,2.718585,0.705831,0.224809,7.191314
1959,4.954151,2.897077,0.758234,0.236938,7.743690
1960,5.157615,3.120796,0.834559,0.246534,6.706009
1961,4.943318,3.310092,0.882050,0.250364,6.820527
1962,4.927626,3.559353,0.967733,0.262298,6.330696
1963,5.107100,3.804558,1.046872,0.276491,6.161282
1964,5.212510,4.105110,1.152918,0.318947,5.858828
1965,5.288551,4.410039,1.230599,0.346880,5.625101
1966,5.349521,4.759411,1.339910,0.377583,5.222830
1967,5.261415,5.075051,1.433029,0.430675,5.400855
1968,5.319157,5.528780,1.559666,0.459087,5.332402
1969,5.517706,5.979095,1.708626,0.514651,5.835973
1970,5.698194,6.799776,1.790807,0.565997,5.694103
1971,5.699531,7.201626,1.933470,0.624566,5.118095
1972,5.690899,7.765145,2.052238,0.668242,5.390559
1973,5.862566,8.223924,2.204517,0.742458,5.244082
1974,5.860910,8.106000,2.259645,0.732130,5.138403
1975,6.035416,8.037170,2.256240,0.676757,5.059334
1976,6.260573,8.539312,2.387563,0.751647,5.084176
1977,6.412998,8.839723,2.441855,0.754366,5.513770
1978,6.521982,9.156858,2.551141,0.788234,5.413056
1979,6.828803,9.273853,2.689876,0.764024,4.686751
1980,7.009021,8.949605,2.758971,0.722725,4.967532
1981,6.989387,8.548145,2.795240,0.643461,4.829940
1982,7.111624,8.342404,2.732192,0.639864,4.543699
1983,7.297980,8.257856,2.761513,0.626293,4.784955
1984,7.651011,8.325042,3.011532,0.607980,5.639079
1985,8.201961,8.323233,3.122311,0.607818,5.290963
1986,8.321164,8.572972,3.046904,0.612691,5.527181
1987,8.598429,8.644375,3.308479,0.622724,5.339804
1988,8.893930,8.962293,3.467422,0.669331,5.170985
1989,8.892310,9.118108,3.641542,0.645004,4.953343
1990,8.702585,9.244039,3.806152,0.753163,4.976601
1991,8.616416,9.703658,3.868078,0.782334,4.969987
1992,8.410125,9.208910,3.921804,0.771130,5.258005
1993,8.510980,9.217524,4.025106,0.785997,4.973862
1994,8.559984,9.250905,4.061520,0.904129,5.889376
1995,8.803751,9.336731,4.218191,0.949839,5.432402
1996,9.025066,9.619580,4.404707,0.986781,6.012542
1997,8.977649,9.764619,4.420749,1.015133,7.406565
1998,8.735663,9.883401,4.467569,0.996568,6.144464
1999,8.862773,10.135422,4.613602,1.022653,6.002914
2000,9.202369,10.270908,4.749870,1.071079,5.297219
2001,9.256887,10.348483,4.794540,1.093042,4.765243
2002,9.681149,10.332214,4.937363,1.109845,5.128116
2003,10.518779,10.603272,5.118302,1.208097,6.075681
2004,10.872461,10.998771,5.284549,1.245156,5.403988
2005,11.547437,11.105975,5.402538,1.316180,4.890982
2006,12.194091,11.221007,5.556997,1.403340,5.332146
2007,12.784673,11.252843,5.760267,1.477246,4.594583
2008,13.201743,11.202105,5.926722,1.483710,4.880311
2009,13.045025,10.956533,5.783895,1.512435,5.273980
2010,13.954141,11.323284,6.227937,1.604385,5.487912
2011,14.737899,11.361404,6.412035,1.718135,5.278267
2012,14.906987,11.494373,6.550136,1.771826,5.651894
2013,15.001508,11.577866,6.587851,1.839905,5.116153
2014,15.017948,11.606368,6.631221,1.889177,5.396193
2015,14.667684,11.831668,6.766760,1.835162,5.531587
2016,14.336130,11.962950,6.952650,1.864430,4.406253
2017,14.513114,12.149412,7.127798,1.896772,4.231022
2018,14.746245,12.249189,7.470226,1.961610,3.844718
2019,14.694929,12.411968,7.633772,2.058384,3.786744
2020,14.266885,10.960690,7.564561,2.039328,3.438994
2021,15.134601,11.530971,7.922980,2.101739,3.552779
2022,15.185965,11.909615,7.892689,2.004136,3.541036
2023,15.401220,12.208835,7.900098,1.980285,3.624905
