"Year","fossil_carbon","land-use_change","atmosphere","land","ocean","fossil_including_carbonation"
1884,1.009430,3.632251,2.372056,3.006312,1.450010,1.009430
1885,1.017145,3.631244,2.637434,1.196296,1.480384,1.017145
1886,1.032614,3.545341,2.870126,2.746168,1.491834,1.032614
1887,1.083728,3.691443,3.012542,3.063104,1.521751,1.083728
1888,1.200802,3.566419,3.076357,3.462480,1.533732,1.200802
1889,1.201516,3.677694,3.126164,2.154432,1.561762,1.201516
1890,1.306591,3.950332,3.164298,2.810288,1.589681,1.306591
1891,1.368916,4.160637,3.158072,0.765776,1.599080,1.368916
1892,1.379809,4.101830,3.093479,2.240536,1.626596,1.379809
1893,1.362515,4.288694,2.978300,1.967568,1.653893,1.362515
1894,1.411533,4.304165,2.834327,2.978832,1.682765,1.411533
1895,1.495239,4.309487,2.666228,2.608768,1.691376,1.495239
1896,1.544661,4.244625,2.436649,4.169632,1.719552,1.544661
1897,1.617493,4.404357,2.164268,4.515880,1.748314,1.617493
1898,1.705961,4.356936,1.949475,2.561136,1.758006,1.705961
1899,1.863135,4.447611,1.819510,1.284232,1.786988,1.863135
1900,1.961491,4.506097,1.768147,3.019136,1.799226,1.961491
1901,2.023964,4.532762,1.773594,0.338920,1.829270,2.023964
1902,2.074800,4.627220,1.828071,-0.553264,1.840885,2.074800
1903,2.262046,4.596937,1.926906,5.413560,1.872341,2.262046
1904,2.287509,4.679075,2.068545,4.812664,1.904346,2.287509
1905,2.437062,4.826743,2.233530,1.297056,1.916968,2.437062
1906,2.544486,4.837304,2.353378,4.010248,1.948937,2.544486
1907,2.900325,4.748535,2.451436,4.153144,1.982132,2.900325
1908,2.785687,4.838834,2.524590,4.446264,2.013386,2.785687
1909,2.901167,4.946189,2.567393,2.550144,2.045135,2.901167
1910,3.043326,4.746886,2.593853,3.372712,2.058875,3.043326
1911,3.090098,4.826761,2.657668,1.309880,2.089561,3.090098
1912,3.246477,4.686201,2.769733,2.401752,2.102989,3.246477
1913,3.516533,4.514552,2.891916,2.236872,2.133272,3.516533
1914,3.189786,4.596406,2.986861,4.048720,2.143880,3.189786
1915,3.140277,4.571142,3.063127,2.676552,2.175958,3.140277
1916,3.391973,4.522658,3.105930,4.435272,2.187390,3.391973
1917,3.548138,4.545375,3.109043,5.900872,2.216354,3.548138
1918,3.499686,4.548490,3.063127,3.075928,2.245098,3.499686
1919,3.033839,4.481264,2.966626,0.778600,2.257061,3.033839
1920,3.537837,4.603523,2.842109,3.979104,2.285347,3.537837
1921,3.106184,4.838953,2.745608,4.105512,2.314842,3.106184
1922,3.254463,4.802570,2.685684,2.198400,2.324167,3.254463
1923,3.690698,4.907736,2.663894,4.574504,2.353112,3.690698
1924,3.702777,4.921302,2.669341,2.394424,2.361979,3.702777
1925,3.740634,4.918444,2.687241,3.249968,2.388745,3.740634
1926,3.677407,4.930306,2.733156,1.608496,2.396567,3.677407
1927,4.012947,4.965856,2.791524,4.186120,2.403566,4.012947
1928,3.996312,4.939988,2.857674,1.335528,2.428298,3.996312
1929,4.288211,4.894106,2.898142,1.581016,2.433006,4.288211
1930,3.958096,5.020257,2.902033,2.387096,2.438337,3.958096
1931,3.531409,5.184844,2.899698,-0.298616,2.443357,3.531409
1932,3.185925,5.233410,2.895029,2.531824,2.463747,3.185925
1933,3.355917,5.297365,2.885690,2.616096,2.466385,3.355917
1934,3.648182,5.337779,2.870904,2.200232,2.467942,3.648182
1935,3.826531,5.261165,2.839774,1.756888,2.469298,3.826531
1936,4.198240,5.300571,2.781407,1.866808,2.469261,4.198240
1937,4.485134,5.368291,2.708253,1.782536,2.468712,4.485134
1938,4.217134,5.418085,2.617978,2.704032,2.467429,4.217134
1939,4.456871,5.357162,2.463109,4.816328,2.466806,4.456871
1940,4.872330,5.458343,2.224970,3.918648,2.466990,4.872330
1941,4.986009,5.738300,1.918346,1.756888,2.447662,4.986009
1942,4.970293,5.769243,1.575923,3.740944,2.448834,4.970293
1943,5.063666,5.720823,1.225718,3.920480,2.450648,5.063666
1944,5.152625,5.698399,0.951780,0.364568,2.454330,5.152625
1945,4.280240,5.692299,0.786016,2.702200,2.459405,4.280240
1946,4.597307,5.647552,0.746326,1.546208,2.485383,4.597307
1947,5.152221,5.636322,0.789129,4.493896,2.495495,5.152221
1948,5.432703,5.550291,0.917537,3.971776,2.524569,5.432703
1949,5.186789,5.476196,1.112096,2.707696,2.539445,5.186789
1950,5.910393,6.207054,1.329223,7.436088,2.574125,5.910393
1951,6.359097,6.559806,1.536233,3.500952,2.609977,6.359097
1952,6.443047,6.478080,1.760364,0.034808,2.668858,6.443047
1953,6.623790,6.589081,2.009399,3.834376,2.728361,6.623790
1954,6.759702,6.980460,2.283337,3.249968,2.773080,6.759702
1955,7.410870,7.123228,2.566614,6.630008,2.820071,7.410870
1956,7.889963,7.219500,2.842887,8.473000,2.869975,7.889963
1957,8.147093,7.323567,3.193092,3.119896,2.905424,8.147093
1958,8.375894,7.191314,6.380067,-0.009160,2.959834,8.375894
1959,8.808735,7.743690,7.471043,1.348352,3.590125,8.808735
1960,9.336879,6.706009,5.525459,4.017576,3.558248,9.336879
1961,9.361739,6.820527,6.070222,3.096080,3.118202,9.361739
1962,9.689836,6.330696,4.358108,4.832816,3.402162,9.689836
1963,10.205756,6.161282,4.435932,3.206000,4.042629,10.205756
1964,10.757708,5.858828,3.813345,5.814768,4.520048,10.757708
1965,11.240132,5.625101,8.560570,1.355680,4.885349,11.240132
1966,11.787011,5.222830,8.560570,5.318296,4.745384,11.787011
1967,12.158020,5.400855,4.747225,5.776296,4.145587,12.158020
1968,12.820243,5.332402,7.704513,8.661696,4.476080,12.820243
1969,13.671534,5.835973,10.272684,2.573960,4.894509,13.671534
1970,14.803387,5.694103,8.794040,2.416408,4.340879,14.803387
1971,15.402729,5.118095,5.681105,8.168888,4.625571,15.402729
1972,16.114420,5.390559,11.440034,4.352832,5.651125,16.114420
1973,16.967224,5.244082,11.362211,5.844080,5.245154,16.967224
1974,16.890431,5.138403,5.291988,13.637408,4.979880,16.890431
1975,16.929662,5.059334,9.572273,8.910848,4.679066,16.929662
1976,17.858961,5.084176,7.548866,10.931544,5.448506,17.858961
1977,18.359817,5.513770,14.942085,4.744880,5.844584,18.359817
1978,18.920877,5.413056,10.039213,9.191144,5.789258,18.920877
1979,19.455276,4.686751,16.654199,4.257568,5.667247,19.455276
1980,19.330279,4.967532,13.307795,1.366672,6.839360,19.330279
1981,18.861529,4.829940,8.949686,7.775008,6.541843,18.861529
1982,18.706802,4.543699,7.782336,5.532640,6.940853,18.706802
1983,18.822254,4.784955,14.241675,0.844552,7.657165,18.822254
1984,19.472993,5.639079,9.572273,9.826848,6.843024,19.472993
1985,20.132210,5.290963,12.840854,9.434800,6.526088,20.132210
1986,20.426755,5.527181,7.937983,8.658032,6.769744,20.426755
1987,21.053169,5.339804,20.623190,2.172752,7.144938,21.053169
1988,21.876635,5.170985,16.809846,7.298688,6.803819,21.876635
1989,22.178687,4.953343,11.362211,12.613320,6.712952,22.178687
1990,22.523343,4.976601,9.494450,8.745968,7.282384,22.523343
1991,22.967993,4.969987,5.836752,7.807984,7.859158,22.967993
1992,22.307250,5.258005,5.603282,8.947488,8.321059,22.307250
1993,22.519816,4.973862,9.572273,11.257640,8.150388,22.519816
1994,22.744253,5.889376,12.918678,5.611416,7.459380,22.744253
1995,23.270075,5.432402,15.564672,6.926792,7.480243,23.270075
1996,23.986249,6.012542,8.171453,12.540040,7.445334,23.986249
1997,24.119842,7.406565,15.331202,11.534272,7.976308,24.119842
1998,24.018912,6.144464,22.101834,5.301808,8.152895,24.018912
1999,24.558730,6.002914,10.350507,12.871632,7.403269,24.558730
2000,25.204473,5.297219,9.727920,13.969000,7.180976,25.204473
2001,25.390789,4.765243,14.319498,9.471440,6.793532,25.390789
2002,25.945193,5.128116,18.444136,4.893272,8.231684,25.945193
2003,27.313074,6.075681,17.821549,9.295568,8.657632,27.313074
2004,28.251212,5.403988,12.140444,13.305816,8.527980,28.251212
2005,29.207100,4.890982,19.222370,7.677912,8.645956,29.207100
2006,30.184984,5.332146,13.774735,11.327256,9.085274,30.184984
2007,31.056976,4.594583,16.498552,10.273856,8.838482,31.056976
2008,31.580802,4.880311,13.774735,12.734232,8.944305,31.580802
2009,31.023421,5.273980,12.296091,10.607280,9.453712,31.023421
2010,32.805281,5.487912,18.755430,12.118680,9.333806,32.805281
2011,33.908335,5.278267,13.074324,15.040720,9.468099,33.908335
2012,34.379926,5.651894,18.755430,9.103208,9.647816,34.379926
2013,34.652288,5.116153,19.066723,13.161088,9.815616,34.652288
2014,34.772503,5.396193,15.875965,13.716184,10.264637,34.772503
2015,34.723617,5.531587,22.957891,8.297128,10.435742,34.723617
2016,34.727810,4.406253,22.101834,10.770328,10.911536,34.727810
2017,35.286144,4.231022,16.654199,13.278336,10.252364,35.286144
2018,36.004238,3.844718,18.599783,12.822168,10.577612,36.004238
2019,36.365677,3.786744,19.455840,11.255808,10.617613,36.365677
2020,34.368599,3.438994,17.899373,11.131232,10.506436,34.368599
2021,36.198618,3.552779,19.222370,12.849648,10.138547,36.198618
2022,36.496956,3.541036,16.887669,14.183344,9.855001,36.496956
2023,37.007293,3.624905,22.024011,8.436360,10.433747,37.007293
