"Year","China","USA","India","EU27","Russia","Japan","United Kingdom","All others"
1949,0.991052,40.357813,0.875918,28.731678,2.831132,1.814754,16.147789,8.249865
1950,0.999885,40.423045,0.879950,28.544090,2.939948,1.812519,15.946676,8.453887
1951,1.016289,40.439807,0.883319,28.376332,3.052238,1.815856,15.744395,8.671764
1952,1.042237,40.413052,0.887610,28.231155,3.170700,1.821268,15.540405,8.893573
1953,1.068374,40.382703,0.891531,28.084133,3.291820,1.831311,15.340373,9.109755
1954,1.103231,40.283136,0.896220,27.967568,3.423247,1.838549,15.147607,9.340443
1955,1.144783,40.179591,0.900848,27.837808,3.567484,1.840533,14.936540,9.592413
1956,1.191319,40.058816,0.904664,27.711567,3.719709,1.846092,14.709774,9.858060
1957,1.248458,39.898772,0.911011,27.588094,3.883153,1.859512,14.481108,10.129892
1958,1.395454,39.684603,0.917716,27.443998,4.051816,1.868237,14.248950,10.389225
1959,1.598197,39.452826,0.924576,27.277658,4.218664,1.877581,14.005935,10.644565
1960,1.811859,39.187343,0.932656,27.125975,4.379606,1.896215,13.765286,10.901059
1961,1.939644,38.930961,0.943067,27.012810,4.539330,1.929627,13.539326,11.165235
1962,2.023457,38.682884,0.955663,26.926563,4.698907,1.962214,13.314181,11.436131
1963,2.098226,38.429189,0.968971,26.851028,4.862398,1.999385,13.084938,11.705865
1964,2.166128,38.168810,0.979033,26.774769,5.026948,2.040946,12.849837,11.993529
1965,2.237996,37.910491,0.991130,26.675881,5.193064,2.084899,12.615812,12.290728
1966,2.315358,37.658288,1.002517,26.565329,5.358575,2.131880,12.376487,12.591566
1967,2.361992,37.420244,1.012238,26.451821,5.523003,2.192260,12.133282,12.905159
1968,2.410609,37.168273,1.023313,26.344713,5.676652,2.263559,11.888685,13.224195
1969,2.478579,36.902280,1.032325,26.238006,5.821658,2.347884,11.640466,13.538802
1970,2.582806,36.627037,1.038958,26.100805,5.957897,2.447658,11.383443,13.861397
1971,2.699396,36.326121,1.046035,25.958534,6.096595,2.543941,11.130341,14.199036
1972,2.816646,36.034309,1.053397,25.813669,6.233471,2.642991,10.874527,14.530989
1973,2.928862,35.742401,1.059597,25.668677,6.363685,2.741504,10.619391,14.875882
1974,3.037732,35.442680,1.066913,25.533821,6.498862,2.833541,10.375034,15.211419
1975,3.169780,35.131934,1.077289,25.391518,6.642030,2.910284,10.143575,15.533589
1976,3.295552,34.830672,1.087055,25.266033,6.777167,2.984271,9.908552,15.850696
1977,3.430899,34.543163,1.097768,25.118094,6.908748,3.055255,9.681138,16.164937
1978,3.580821,34.248974,1.107389,24.977795,7.036504,3.112906,9.459184,16.476427
1979,3.723068,33.954126,1.117604,24.842493,7.152075,3.172797,9.250115,16.787722
1980,3.851563,33.651944,1.129954,24.715085,7.275007,3.227977,9.045627,17.102842
1981,3.972032,33.374207,1.146153,24.579587,7.389191,3.279208,8.857721,17.401902
1982,4.106719,33.083390,1.163297,24.443571,7.504527,3.323509,8.681184,17.693804
1983,4.246240,32.800546,1.183329,24.304359,7.616421,3.362152,8.512826,17.974127
1984,4.395962,32.536509,1.202451,24.154702,7.717349,3.403628,8.343408,18.245993
1985,4.554923,32.255195,1.224508,23.998914,7.829681,3.435835,8.180147,18.520798
1986,4.717692,31.977813,1.248797,23.839821,7.932331,3.464576,8.024004,18.794965
1987,4.887980,31.710652,1.274569,23.673646,8.023537,3.487090,7.870238,19.072288
1988,5.065321,31.453477,1.302256,23.485865,8.111119,3.515353,7.716411,19.350198
1989,5.235449,31.209253,1.334130,23.304440,8.186481,3.545331,7.569803,19.615114
1990,5.396441,30.964003,1.368291,23.127053,8.270470,3.589042,7.430730,19.853970
1991,5.560170,30.708248,1.404316,22.938793,8.329582,3.629759,7.296171,20.132961
1992,5.734067,30.503106,1.444206,22.763484,8.340170,3.672248,7.172664,20.370054
1993,5.919315,30.311952,1.484154,22.583356,8.336602,3.710773,7.052064,20.601784
1994,6.113861,30.132742,1.525772,22.404363,8.306554,3.752488,6.935132,20.829087
1995,6.323030,29.951563,1.569437,22.226330,8.270116,3.791230,6.819195,21.049099
1996,6.532337,29.776408,1.616376,22.049195,8.225673,3.826417,6.706067,21.267528
1997,6.730853,29.613401,1.664268,21.870831,8.171438,3.858512,6.595144,21.495552
1998,6.905072,29.465872,1.711764,21.702417,8.118962,3.885403,6.490907,21.719604
1999,7.086081,29.316486,1.764395,21.524967,8.067475,3.912491,6.387520,21.940584
2000,7.262703,29.175627,1.815836,21.343608,8.011951,3.937994,6.285811,22.166471
2001,7.436947,29.026590,1.865795,21.172341,7.961038,3.960185,6.188663,22.388441
2002,7.633256,28.873024,1.915298,20.998238,7.907584,3.981962,6.091286,22.599351
2003,7.876422,28.696700,1.963216,20.813468,7.849581,3.998509,5.992042,22.810062
2004,8.133791,28.513897,2.012890,20.620962,7.788450,4.010502,5.892797,23.026712
2005,8.428006,28.318052,2.063586,20.420098,7.725434,4.019193,5.793285,23.232346
2006,8.751079,28.101676,2.118115,20.213532,7.664074,4.022189,5.693667,23.435667
2007,9.090977,27.881862,2.176420,19.998532,7.600257,4.024974,5.594214,23.632763
2008,9.450697,27.644349,2.238499,19.779793,7.538626,4.020363,5.496207,23.831465
2009,9.826573,27.396414,2.307866,19.557154,7.474875,4.012348,5.401322,24.023448
2010,10.225388,27.138247,2.375608,19.325799,7.410641,4.003125,5.305049,24.216143
2011,10.662311,26.860423,2.444378,19.082641,7.347251,3.994650,5.206025,24.402323
2012,11.091459,26.572520,2.520320,18.839851,7.285494,3.988112,5.111315,24.590930
2013,11.509661,26.302501,2.596845,18.599234,7.221009,3.981703,5.019464,24.769582
2014,11.909008,26.046031,2.679805,18.359018,7.158852,3.971722,4.928879,24.946684
2015,12.281670,25.792286,2.764634,18.134300,7.099729,3.959647,4.841598,25.126137
2016,12.630723,25.541967,2.853333,17.919612,7.043008,3.946802,4.756781,25.307773
2017,12.974859,25.291116,2.941545,17.709621,6.988264,3.932120,4.673303,25.489172
2018,13.317782,25.050168,3.034717,17.496809,6.935641,3.913530,4.590961,25.660393
2019,13.665402,24.807329,3.124256,17.280779,6.883346,3.892657,4.510345,25.835885
2020,14.025460,24.571479,3.202342,17.077751,6.837056,3.873381,4.436154,25.976377
2021,14.386726,24.337323,3.288313,16.874819,6.789895,3.851973,4.361329,26.109622
2022,14.724873,24.111478,3.378982,16.674072,6.748651,3.829156,4.287166,26.245622
2023,15.075454,23.879109,3.477741,16.464381,6.708021,3.803804,4.214423,26.377067
