"YYYYMM","Country","Fuel","Value"
202211,"Australia","PluginHybrid",429
202211,"Australia","BatteryElectric",4457
202211,"Australia","Others",0
202212,"Australia","Diesel",27294
202212,"Australia","Petrol",43501
202212,"Australia","NonPluginHybrid",6978
202212,"Australia","PluginHybrid",469
202212,"Australia","BatteryElectric",5084
202212,"Australia","Others",2
202301,"Australia","Diesel",26589
202301,"Australia","Petrol",44831
202301,"Australia","NonPluginHybrid",5136
202301,"Australia","PluginHybrid",438
202301,"Australia","BatteryElectric",4852
202301,"Australia","Others",0
202302,"Australia","Diesel",26443
202302,"Australia","Petrol",44528
202302,"Australia","NonPluginHybrid",5716
202302,"Australia","PluginHybrid",454
202302,"Australia","BatteryElectric",5932
202302,"Australia","Others",0
202303,"Australia","Diesel",30063
202303,"Australia","Petrol",50229
202303,"Australia","NonPluginHybrid",5247
202303,"Australia","PluginHybrid",569
202303,"Australia","BatteryElectric",6612
202303,"Australia","Others",0
202304,"Australia","Diesel",23246
202304,"Australia","Petrol",42369
202304,"Australia","NonPluginHybrid",6530
202304,"Australia","PluginHybrid",545
202304,"Australia","BatteryElectric",5592
202304,"Australia","Others",0
202305,"Australia","Diesel",32113
202305,"Australia","Petrol",52327
202305,"Australia","NonPluginHybrid",8124
202305,"Australia","PluginHybrid",791
202305,"Australia","BatteryElectric",7600
202305,"Australia","Others",0
202306,"Australia","Diesel",37497
202306,"Australia","Petrol",59996
202306,"Australia","NonPluginHybrid",11042
202306,"Australia","PluginHybrid",735
202306,"Australia","BatteryElectric",9020
202306,"Australia","Others",0
202307,"Australia","Diesel",27791
202307,"Australia","Petrol",48236
202307,"Australia","NonPluginHybrid",9696
202307,"Australia","PluginHybrid",834
202307,"Australia","BatteryElectric",6846
202307,"Australia","Others",0
202308,"Australia","Diesel",33590
202308,"Australia","Petrol",52407
202308,"Australia","NonPluginHybrid",11584
202308,"Australia","PluginHybrid",1113
202308,"Australia","BatteryElectric",6984
202308,"Australia","Others",2
202309,"Australia","Diesel",33614
202309,"Australia","Petrol",52619
202309,"Australia","NonPluginHybrid",10138
202309,"Australia","PluginHybrid",1264
202309,"Australia","BatteryElectric",8821
202309,"Australia","Others",0
202310,"Australia","Diesel",35970
202310,"Australia","Petrol",49604
202310,"Australia","NonPluginHybrid",9187
202310,"Australia","PluginHybrid",1738
202310,"Australia","BatteryElectric",6057
202310,"Australia","Others",0
202311,"Australia","Diesel",41946
202311,"Australia","Petrol",50474
202311,"Australia","NonPluginHybrid",9464
202311,"Australia","PluginHybrid",1429
202311,"Australia","BatteryElectric",8646
202311,"Australia","Others",0
202312,"Australia","Diesel",35214
202312,"Australia","Petrol",40993
202312,"Australia","NonPluginHybrid",9875
202312,"Australia","PluginHybrid",1302
202312,"Australia","BatteryElectric",6771
202312,"Australia","Others",0
202401,"Australia","Diesel",28923
202401,"Australia","Petrol",42247
202401,"Australia","NonPluginHybrid",9821
202401,"Australia","PluginHybrid",980
202401,"Australia","BatteryElectric",4893
202401,"Australia","Others",0
202402,"Australia","Diesel",32022
202402,"Australia","Petrol",46533
202402,"Australia","NonPluginHybrid",11447
202402,"Australia","PluginHybrid",1034
202402,"Australia","BatteryElectric",10111
202402,"Australia","Others",0
202403,"Australia","Diesel",31731
202403,"Australia","Petrol",47761
202403,"Australia","NonPluginHybrid",13935
202403,"Australia","PluginHybrid",1412
202403,"Australia","BatteryElectric",10464
202403,"Australia","Others",0
202404,"Australia","Diesel",28336
202404,"Australia","Petrol",40565
202404,"Australia","NonPluginHybrid",16466
202404,"Australia","PluginHybrid",1300
202404,"Australia","BatteryElectric",6194
202404,"Australia","Others",0
202405,"Australia","Diesel",34479
202405,"Australia","Petrol",45262
202405,"Australia","NonPluginHybrid",16218
202405,"Australia","PluginHybrid",1373
202405,"Australia","BatteryElectric",8974
202405,"Australia","Others",0
202406,"Australia","Diesel",36918
202406,"Australia","Petrol",50403
202406,"Australia","NonPluginHybrid",15336
202406,"Australia","PluginHybrid",1949
202406,"Australia","BatteryElectric",9583
202406,"Australia","Others",0
202407,"Australia","Diesel",29263
202407,"Australia","Petrol",42027
202407,"Australia","NonPluginHybrid",18039
202407,"Australia","PluginHybrid",2209
202407,"Australia","BatteryElectric",6743
202407,"Australia","Others",0
202408,"Australia","Diesel",29291
202408,"Australia","Petrol",42169
202408,"Australia","NonPluginHybrid",16664
202408,"Australia","PluginHybrid",2644
202408,"Australia","BatteryElectric",5892
202408,"Australia","Others",0
202409,"Australia","Diesel",29483
202409,"Australia","Petrol",43402
202409,"Australia","NonPluginHybrid",13579
202409,"Australia","PluginHybrid",2470
202409,"Australia","BatteryElectric",6422
202409,"Australia","Others",0
202410,"Australia","Diesel",28941
202410,"Australia","Petrol",43506
202410,"Australia","NonPluginHybrid",14176
202410,"Australia","PluginHybrid",2407
202410,"Australia","BatteryElectric",6414
202410,"Australia","Others",0
202411,"Australia","Diesel",30818
202411,"Australia","Petrol",43229
202411,"Australia","NonPluginHybrid",14171
202411,"Australia","PluginHybrid",2590
202411,"Australia","BatteryElectric",6585
202411,"Australia","Others",0
202412,"Australia","Diesel",28187
202412,"Australia","Petrol",41975
202412,"Australia","NonPluginHybrid",14455
202412,"Australia","PluginHybrid",2532
202412,"Australia","BatteryElectric",8332
202412,"Australia","Others",0
202501,"Australia","Diesel",25372
202501,"Australia","Petrol",38852
202501,"Australia","NonPluginHybrid",14836
202501,"Australia","PluginHybrid",1908
202501,"Australia","BatteryElectric",3832
202501,"Australia","Others",0
202502,"Australia","Diesel",26863
202502,"Australia","Petrol",40496
202502,"Australia","NonPluginHybrid",15348
202502,"Australia","PluginHybrid",4871
202502,"Australia","BatteryElectric",5684
202502,"Australia","Others",0
202503,"Australia","Diesel",31548
202503,"Australia","Petrol",43785
202503,"Australia","NonPluginHybrid",16830
202503,"Australia","PluginHybrid",6932
202503,"Australia","BatteryElectric",8385
202503,"Australia","Others",0
202504,"Australia","Diesel",28639
202504,"Australia","Petrol",36352
202504,"Australia","NonPluginHybrid",14288
202504,"Australia","PluginHybrid",2601
202504,"Australia","BatteryElectric",6010
202504,"Australia","Others",0
201801,"Austria","Diesel",12365
201801,"Austria","Petrol",14894
201801,"Austria","NonPluginHybrid",818
201801,"Austria","PluginHybrid",11
201801,"Austria","BatteryElectric",401
201801,"Austria","Others",79
201802,"Austria","Diesel",11391
201802,"Austria","Petrol",13990
201802,"Austria","NonPluginHybrid",598
201802,"Austria","PluginHybrid",14
201802,"Austria","BatteryElectric",445
201802,"Austria","Others",61
201803,"Austria","Diesel",14123
201803,"Austria","Petrol",19540
201803,"Austria","NonPluginHybrid",876
201803,"Austria","PluginHybrid",20
201803,"Austria","BatteryElectric",753
201803,"Austria","Others",95
201804,"Austria","Diesel",12708
201804,"Austria","Petrol",17615
201804,"Austria","NonPluginHybrid",830
201804,"Austria","PluginHybrid",28
201804,"Austria","BatteryElectric",550
201804,"Austria","Others",90
201805,"Austria","Diesel",13486
201805,"Austria","Petrol",17702
201805,"Austria","NonPluginHybrid",782
201805,"Austria","PluginHybrid",65
201805,"Austria","BatteryElectric",425
201805,"Austria","Others",91
201806,"Austria","Diesel",15922
201806,"Austria","Petrol",20615
201806,"Austria","NonPluginHybrid",835
201806,"Austria","PluginHybrid",53
201806,"Austria","BatteryElectric",514
201806,"Austria","Others",76
201807,"Austria","Diesel",13416
201807,"Austria","Petrol",16737
201807,"Austria","NonPluginHybrid",761
201807,"Austria","PluginHybrid",64
201807,"Austria","BatteryElectric",454
201807,"Austria","Others",44
201808,"Austria","Diesel",13773
201808,"Austria","Petrol",18920
201808,"Austria","NonPluginHybrid",987
201808,"Austria","PluginHybrid",109
201808,"Austria","BatteryElectric",389
201808,"Austria","Others",49
201809,"Austria","Diesel",6747
201809,"Austria","Petrol",9335
201809,"Austria","NonPluginHybrid",485
201809,"Austria","PluginHybrid",66
201809,"Austria","BatteryElectric",553
201809,"Austria","Others",8
201810,"Austria","Diesel",8829
201810,"Austria","Petrol",12073
201810,"Austria","NonPluginHybrid",567
201810,"Austria","PluginHybrid",183
201810,"Austria","BatteryElectric",836
201810,"Austria","Others",25
201811,"Austria","Diesel",9119
201811,"Austria","Petrol",12905
201811,"Austria","NonPluginHybrid",443
201811,"Austria","PluginHybrid",259
201811,"Austria","BatteryElectric",862
201811,"Austria","Others",16
201812,"Austria","Diesel",8232
201812,"Austria","Petrol",9824
201812,"Austria","NonPluginHybrid",371
201812,"Austria","PluginHybrid",176
201812,"Austria","BatteryElectric",575
201812,"Austria","Others",15
201901,"Austria","Diesel",10318
201901,"Austria","Petrol",13668
201901,"Austria","NonPluginHybrid",515
201901,"Austria","PluginHybrid",227
201901,"Austria","BatteryElectric",507
201901,"Austria","Others",22
201902,"Austria","Diesel",9230
201902,"Austria","Petrol",12958
201902,"Austria","NonPluginHybrid",562
201902,"Austria","PluginHybrid",182
201902,"Austria","BatteryElectric",691
201902,"Austria","Others",17
201903,"Austria","Diesel",11929
201903,"Austria","Petrol",17398
201903,"Austria","NonPluginHybrid",1011
201903,"Austria","PluginHybrid",249
201903,"Austria","BatteryElectric",1344
201903,"Austria","Others",27
201904,"Austria","Diesel",12373
201904,"Austria","Petrol",17347
201904,"Austria","NonPluginHybrid",1174
201904,"Austria","PluginHybrid",295
201904,"Austria","BatteryElectric",724
201904,"Austria","Others",38
201905,"Austria","Diesel",11922
201905,"Austria","Petrol",16525
201905,"Austria","NonPluginHybrid",1069
201905,"Austria","PluginHybrid",281
201905,"Austria","BatteryElectric",699
201905,"Austria","Others",78
201906,"Austria","Diesel",11947
201906,"Austria","Petrol",18241
201906,"Austria","NonPluginHybrid",981
201906,"Austria","PluginHybrid",348
201906,"Austria","BatteryElectric",939
201906,"Austria","Others",73
201907,"Austria","Diesel",11766
201907,"Austria","Petrol",17590
201907,"Austria","NonPluginHybrid",948
201907,"Austria","PluginHybrid",367
201907,"Austria","BatteryElectric",711
201907,"Austria","Others",46
201908,"Austria","Diesel",11382
201908,"Austria","Petrol",16168
201908,"Austria","NonPluginHybrid",1154
201908,"Austria","PluginHybrid",336
201908,"Austria","BatteryElectric",799
201908,"Austria","Others",49
201909,"Austria","Diesel",7575
201909,"Austria","Petrol",11081
201909,"Austria","NonPluginHybrid",1008
201909,"Austria","PluginHybrid",365
201909,"Austria","BatteryElectric",969
201909,"Austria","Others",49
201910,"Austria","Diesel",9707
201910,"Austria","Petrol",12987
201910,"Austria","NonPluginHybrid",1336
201910,"Austria","PluginHybrid",515
201910,"Austria","BatteryElectric",515
201910,"Austria","Others",78
201911,"Austria","Diesel",9138
201911,"Austria","Petrol",11665
201911,"Austria","NonPluginHybrid",1328
201911,"Austria","PluginHybrid",432
201911,"Austria","BatteryElectric",653
201911,"Austria","Others",55
201912,"Austria","Diesel",9024
201912,"Austria","Petrol",11078
201912,"Austria","NonPluginHybrid",1262
201912,"Austria","PluginHybrid",560
201912,"Austria","BatteryElectric",691
201912,"Austria","Others",67
202001,"Austria","Diesel",8901
202001,"Austria","Petrol",11060
202001,"Austria","NonPluginHybrid",1766
202001,"Austria","PluginHybrid",479
202001,"Austria","BatteryElectric",695
202001,"Austria","Others",58
202002,"Austria","Diesel",8281
202002,"Austria","Petrol",9711
202002,"Austria","NonPluginHybrid",1592
202002,"Austria","PluginHybrid",468
202002,"Austria","BatteryElectric",981
202002,"Austria","Others",34
202003,"Austria","Diesel",4137
202003,"Austria","Petrol",4453
202003,"Austria","NonPluginHybrid",1042
202003,"Austria","PluginHybrid",254
202003,"Austria","BatteryElectric",752
202003,"Austria","Others",16
202004,"Austria","Diesel",4484
202004,"Austria","Petrol",5027
202004,"Austria","NonPluginHybrid",849
202004,"Austria","PluginHybrid",276
202004,"Austria","BatteryElectric",557
202004,"Austria","Others",27
202005,"Austria","Diesel",7417
202005,"Austria","Petrol",9650
202005,"Austria","NonPluginHybrid",1965
202005,"Austria","PluginHybrid",394
202005,"Austria","BatteryElectric",735
202005,"Austria","Others",50
202006,"Austria","Diesel",9671
202006,"Austria","Petrol",12860
202006,"Austria","NonPluginHybrid",2446
202006,"Austria","PluginHybrid",568
202006,"Austria","BatteryElectric",1085
202006,"Austria","Others",46
202007,"Austria","Diesel",9496
202007,"Austria","Petrol",10945
202007,"Austria","NonPluginHybrid",2552
202007,"Austria","PluginHybrid",675
202007,"Austria","BatteryElectric",1064
202007,"Austria","Others",52
202008,"Austria","Diesel",7689
202008,"Austria","Petrol",9307
202008,"Austria","NonPluginHybrid",2077
202008,"Austria","PluginHybrid",670
202008,"Austria","BatteryElectric",1127
202008,"Austria","Others",36
202009,"Austria","Diesel",8308
202009,"Austria","Petrol",8792
202009,"Austria","NonPluginHybrid",2109
202009,"Austria","PluginHybrid",984
202009,"Austria","BatteryElectric",1946
202009,"Austria","Others",23
202010,"Austria","Diesel",7989
202010,"Austria","Petrol",10263
202010,"Austria","NonPluginHybrid",3387
202010,"Austria","PluginHybrid",1022
202010,"Austria","BatteryElectric",1578
202010,"Austria","Others",35
202011,"Austria","Diesel",6931
202011,"Austria","Petrol",7340
202011,"Austria","NonPluginHybrid",2486
202011,"Austria","PluginHybrid",1219
202011,"Austria","BatteryElectric",2061
202011,"Austria","Others",18
202012,"Austria","Diesel",7605
202012,"Austria","Petrol",8363
202012,"Austria","NonPluginHybrid",3109
202012,"Austria","PluginHybrid",1278
202012,"Austria","BatteryElectric",3391
202012,"Austria","Others",26
202101,"Austria","Diesel",3635
202101,"Austria","Petrol",6081
202101,"Austria","NonPluginHybrid",2082
202101,"Austria","PluginHybrid",955
202101,"Austria","BatteryElectric",1377
202101,"Austria","Others",3
202102,"Austria","Diesel",5181
202102,"Austria","Petrol",8842
202102,"Austria","NonPluginHybrid",2929
202102,"Austria","PluginHybrid",1067
202102,"Austria","BatteryElectric",1831
202102,"Austria","Others",13
202103,"Austria","Diesel",7475
202103,"Austria","Petrol",11716
202103,"Austria","NonPluginHybrid",5472
202103,"Austria","PluginHybrid",1440
202103,"Austria","BatteryElectric",3412
202103,"Austria","Others",11
202104,"Austria","Diesel",6048
202104,"Austria","Petrol",8994
202104,"Austria","NonPluginHybrid",3597
202104,"Austria","PluginHybrid",1246
202104,"Austria","BatteryElectric",2404
202104,"Austria","Others",7
202105,"Austria","Diesel",5656
202105,"Austria","Petrol",8576
202105,"Austria","NonPluginHybrid",4145
202105,"Austria","PluginHybrid",1403
202105,"Austria","BatteryElectric",2709
202105,"Austria","Others",14
202106,"Austria","Diesel",6138
202106,"Austria","Petrol",10128
202106,"Austria","NonPluginHybrid",4859
202106,"Austria","PluginHybrid",1319
202106,"Austria","BatteryElectric",3614
202106,"Austria","Others",17
202107,"Austria","Diesel",4990
202107,"Austria","Petrol",7824
202107,"Austria","NonPluginHybrid",3961
202107,"Austria","PluginHybrid",1129
202107,"Austria","BatteryElectric",1990
202107,"Austria","Others",8
202108,"Austria","Diesel",4016
202108,"Austria","Petrol",6225
202108,"Austria","NonPluginHybrid",3272
202108,"Austria","PluginHybrid",998
202108,"Austria","BatteryElectric",3200
202108,"Austria","Others",8
202109,"Austria","Diesel",3266
202109,"Austria","Petrol",6702
202109,"Austria","NonPluginHybrid",3320
202109,"Austria","PluginHybrid",972
202109,"Austria","BatteryElectric",3597
202109,"Austria","Others",7
202110,"Austria","Diesel",3150
202110,"Austria","Petrol",4996
202110,"Austria","NonPluginHybrid",3383
202110,"Austria","PluginHybrid",900
202110,"Austria","BatteryElectric",2323
202110,"Austria","Others",3
202111,"Austria","Diesel",4292
202111,"Austria","Petrol",5684
202111,"Austria","NonPluginHybrid",3090
202111,"Austria","PluginHybrid",953
202111,"Austria","BatteryElectric",3498
202111,"Austria","Others",2
202112,"Austria","Diesel",4416
202112,"Austria","Petrol",5710
202112,"Austria","NonPluginHybrid",2941
202112,"Austria","PluginHybrid",1163
202112,"Austria","BatteryElectric",3411
202112,"Austria","Others",7
202201,"Austria","Diesel",3712
202201,"Austria","Petrol",6134
202201,"Austria","NonPluginHybrid",2859
202201,"Austria","PluginHybrid",897
202201,"Austria","BatteryElectric",2013
202201,"Austria","Others",4
202202,"Austria","Diesel",3763
202202,"Austria","Petrol",6053
202202,"Austria","NonPluginHybrid",3174
202202,"Austria","PluginHybrid",990
202202,"Austria","BatteryElectric",2114
202202,"Austria","Others",9
202203,"Austria","Diesel",4382
202203,"Austria","Petrol",8212
202203,"Austria","NonPluginHybrid",3733
202203,"Austria","PluginHybrid",1255
202203,"Austria","BatteryElectric",3039
202203,"Austria","Others",32
202204,"Austria","Diesel",3365
202204,"Austria","Petrol",6652
202204,"Austria","NonPluginHybrid",3217
202204,"Austria","PluginHybrid",1280
202204,"Austria","BatteryElectric",1849
202204,"Austria","Others",1
202205,"Austria","Diesel",3665
202205,"Austria","Petrol",6748
202205,"Austria","NonPluginHybrid",3487
202205,"Austria","PluginHybrid",1141
202205,"Austria","BatteryElectric",2064
202205,"Austria","Others",2
202206,"Austria","Diesel",5201
202206,"Austria","Petrol",8975
202206,"Austria","NonPluginHybrid",4047
202206,"Austria","PluginHybrid",1116
202206,"Austria","BatteryElectric",3414
202206,"Austria","Others",7
202207,"Austria","Diesel",3980
202207,"Austria","Petrol",5942
202207,"Austria","NonPluginHybrid",2638
202207,"Austria","PluginHybrid",1070
202207,"Austria","BatteryElectric",2418
202207,"Austria","Others",6
202208,"Austria","Diesel",4396
202208,"Austria","Petrol",6457
202208,"Austria","NonPluginHybrid",3121
202208,"Austria","PluginHybrid",1196
202208,"Austria","BatteryElectric",2639
202208,"Austria","Others",5
202209,"Austria","Diesel",4580
202209,"Austria","Petrol",6898
202209,"Austria","NonPluginHybrid",3622
202209,"Austria","PluginHybrid",1081
202209,"Austria","BatteryElectric",4554
202209,"Austria","Others",0
202210,"Austria","Diesel",3712
202210,"Austria","Petrol",5497
202210,"Austria","NonPluginHybrid",3043
202210,"Austria","PluginHybrid",1145
202210,"Austria","BatteryElectric",2660
202210,"Austria","Others",4
202211,"Austria","Diesel",3761
202211,"Austria","Petrol",5684
202211,"Austria","NonPluginHybrid",4097
202211,"Austria","PluginHybrid",1201
202211,"Austria","BatteryElectric",3430
202211,"Austria","Others",5
202212,"Austria","Diesel",3598
202212,"Austria","Petrol",5315
202212,"Austria","NonPluginHybrid",3666
202212,"Austria","PluginHybrid",1050
202212,"Austria","BatteryElectric",3971
202212,"Austria","Others",2
202301,"Austria","Diesel",3923
202301,"Austria","Petrol",7220
202301,"Austria","NonPluginHybrid",3786
202301,"Austria","PluginHybrid",1175
202301,"Austria","BatteryElectric",2745
202301,"Austria","Others",1
202302,"Austria","Diesel",3596
202302,"Austria","Petrol",5929
202302,"Austria","NonPluginHybrid",3784
202302,"Austria","PluginHybrid",1171
202302,"Austria","BatteryElectric",3415
202302,"Austria","Others",0
202303,"Austria","Diesel",5261
202303,"Austria","Petrol",8812
202303,"Austria","NonPluginHybrid",5659
202303,"Austria","PluginHybrid",1499
202303,"Austria","BatteryElectric",5075
202303,"Austria","Others",1
202304,"Austria","Diesel",3442
202304,"Austria","Petrol",6355
202304,"Austria","NonPluginHybrid",4108
202304,"Austria","PluginHybrid",1202
202304,"Austria","BatteryElectric",3395
202304,"Austria","Others",2
202305,"Austria","Diesel",3955
202305,"Austria","Petrol",6831
202305,"Austria","NonPluginHybrid",4508
202305,"Austria","PluginHybrid",1197
202305,"Austria","BatteryElectric",4130
202305,"Austria","Others",2
202306,"Austria","Diesel",5101
202306,"Austria","Petrol",7989
202306,"Austria","NonPluginHybrid",5478
202306,"Austria","PluginHybrid",1324
202306,"Austria","BatteryElectric",4612
202306,"Austria","Others",7
202307,"Austria","Diesel",3758
202307,"Austria","Petrol",5387
202307,"Austria","NonPluginHybrid",3976
202307,"Austria","PluginHybrid",1123
202307,"Austria","BatteryElectric",3321
202307,"Austria","Others",1
202308,"Austria","Diesel",3821
202308,"Austria","Petrol",5545
202308,"Austria","NonPluginHybrid",4326
202308,"Austria","PluginHybrid",1152
202308,"Austria","BatteryElectric",3945
202308,"Austria","Others",1
202309,"Austria","Diesel",3603
202309,"Austria","Petrol",5976
202309,"Austria","NonPluginHybrid",4817
202309,"Austria","PluginHybrid",1183
202309,"Austria","BatteryElectric",4256
202309,"Austria","Others",5
202310,"Austria","Diesel",3172
202310,"Austria","Petrol",5551
202310,"Austria","NonPluginHybrid",4592
202310,"Austria","PluginHybrid",1173
202310,"Austria","BatteryElectric",4378
202310,"Austria","Others",1
202311,"Austria","Diesel",3390
202311,"Austria","Petrol",5838
202311,"Austria","NonPluginHybrid",4182
202311,"Austria","PluginHybrid",1160
202311,"Austria","BatteryElectric",4330
202311,"Austria","Others",0
202312,"Austria","Diesel",3546
202312,"Austria","Petrol",5921
202312,"Austria","NonPluginHybrid",3751
202312,"Austria","PluginHybrid",1260
202312,"Austria","BatteryElectric",4019
202312,"Austria","Others",0
202401,"Austria","Diesel",3506
202401,"Austria","Petrol",5681
202401,"Austria","NonPluginHybrid",4396
202401,"Austria","PluginHybrid",1142
202401,"Austria","BatteryElectric",2823
202401,"Austria","Others",4
202402,"Austria","Diesel",4135
202402,"Austria","Petrol",6527
202402,"Austria","NonPluginHybrid",5000
202402,"Austria","PluginHybrid",1026
202402,"Austria","BatteryElectric",3322
202402,"Austria","Others",0
202403,"Austria","Diesel",5050
202403,"Austria","Petrol",8312
202403,"Austria","NonPluginHybrid",6418
202403,"Austria","PluginHybrid",1258
202403,"Austria","BatteryElectric",4657
202403,"Austria","Others",6
202404,"Austria","Diesel",4197
202404,"Austria","Petrol",8070
202404,"Austria","NonPluginHybrid",4555
202404,"Austria","PluginHybrid",1282
202404,"Austria","BatteryElectric",3232
202404,"Austria","Others",1
202405,"Austria","Diesel",3876
202405,"Austria","Petrol",6788
202405,"Austria","NonPluginHybrid",4514
202405,"Austria","PluginHybrid",1193
202405,"Austria","BatteryElectric",3448
202405,"Austria","Others",1
202406,"Austria","Diesel",5906
202406,"Austria","Petrol",11017
202406,"Austria","NonPluginHybrid",7502
