"YYYYMM","Diesel","Petrol","Hybrid","Battery electric","Other"
200602,2026,30601,0,0,2
200603,2682,40672,0,0,0
200604,2065,36092,0,0,0
200605,2309,39362,0,0,0
200606,2196,37607,0,0,1
200607,1953,36196,0,0,30
200608,1977,42710,0,0,0
200609,1964,38066,0,0,1
200610,1858,32067,0,0,0
200611,1985,31864,0,0,0
200612,2200,32379,0,0,0
200701,1744,31923,0,0,1
200702,1858,28530,0,0,0
200703,2026,33781,0,0,0
200704,1830,29347,0,0,0
200705,2006,35114,0,0,1
200706,2272,39023,0,0,1
200707,2323,41067,0,0,0
200708,2628,43624,0,0,1
200709,2335,40155,0,0,0
200710,2122,38886,0,0,1
200711,2236,39951,0,0,0
200712,2335,37312,0,0,0
200801,2310,42651,0,0,0
200802,1963,35085,0,0,1
200803,2338,42436,0,0,34
200804,2721,46472,0,0,1
200805,2322,45519,0,0,1
200806,2162,46210,0,0,0
200807,2942,51288,0,0,0
200808,2423,41460,0,0,0
200809,2356,48725,0,0,0
200810,2256,33403,0,0,0
200811,2698,36456,0,0,0
200812,2969,36390,0,0,1
200901,1998,36291,0,0,0
200902,2058,33215,0,0,0
200903,2675,40945,1,0,0
200904,2432,37541,0,0,0
200905,2477,40719,0,0,0
200906,2517,41159,0,0,1
200907,2876,47774,0,1,2
200908,2789,44912,0,0,1
200909,2506,42954,0,0,0
200910,2869,41970,0,0,0
200911,2957,41039,1,0,0
200912,3379,42390,0,0,0
201001,3107,46782,0,0,0
201002,2736,36734,0,0,1
201003,3796,51715,0,0,0
201004,3586,43387,0,0,1
201005,3329,46531,0,0,0
201006,3385,49393,1,0,0
201007,3417,47888,0,0,1
201008,3574,50178,0,0,0
201009,3258,39392,0,0,0
201010,4270,46288,0,0,0
201011,4035,38326,0,0,1
201012,4141,49735,1,0,0
201101,4037,52489,1,0,0
201102,2939,35692,1,0,0
201103,5355,57183,3,0,0
201104,4166,45371,0,0,0
201105,3574,41302,2,0,0
201106,3456,37950,3,0,1
201107,3837,44860,3,0,0
201108,4459,54282,17,0,1
201109,3215,39327,12,0,0
201110,4847,47690,32,6,0
201111,4674,42490,55,0,0
201112,3811,41914,252,0,0
201201,2886,38096,379,0,0
201202,3820,38755,367,2,1
201203,4712,47154,978,9,0
201204,4746,40841,993,0,0
201205,5140,50966,1232,0,0
201206,4879,48962,1022,0,0
201207,5715,50962,1622,0,0
201208,4760,45337,1391,0,0
201209,4011,39484,1073,14,1
201210,4901,47286,1023,0,0
201211,5005,44451,1160,0,0
201212,5376,51947,1506,0,1
201301,4960,49754,1218,0,1
201302,3328,40783,636,1,1
201303,5462,49637,1218,0,0
201304,5137,46300,993,0,0
201305,4302,42265,833,0,0
201306,4585,46241,1060,0,0
201307,5743,61664,1554,2,1
201308,4516,43904,1262,0,0
201309,4880,46441,1164,0,0
201310,5417,47434,1156,4,0
201311,4555,44100,1413,3,0
201312,5097,49362,2302,7,0
201401,4933,46934,1674,3,1
201402,3572,42806,795,0,0
201403,5029,50743,780,0,1
201404,4871,52544,712,0,1
201405,4384,49539,489,0,1
201406,4532,50648,545,0,0
201407,5367,55994,242,2,0
201408,4652,44303,26,3,0
201409,4653,41954,15,6,0
201410,4845,49216,4,1,0
201411,4610,46651,2,6,0
201412,5898,56557,7,6,0
201501,4672,46575,103,11,2
201502,4221,45682,168,1,0
201503,5694,60903,294,4,0
201504,2926,39861,670,6,1
201505,3890,45105,992,11,0
201506,5120,50439,736,0,0
201507,4800,52965,586,3,0
201508,4491,46844,560,4,0
201509,4510,44971,582,1,0
201510,5080,48503,752,6,0
201511,4906,48356,802,3,1
201512,6306,60225,748,5,1
201601,3822,41771,274,1,0
201602,2830,34174,205,10,0
201603,4035,44033,261,2,0
201604,2656,38060,257,5,0
201605,4075,38559,271,1,0
201606,4690,51446,287,1,0
201607,3547,37565,248,1,0
201608,4520,46084,275,2,0
201609,4086,42099,264,2,0
201610,4006,41956,262,2,0
201611,3898,42530,284,5,0
201612,4482,56719,280,9,0
201701,3305,40005,568,3,0
201702,2789,38157,280,4,0
201703,4115,48504,364,2,0
201704,3196,37131,363,7,0
201705,3815,45049,266,6,0
201706,3613,45366,242,0,0
201707,3329,42807,251,1,0
201708,4119,45675,709,0,0
201709,2719,35396,548,1,0
201710,3724,40194,995,0,0
201711,4190,41930,1012,0,0
201712,4266,46754,814,1,1
201801,3853,40372,670,3,0
201802,3057,36405,518,0,0
201803,3933,43387,740,1,0
201804,3813,41504,541,1,0
201805,2291,40088,381,0,0
201806,4979,55337,1364,1,0
201807,5651,60184,1265,0,1
201808,8152,56807,1007,2,1
201809,2447,26213,53,0,0
201810,3433,41066,62,0,0
201811,3246,41257,109,0,0
201812,3460,41397,122,2,0
201901,3854,43905,322,4,0
201902,2346,34909,291,0,0
201903,3402,49058,550,1,0
201904,3214,45369,579,0,0
201905,3599,56192,607,0,2
201906,2545,37054,350,0,0
201907,3560,46828,467,17,0
201908,2992,46736,458,9,1
201909,3003,39906,584,4,2
201910,3465,48023,532,5,2
201911,3216,46780,627,0,1
201912,3656,48783,590,4,1
202001,2899,41938,411,5,0
202002,3054,38286,242,5,1
202003,1739,20099,147,3,0
202004,7,121,1,0,0
202005,1927,21380,87,1,0
202006,3022,41940,287,3,0
202007,4390,55280,188,4,2
202008,3700,49842,134,1,0
202009,3467,54183,99,8,1
202010,3002,54213,109,17,0
202011,3819,53353,86,16,0
202012,4755,63433,133,8,0
202101,2760,30807,59,6,0
202102,3778,39412,118,14,0
202103,4815,59247,459,24,0
202104,3891,54346,357,24,0
202105,3564,43649,340,32,0
202106,83,1923,10,1,0
202107,1468,6101,60,12,0
202108,1527,16616,96,58,0
202109,4639,39536,302,41,0
202110,5304,59300,313,23,0
202111,4361,55268,297,13,0
202112,5552,58889,316,9,0
202201,5237,36232,310,12,0
202202,3850,40408,434,37,0
202203,5685,63800,1209,118,0
202204,5001,51934,965,248,0
202205,4787,44796,1130,134,0
202206,4980,55965,1370,154,0
202207,4146,44674,1220,155,0
202208,5402,60589,1483,198,0
202209,5976,57579,1700,474,0
202210,4728,55231,1753,326,0
202211,5145,58286,1904,421,1
202212,5635,65291,1893,845,0
202301,4162,45131,1316,365,0
202302,5622,55785,2040,481,0
202303,6178,67657,2072,922,0
202304,3873,42710,1252,680,0
202305,5091,56108,1413,1074,0
202306,5307,53176,1527,882,0
202307,4170,58809,1274,937,0
202308,5465,65335,1703,1143,0
202309,4818,59062,1809,897,0
202310,5653,67433,2227,1370,0
202311,4777,65093,2646,1558,0
202312,5407,66579,2931,2978,0
202401,4490,59451,2100,1401,0
202402,3744,58017,1830,1024,0
202403,4877,62828,2261,2260,0
202404,3569,53698,1761,1607,0
202405,4223,62472,1867,2438,0
202406,4080,50871,1895,1896,0
202407,4403,65985,2119,1883,0
202408,3913,65903,1923,1767,0
202409,3421,52162,1687,1496,0
202410,4229,64836,1801,1559,0
202411,3793,61957,1861,1799,0
202412,6347,69479,3404,2533,0
202501,2631,44957,2244,1608,0
202502,2905,58530,2106,2124,0
202503,3382,64549,2769,2650,0
202504,3409,53979,2265,2598,0
202505,3863,60708,2690,3875,0
202506,3704,47247,2069,3050,0
202507,4185,63209,2472,2580,0
202508,4323,65207,2898,3258,1
202509,4053,50081,2393,3330,0
