"YYYYMM","Diesel","Petrol","LPG / LPG blend","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
200904,5580,11369,0,0,0,0,643
200905,4503,9262,1,0,0,0,511
200906,5365,10353,0,0,0,0,566
200907,4442,9207,1,0,0,4,496
200908,3834,7852,3,0,0,0,485
200909,4183,7553,4,0,0,0,456
200910,5197,8473,1,0,0,0,450
200911,5799,8805,1,0,0,1,369
200912,5768,8646,8,0,0,0,393
201001,5003,5493,4,0,0,0,313
201002,4658,6103,1,0,0,0,318
201003,6181,10852,10,0,0,0,403
201004,5890,8974,4,0,0,0,396
201005,6333,9128,2,0,0,1,421
201006,7502,10518,5,0,0,1,512
201007,4015,6997,8,0,0,0,368
201008,4368,7397,5,0,0,0,318
201009,5315,7614,4,0,0,0,318
201010,5746,7051,0,0,0,0,329
201011,6644,8211,2,0,0,0,371
201012,6026,8604,24,0,0,4,471
201101,5055,6316,2,0,0,3,302
201102,5133,7448,3,0,0,0,263
201103,6098,10975,3,0,0,12,413
201104,5393,8796,7,0,0,18,406
201105,5833,9216,16,0,0,4,413
201106,6457,9254,12,0,0,6,427
201107,5006,6712,12,0,0,2,386
201108,5483,8222,13,0,0,4,383
201109,5990,6633,15,0,0,0,340
201110,5999,8479,16,0,0,0,364
201111,6168,9389,9,0,0,4,350
201112,5895,8712,19,0,0,3,390
201201,6107,6483,5,17,0,0,309
201202,5892,7362,6,10,0,3,271
201203,6704,9966,11,28,0,1,354
201204,6519,9604,21,31,0,3,411
201205,6154,9358,17,31,0,6,409
201206,7079,10500,78,32,0,8,443
201207,4618,6262,76,33,0,1,168
201208,5595,7385,36,32,0,8,137
201209,5011,6806,39,31,0,14,574
201210,6696,8807,100,39,0,18,303
201211,6059,7694,77,36,0,20,317
201212,5578,6846,48,36,0,7,269
201301,5614,6164,55,39,0,3,196
201302,4521,5797,27,35,0,1,181
201303,5550,7978,32,29,0,3,228
201304,6312,8412,31,49,0,3,254
201305,5559,8961,32,45,0,6,219
201306,5837,8304,68,46,0,2,225
201307,5781,8413,92,46,0,1,200
201308,4647,6682,48,32,0,1,185
201309,5960,6982,45,25,0,0,196
201310,6786,8254,57,34,0,5,210
201311,6684,7710,71,32,0,9,191
201312,6495,7732,89,26,0,3,194
201401,6523,6793,91,29,0,3,199
201402,5531,6977,98,27,0,6,140
201403,6934,9273,125,29,0,14,201
201404,7262,9838,96,26,0,13,263
201405,6312,8716,102,18,0,9,239
201406,7313,10386,115,33,0,5,319
201407,7395,9712,177,20,0,21,375
201408,5280,8269,93,25,0,12,258
201409,5917,9397,67,40,0,12,342
201410,7430,9738,151,34,0,30,408
201411,6843,8962,195,56,0,26,283
201412,7388,8725,171,49,0,46,309
201501,7078,8063,132,68,0,8,378
201502,6579,9219,123,58,0,25,379
201503,8437,12077,146,60,0,20,415
201504,8729,11147,118,77,0,32,465
201505,7621,9921,108,56,0,14,393
201506,8918,11612,192,87,0,48,458
201507,8841,11860,141,94,0,30,449
201508,8187,9419,72,92,0,18,490
201509,7552,9979,80,91,0,11,343
201510,8866,10125,50,140,0,15,462
201511,9440,10464,37,102,0,21,357
201512,9050,10245,80,99,0,26,268
201601,8204,8822,28,101,0,3,342
201602,8193,10511,26,107,0,25,437
201603,9750,12409,39,111,0,16,474
201604,9831,12632,38,124,0,17,489
201605,10268,13334,24,117,0,11,581
201606,11209,13864,69,116,0,14,442
201607,7576,10663,36,102,0,7,355
201608,8599,12023,57,160,0,15,397
201609,8200,11146,51,142,0,22,385
201610,9420,11853,33,146,0,6,447
201611,10074,12438,45,149,0,33,422
201612,9251,11996,52,166,0,31,417
201701,9285,10759,64,218,0,13,479
201702,8059,11662,124,178,0,40,392
201703,10270,15592,130,224,0,35,535
201704,8701,13309,68,222,0,17,432
201705,10016,16026,104,270,0,30,563
201706,10254,15377,124,231,0,14,634
201707,7444,11381,110,262,0,21,431
201708,7514,12832,125,244,0,22,455
201709,7328,12154,76,190,0,42,429
201710,8824,13528,73,281,0,28,458
201711,8396,13648,70,270,0,25,516
201712,6550,12528,132,236,0,20,501
201801,8182,14071,91,291,25,18,541
201802,6171,13227,155,219,22,34,373
201803,7311,16221,103,232,27,55,504
201804,7918,15388,48,294,24,57,530
201805,7818,16813,46,311,37,61,634
201806,8113,16600,84,391,30,42,672
201807,5790,14753,66,402,23,73,531
201808,6936,19567,36,481,29,39,742
201809,4348,9477,17,452,14,17,207
201810,5727,13074,47,556,19,59,222
201811,5932,12499,38,489,15,78,232
201812,4309,9469,85,435,13,85,270
201901,5993,12431,67,488,24,54,221
201902,4844,13159,60,446,18,43,277
201903,5538,15069,73,429,11,35,336
201904,6006,15550,40,739,19,53,514
201905,6381,16314,25,741,32,61,505
201906,5469,14926,25,742,25,78,637
201907,5888,14606,41,600,25,41,615
201908,6101,17307,37,742,63,96,680
201909,4588,10170,24,580,37,46,325
201910,6057,12564,7,781,70,38,418
201911,5852,12968,5,814,104,45,375
201912,5595,11889,2,771,42,46,362
202001,5772,11665,7,648,235,371,434
202002,4790,10983,5,875,128,208,388
202003,3971,8406,29,583,101,162,433
202004,3021,6499,31,499,78,127,424
202005,3241,8844,54,650,76,79,441
202006,5705,13374,83,862,128,81,539
202007,6126,11804,130,988,113,82,527
202008,4958,9924,165,935,130,87,412
202009,5059,9733,184,1093,187,207,446
202010,5235,9616,186,1002,162,127,507
202011,5365,9853,184,1147,277,208,450
202012,5735,11040,222,1411,363,1127,435
202101,4479,8357,77,1121,235,231,294
202102,4238,8496,98,1101,208,118,428
202103,5191,11800,169,1540,501,214,638
202104,4858,11335,139,1486,380,190,588
202105,5231,13388,204,1663,396,235,617
202106,4822,14104,309,1965,472,274,615
202107,3681,11860,216,1715,252,164,517
202108,3117,10276,251,1772,264,178,591
202109,2756,8733,184,1564,270,221,437
202110,2408,7592,110,1618,234,196,512
202111,3580,9605,158,1884,214,292,441
202112,3694,8967,344,1909,309,333,652
202201,4317,8505,366,1912,271,182,710
202202,3029,8091,288,1814,218,309,476
202203,3445,9783,367,2295,222,286,505
202204,3186,8328,261,1923,274,258,484
202205,4289,10295,139,2247,313,283,507
202206,3817,10389,564,2521,331,600,516
202207,2678,7809,479,1580,231,311,360
202208,3097,10102,315,2069,248,335,415
202209,3376,8494,187,1864,328,305,344
202210,4127,8789,248,2054,345,287,433
202211,3772,9833,376,2146,412,447,422
202212,3069,7851,376,2244,367,289,357
202301,3820,9320,283,2457,488,429,340
202302,3510,9309,326,2614,370,299,398
202303,5106,12268,314,3380,422,589,299
202304,4473,9986,295,2510,411,471,283
202305,5050,10798,278,2871,406,571,324
202306,4884,10727,357,2982,525,633,372
202307,3665,8654,175,2387,479,466,264
202308,3576,10431,223,3143,542,589,214
202309,3569,9261,222,2970,416,581,189
202310,3958,9954,262,3479,686,735,248
202311,4267,10100,356,3249,447,765,227
202312,3019,7376,411,3109,461,512,237
202401,4397,11243,281,3387,434,479,140
202402,3632,9782,378,3601,455,443,37
202403,3968,9627,480,3910,521,386,24
202404,4475,9536,394,4075,471,588,7
202405,4909,9071,369,4097,529,747,14
202406,5279,10471,366,4156,531,1524,7
202407,4198,8073,290,3514,557,820,0
202408,3823,8236,376,3397,471,781,0
202409,3990,8789,257,3312,429,1463,2
202410,4354,10404,412,3891,532,1475,2
202411,3842,10386,512,4131,521,1249,0
202412,3582,8346,474,4061,449,978,0
202501,3760,9362,378,4225,641,981,0
202502,3531,8844,469,3634,557,737,1
202503,4028,10710,599,4856,977,1395,1
202504,3332,10768,477,4571,849,1229,0
202505,3413,8870,549,4529,948,1210,0
202506,4043,10160,711,4919,996,1358,21
202507,3730,9670,508,4887,952,1070,0
202508,2820,8113,413,4475,948,840,2
202509,3513,10248,573,4739,935,1360,2
202510,3687,11292,595,5474,986,1264,0
202511,3341,10081,638,5111,1000,1143,3
202512,3383,9574,545,5700,1244,1219,2
202601,3786,7754,226,4482,850,940,5
202602,3644,8543,372,4136,937,958,1
202603,4206,10700,531,5939,996,1541,3
202604,3888,10170,399,5166,1090,1684,0
202605,3731,8722,531,5025,1098,1356,0
202606,4564,11152,671,6312,1546,2151,2
