"YYYYMM","Diesel","Petrol","LPG / LPG blend","Hybrid","Battery electric","Others"
202501,4093,7501,535,1589,3268,0
202502,4736,8870,631,2012,4105,0
202503,5327,9794,633,2165,4935,0
202504,5698,11067,732,2593,5399,0
202505,6098,12494,754,2904,5806,2
202506,5529,11435,667,2344,5893,0
202507,5959,12916,806,2541,6811,0
202508,5361,13073,743,2794,7726,0
202509,5430,12381,730,2558,8764,0
202510,6312,13839,797,3009,10205,1
202511,5480,11989,672,2454,10459,1
202512,5835,12337,697,2818,30327,0
202601,5263,11311,603,2251,2265,1
202602,4603,10607,534,2438,981,1
202603,5478,13064,694,3161,1926,1
202604,5129,12903,658,3338,2668,1
