"YYYYMM","Diesel","Petrol","LPG","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
201804,90901,59017,10684,7032,186,243,4118
201805,103427,70508,12366,7449,307,594,5506
201806,92763,58099,11602,7234,695,440,4952
201807,78303,50810,12460,7266,645,641,3322
201808,51842,26907,7627,3745,377,190,1657
201809,60375,48769,7374,7407,329,489,1220
201810,65055,61630,10555,8189,548,587,1189
201811,66771,60265,10558,7645,383,462,1940
201812,58165,52085,7725,5502,161,380,1421
201901,68116,74722,12162,8236,284,282,1734
201902,80215,75674,10361,9105,268,250,1974
201903,87811,80151,12848,9803,451,621,2742
201904,70788,78409,12077,8973,471,1190,3027
201905,82810,86487,13016,10177,420,1167,3798
201906,72088,74012,11931,9129,344,1445,3526
201907,57068,68829,14069,8373,328,940,3928
201908,34053,39123,9020,4082,297,534,2244
201909,52166,63681,11052,9513,1436,1253,3505
201910,56623,72561,10763,11678,845,939,4575
201911,55949,69437,9717,10396,975,1068,4031
201912,48930,68883,9508,9079,697,844,3443
202001,52344,72642,9615,14302,1341,1943,4114
202002,56889,73513,9147,16807,1219,2530,3577
202003,10566,10161,2240,3578,388,926,738
202004,1769,1522,176,255,26,500,77
202005,36309,41466,6431,11442,1176,1816,1957
202006,47415,52997,9632,16039,1645,2228,3152
202007,50652,52850,8830,17447,2094,1608,3605
202008,31483,32283,6047,13419,1598,1877,2515
202009,50863,51607,11963,32349,2874,4089,3508
202010,48726,49809,11553,39093,3653,2889,2527
202011,40395,43533,11124,32309,4940,4810,2795
202012,31297,40023,7319,25916,6374,7255,3022
202101,36302,48487,8185,32800,3760,2494,2744
202102,36027,47294,7477,41582,4913,3457,3388
202103,41775,53072,10503,46246,7732,7362,4374
202104,33415,46614,9451,42010,6673,4851,3256
202105,33653,44664,9214,40343,7727,5163,3206
202106,33635,45492,12259,41200,7118,7025,3602
202107,25218,30444,9337,32736,6272,5096,2197
202108,14006,16294,6327,20604,3199,3247,1508
202109,20320,26591,9987,33276,5507,8492,2172
202110,18449,26455,7942,36069,5123,7134,1413
202111,20247,28656,9862,33474,5560,6958,1933
202112,18318,23161,7190,26818,5657,6205,1622
202201,20734,29659,10059,38016,5461,3658,1421
202202,25040,29669,9237,38533,5473,3175,1391
202203,25541,33164,11244,39420,6083,4511,1315
202204,20762,26664,7265,34524,5552,3050,858
202205,23911,34893,9600,41127,7476,4489,1265
202206,26665,37513,12430,37391,7073,6190,1356
202207,22967,33200,8769,36841,5133,3617,688
202208,13079,19204,6268,28079,2721,2304,387
202209,21749,30647,9770,40231,4452,5088,625
202210,22004,32234,10363,42646,6116,3695,473
202211,22102,32667,13620,40895,6698,5162,414
202212,21928,27282,10140,37022,5473,4598,539
202301,24830,34323,13376,47689,6136,3342,296
202302,25363,34591,13310,48312,5615,4914,256
202303,34495,48353,12925,58673,7337,8195,187
202304,25067,37149,10548,44218,6055,3996,92
202305,29497,43268,12752,52548,7056,6213,100
202306,25960,40073,11906,48937,7539,6159,116
202307,21789,34634,11845,43227,5337,4158,113
202308,13785,24090,7923,27726,3356,4081,68
202309,21475,40596,11122,54795,5543,4992,99
202310,21564,39018,14041,55321,5853,5814,119
202311,20793,39387,13776,53727,5770,7960,223
202312,17651,34240,10060,39893,4506,6840,235
202401,22755,43681,15587,54752,4105,2984,225
202402,22063,46428,14180,56323,4693,5054,350
202403,24866,51441,12519,63905,5688,5367,255
202404,19709,43229,11635,54438,4482,3208,219
202405,20393,45395,9007,56640,4598,5070,86
202406,20741,42779,16325,62476,5607,13415,77
202407,16281,35910,14364,50581,4889,4292,13
202408,9357,19561,7382,28270,2425,2605,3
202409,15634,31260,11447,53975,4136,6437,10
202410,16774,35314,11768,54936,4363,5067,3
202411,15886,34497,11319,53551,3944,6613,0
202412,14061,30284,9876,43847,3707,5870,0
202501,12572,36138,13713,60500,4867,6729,0
202502,13574,36552,13781,62149,6207,6980,0
202503,17751,46220,13431,78796,7841,9393,0
202504,13922,38252,11122,62005,8036,6667,1
202505,13878,36317,12590,61341,8953,7144,1
202506,13323,31464,12819,58027,9546,7953,1
202507,11379,27913,12238,53372,8918,5898,1
202508,2931,14631,6378,23465,2171,2080,0
202509,11197,29061,11565,57708,11062,7190,0
202510,11790,29122,12316,58038,9833,6331,1
