"Year","fossil_carbon","land-use_change","atmosphere","land","ocean"
1952,6.441080,5.724389,1.760364,-0.334073,2.668858
1953,6.620392,5.832111,2.009399,3.692673,2.728361
1954,6.759846,6.003708,2.283337,2.943978,2.773080
1955,7.409883,6.185565,2.566614,7.301004,2.820071
1956,7.887834,6.390993,2.842887,9.030682,2.869975
1957,8.146566,6.582620,3.193092,2.916374,2.905424
1958,8.375865,6.774980,6.378905,-0.092662,2.959834
1959,8.809746,7.104252,7.471043,1.472214,3.572419
1960,9.336976,6.568086,5.525459,4.521858,3.513824
1961,9.364515,6.106056,6.070222,3.077097,2.950697
1962,9.692904,5.892689,4.358108,4.844655,3.280119
1963,10.209852,5.652575,4.435932,3.194703,3.883243
1964,10.762009,5.475726,3.813345,6.178331,4.445329
1965,11.246183,5.066701,8.560570,1.246585,4.838872
1966,11.790293,4.847716,8.560570,5.112246,4.675487
1967,12.163568,4.924905,4.747225,6.140292,4.129580
1968,12.824665,4.977422,7.704513,8.807301,4.332961
1969,13.675874,4.665982,10.272684,2.610676,4.670445
1970,14.801609,4.598686,8.794040,2.612114,4.123805
1971,15.402880,4.585862,5.681105,8.975627,4.446632
1972,16.116993,4.590503,11.440034,4.589143,5.427881
1973,16.966673,4.447607,11.362211,6.927188,4.951590
1974,16.895083,4.320955,5.291988,15.339056,4.801761
1975,16.929625,4.370053,9.572273,9.691390,4.611995
1976,17.859684,4.304834,7.548866,10.951412,5.216584
1977,18.361858,4.407181,14.942085,5.526261,5.509733
1978,18.926526,4.223371,10.039213,10.188491,5.644964
1979,19.462360,4.059468,16.654199,5.203620,5.450435
1980,19.340528,4.084627,13.307795,1.508035,6.362434
1981,18.872111,4.391793,8.949686,8.133942,6.313365
1982,18.717334,4.408891,7.704513,6.118499,6.920153
1983,18.833826,4.804847,14.241675,1.030540,7.357663
1984,19.486738,5.306083,9.572273,10.576444,6.845465
1985,20.142375,5.080380,12.840854,10.133597,6.504742
1986,20.435550,5.116654,7.937983,8.452422,6.690536
1987,21.073104,5.112868,20.623190,1.292446,7.024722
1988,21.894957,5.058518,16.887669,7.549548,6.570782
1989,22.197704,4.868845,11.362211,13.079118,6.664976
1990,22.546803,4.877273,9.494450,8.545515,7.381740
1991,23.021273,4.757215,5.836752,8.257195,7.782491
1992,22.353226,4.890707,5.603282,8.264410,8.307812
1993,22.570640,4.876418,9.572273,10.481498,8.135341
1994,22.713808,5.295823,12.918678,5.372606,7.374359
1995,23.189210,5.288251,15.564672,6.493176,7.320928
1996,23.879263,5.285076,8.171453,12.451453,7.348951
1997,24.011611,7.104862,15.331202,11.670141,7.898522
1998,23.918747,5.486718,22.101834,5.516747,8.061786
1999,24.427028,5.489038,10.350507,13.168831,7.203109
2000,25.136135,5.115921,9.727920,13.728271,7.003279
2001,25.340418,4.739018,14.397322,8.736799,6.663950
2002,25.936250,5.177232,18.444136,3.610839,7.963048
2003,27.281305,5.652819,17.821549,8.472446,8.479757
2004,28.240644,5.362264,12.062621,12.699268,8.334992
2005,29.191500,4.716667,19.222370,6.882623,8.532698
2006,30.132748,5.073297,13.774735,11.410761,8.886546
2007,31.010830,4.436982,16.498552,9.925983,8.664330
2008,31.572691,4.643021,13.852558,13.299547,8.726154
2009,31.024319,5.033725,12.296091,10.939726,9.291153
2010,32.790830,4.837701,18.833253,12.169879,9.200113
2011,33.866086,4.964109,13.074324,15.055645,9.360488
2012,34.360067,4.826954,18.755430,8.483874,9.609862
2013,34.641847,4.628121,19.066723,13.038244,9.700470
2014,34.869960,4.917699,15.875965,13.422767,10.196505
2015,34.843389,5.385714,22.957891,7.359766,10.430102
2016,34.798562,4.527849,22.101834,9.869163,10.924632
2017,35.353215,4.331947,16.654199,13.025533,10.460089
2018,36.058159,4.181357,18.444136,13.364200,10.798656
2019,36.298457,4.557283,19.922780,11.145702,10.972787
2020,34.455945,4.057758,18.288490,11.377221,10.985094
2021,36.281882,3.939044,19.144547,12.642071,10.550530
