"Year","China","USA","EU27","India","Russia","Japan","United Kingdom","All others"
1942,0.942171,39.234782,30.458414,0.850229,2.378931,1.801882,17.216583,7.117007
1943,0.974508,39.390576,30.352333,0.852243,2.393838,1.833356,17.000118,7.203028
1944,1.001726,39.611481,30.142828,0.854362,2.441167,1.856396,16.781768,7.310272
1945,1.008393,39.949945,29.748142,0.862655,2.503110,1.855261,16.633733,7.438760
1946,1.003174,40.147878,29.487720,0.868631,2.571388,1.838943,16.469604,7.612662
1947,0.998538,40.349730,29.237348,0.872710,2.655253,1.827266,16.285815,7.773339
1948,0.991243,40.534618,29.010254,0.875474,2.740755,1.822205,16.096696,7.928756
1949,0.995823,40.552095,28.869114,0.880136,2.844576,1.823491,15.933490,8.101276
1950,1.004247,40.599422,28.667790,0.883790,2.952585,1.820427,15.731974,8.339763
1951,1.020609,40.611701,28.496152,0.887075,3.065013,1.823574,15.534836,8.561040
1952,1.046554,40.580478,28.347371,0.891289,3.183630,1.828804,15.335785,8.786090
1953,1.072694,40.545988,28.196995,0.895137,3.304917,1.838653,15.140678,9.004937
1954,1.107570,40.441568,28.076915,0.899746,3.436488,1.845661,14.952498,9.239554
1955,1.149159,40.333190,27.943628,0.904293,3.580890,1.847392,14.746251,9.495197
1956,1.195746,40.207686,27.813999,0.908027,3.733291,1.852710,14.524371,9.764171
1957,1.252960,40.042663,27.687101,0.914298,3.896905,1.865904,14.300384,10.039784
1958,1.400335,39.823425,27.539574,0.920927,4.065728,1.874376,14.072741,10.302894
1959,1.603610,39.586463,27.369696,0.927709,4.232680,1.883454,13.834149,10.562239
1960,1.817802,39.315879,27.214364,0.935716,4.393688,1.901853,13.598009,10.822688
1961,1.945792,39.054375,27.097624,0.946058,4.553426,1.935071,13.376231,11.091423
1962,2.029653,38.801344,27.007965,0.958590,4.712992,1.967441,13.155179,11.366835
1963,2.104421,38.542666,26.929036,0.971834,4.876442,2.004402,12.929981,11.641218
1964,2.172290,38.277386,26.849400,0.981819,5.040922,2.045759,12.698909,11.933514
1965,2.244115,38.014138,26.747020,0.993840,5.206926,2.089498,12.468812,12.235651
1966,2.321456,37.757468,26.633256,1.005158,5.372341,2.136283,12.233474,12.540564
1967,2.367970,37.514949,26.516480,1.014801,5.536623,2.196476,11.994064,12.858637
1968,2.416474,37.258703,26.406291,1.025804,5.690096,2.267612,11.753292,13.181727
1969,2.484370,36.988499,26.296562,1.034738,5.834883,2.351809,11.508930,13.500209
1970,2.588629,36.709613,26.156663,1.041301,5.970943,2.451248,11.256005,13.825598
1971,2.705255,36.404965,26.011642,1.048307,6.109432,2.546892,11.006849,14.166658
1972,2.822514,36.109381,25.864004,1.055593,6.246053,2.644053,10.754838,14.503564
1973,2.934734,35.813984,25.716479,1.061723,6.376031,2.742719,10.503527,14.850801
1974,3.043569,35.510631,25.578997,1.068964,6.510928,2.834855,10.262620,15.189438
1975,3.175653,35.196806,25.434489,1.079286,6.653904,2.911430,10.034506,15.513926
1976,3.301429,34.892512,25.306885,1.088995,6.788813,2.985031,9.802778,15.833558
1977,3.436781,34.602051,25.156810,1.099651,6.920142,3.055661,9.578525,16.150378
1978,3.586699,34.304817,25.014329,1.109208,7.047597,3.112728,9.359576,16.465046
1979,3.728912,34.006986,24.876902,1.119359,7.162835,3.171966,9.153405,16.779635
1980,3.857329,33.701843,24.747399,1.131647,7.285424,3.226575,8.951570,17.098213
1981,3.977709,33.421386,24.609924,1.147793,7.399271,3.277279,8.766106,17.400531
1982,4.112328,33.128012,24.472073,1.164887,7.514287,3.321109,8.591864,17.695440
1983,4.251776,32.842712,24.331071,1.184873,7.625855,3.359261,8.425686,17.978764
1984,4.401416,32.576241,24.179604,1.203944,7.726420,3.400276,8.258386,18.253714
1985,4.560319,32.292743,24.022064,1.225960,7.838447,3.432140,8.097257,18.531071
1986,4.723039,32.013357,23.861150,1.250213,7.940807,3.460711,7.943186,18.807536
1987,4.893202,31.743799,23.693041,1.275932,8.031599,3.483297,7.791331,19.087800
1988,5.070423,31.484401,23.502956,1.303569,8.118791,3.511695,7.639414,19.368751
1989,5.240411,31.238048,23.319456,1.335396,8.193757,3.541751,7.494643,19.636538
1990,5.401219,30.990851,23.140086,1.369504,8.277153,3.585568,7.357306,19.878313
1991,5.564561,30.732186,22.949504,1.405426,8.335388,3.626243,7.224177,20.162514
1992,5.738125,30.524505,22.772017,1.445229,8.345216,3.668706,7.102052,20.404150
1993,5.923006,30.330848,22.589968,1.485081,8.340877,3.707176,6.982754,20.640291
1994,6.117319,30.151979,22.411213,1.526987,8.310838,3.749176,6.867710,20.864778
1995,6.326627,29.972865,22.234801,1.570881,8.274844,3.788407,6.753968,21.077607
1996,6.536077,29.800531,22.059679,1.618152,8.231042,3.824171,6.643137,21.287212
1997,6.734781,29.640219,21.883247,1.666302,8.177406,3.856820,6.534388,21.506837
1998,6.909265,29.494989,21.716509,1.714064,8.125409,3.884196,6.432139,21.723430
1999,7.090748,29.348890,21.541281,1.765932,8.074581,3.911869,6.330851,21.935849
2000,7.267373,29.209288,21.360720,1.816685,8.019173,3.937685,6.230768,22.158309
2001,7.441505,29.060725,21.189908,1.865919,7.968231,3.960104,6.135065,22.378543
2002,7.638741,28.906652,21.015464,1.914552,7.914402,3.981925,6.038851,22.589413
2003,7.880926,28.730282,20.831136,1.961765,7.856143,3.998571,5.940895,22.800282
2004,8.138970,28.546816,20.638947,2.010708,7.794567,4.010575,5.842802,23.016616
2005,8.432871,28.350407,20.437466,2.060688,7.731038,4.019299,5.744447,23.223784
2006,8.755928,28.134196,20.230290,2.112608,7.669308,4.022439,5.646135,23.429097
2007,9.095835,27.914388,20.015763,2.168294,7.605049,4.025340,5.547918,23.627413
2008,9.455324,27.675870,19.796291,2.228424,7.542770,4.020701,5.450934,23.829686
2009,9.830921,27.426651,19.572843,2.297998,7.478294,4.012601,5.356964,24.023727
2010,10.229623,27.167456,19.341411,2.365968,7.413378,4.003358,5.261678,24.217128
2011,10.666674,26.889040,19.098339,2.436073,7.349476,3.994938,5.163725,24.401735
2012,11.096028,26.600162,18.855051,2.514895,7.287103,3.988383,5.069964,24.588414
2013,11.514321,26.328978,18.613778,2.594516,7.221904,3.981932,4.978988,24.765582
2014,11.913411,26.069436,18.371561,2.680004,7.158498,3.971637,4.888881,24.946572
2015,12.285208,25.812357,18.144420,2.767019,7.098030,3.959180,4.801987,25.131799
2016,12.633650,25.559587,17.928551,2.857398,7.040174,3.946110,4.717700,25.316831
2017,12.977315,25.306431,17.717438,2.945883,6.984242,3.931227,4.634755,25.502709
2018,13.320823,25.063482,17.503283,3.039271,6.930536,3.912475,4.552982,25.677148
2019,13.670303,24.820405,17.287362,3.129598,6.877664,3.891702,4.473245,25.849721
2020,14.032228,24.582268,17.082410,3.208725,6.830407,3.872227,4.399440,25.992296
2021,14.393760,24.344527,16.877567,3.296378,6.785372,3.850862,4.325179,26.126355
