"Year","Coal","Oil","Gas","Others","Land-use change"
1945,2.998270,1.008345,0.216697,0.022991,5.183339
1946,3.234314,1.139899,0.223834,0.036330,5.167095
1947,3.621548,1.221314,0.247888,0.043192,5.114455
1948,3.739455,1.339607,0.280122,0.051684,5.062305
1949,3.546310,1.336641,0.300454,0.058264,5.001238
1950,3.856215,1.648310,0.353156,0.140603,5.425163
1951,4.060040,1.742354,0.416186,0.155714,5.599081
1952,4.009059,1.838024,0.447085,0.166204,5.724389
1953,4.043705,1.952100,0.474527,0.170976,5.832111
1954,4.039512,2.068543,0.501350,0.174843,6.003708
1955,4.372781,2.311864,0.547229,0.204402,6.185565
1956,4.597137,2.508048,0.587229,0.224798,6.390993
1957,4.681798,2.621266,0.646666,0.228995,6.582620
1958,4.754382,2.726366,0.705825,0.224890,6.774980
1959,4.948028,2.904649,0.758226,0.237030,7.104252
1960,5.152557,3.126444,0.834527,0.246633,6.568086
1961,4.943284,3.313503,0.882007,0.250447,6.106056
1962,4.928786,3.561940,0.967683,0.262374,5.892689
1963,5.109542,3.806973,1.046822,0.276566,5.652575
1964,5.215190,4.107569,1.152860,0.319012,5.475726
1965,5.293218,4.412376,1.230538,0.346933,5.066701
1966,5.351301,4.761953,1.339840,0.377619,4.847716
1967,5.266113,5.077080,1.432946,0.430691,4.924905
1968,5.323236,5.530293,1.559571,0.459199,4.977422
1969,5.521839,5.980509,1.708518,0.514826,4.665982
1970,5.696271,6.801260,1.790679,0.566156,4.598686
1971,5.699823,7.202926,1.933313,0.624772,4.585862
1972,5.693585,7.766614,2.052041,0.668417,4.590503
1973,5.862085,8.225938,2.203890,0.742653,4.447607
1974,5.865810,8.107899,2.258999,0.732380,4.320955
1975,6.037091,8.039023,2.255543,0.675802,4.370053
1976,6.263989,8.541493,2.386850,0.749537,4.304834
1977,6.417698,8.842060,2.441085,0.752311,4.407181
1978,6.531792,9.159137,2.550346,0.784842,4.223371
1979,6.840287,9.276707,2.688997,0.760007,4.059468
1980,7.024129,8.951776,2.758101,0.719055,4.084627
1981,7.004883,8.550305,2.794347,0.639911,4.391793
1982,7.126512,8.345176,2.731273,0.636512,4.408891
1983,7.314190,8.260815,2.760542,0.622724,4.804847
1984,7.668797,8.328840,3.010425,0.604454,5.306083
1985,8.217824,8.326771,3.121401,0.604219,5.080380
1986,8.335814,8.576334,3.045544,0.610017,5.116654
1987,8.617361,8.654659,3.305280,0.622198,5.112868
1988,8.910819,8.972672,3.466022,0.669118,5.058518
1989,8.909616,9.130080,3.639817,0.644180,4.868845
1990,8.688660,9.249363,3.833133,0.761713,4.877273
1991,8.604035,9.723429,3.909677,0.790715,4.757215
1992,8.399006,9.226139,3.958120,0.779424,4.890707
1993,8.500947,9.232773,4.067061,0.795568,4.876418
1994,8.548628,9.265657,4.102083,0.836514,5.295823
1995,8.793983,9.363845,4.209968,0.867378,5.288251
1996,9.015794,9.643208,4.395992,0.882487,5.285076
1997,8.967540,9.786861,4.412478,0.912026,7.104862
1998,8.725985,9.883467,4.484475,0.898864,5.486718
1999,8.855187,10.112427,4.621803,0.923759,5.489038
2000,9.203118,10.302091,4.731291,1.000856,5.115921
2001,9.255257,10.390669,4.773585,1.035460,4.739018
2002,9.678959,10.385864,4.905854,1.094606,5.177232
2003,10.518464,10.679654,5.081468,1.151628,5.652819
2004,10.871584,11.042505,5.257190,1.234369,5.362264
2005,11.543335,11.139399,5.380666,1.309400,4.716667
2006,12.188840,11.246322,5.506809,1.398529,5.073297
2007,12.776360,11.283665,5.694134,1.493375,4.436982
2008,13.192797,11.251325,5.864291,1.517813,4.643021
2009,13.016428,10.996949,5.751954,1.555132,5.033725
2010,13.926621,11.359883,6.195344,1.636529,4.837701
2011,14.737126,11.388086,6.366902,1.720079,4.964109
2012,14.922759,11.541707,6.500594,1.764922,4.826954
2013,15.024486,11.626446,6.542527,1.831621,4.628121
2014,15.051513,11.678782,6.654555,1.887814,4.917699
2015,14.710087,11.929666,6.788074,1.827970,5.385714
2016,14.360605,12.023833,6.973649,1.866002,4.527849
2017,14.506974,12.242628,7.144928,1.899915,4.331947
2018,14.746831,12.266016,7.529847,1.981334,4.181357
2019,14.725978,12.345653,7.647528,2.056761,4.557283
2020,14.174564,11.191809,7.556290,2.045121,4.057758
2021,14.979598,11.837159,7.921829,2.089118,3.939044
