"Year","China","USA","EU27","India","Russia","Japan","World"
1834,"NaN",0.226749,"NaN","NaN","NaN","NaN",0.076015
1835,"NaN",0.281478,"NaN","NaN","NaN","NaN",0.077308
1836,"NaN",0.300284,"NaN","NaN","NaN","NaN",0.089104
1837,"NaN",0.328086,"NaN","NaN","NaN","NaN",0.088583
1838,"NaN",0.303225,"NaN","NaN","NaN","NaN",0.090957
1839,"NaN",0.324414,"NaN","NaN","NaN","NaN",0.093486
1840,"NaN",0.336704,"NaN","NaN","NaN","NaN",0.099110
1841,"NaN",0.344158,"NaN","NaN","NaN","NaN",0.101666
1842,"NaN",0.370572,"NaN","NaN","NaN","NaN",0.106830
1843,"NaN",0.402722,"NaN","NaN","NaN","NaN",0.109036
1844,"NaN",0.467894,"NaN","NaN","NaN","NaN",0.115480
1845,"NaN",0.546488,"NaN","NaN","NaN","NaN",0.126094
1846,"NaN",0.601982,"NaN","NaN","NaN","NaN",0.127541
1847,"NaN",0.693646,"NaN","NaN","NaN","NaN",0.138640
1848,"NaN",0.751421,"NaN","NaN","NaN","NaN",0.139067
1849,"NaN",0.793946,"NaN","NaN","NaN","NaN",0.146077
1850,"NaN",0.839405,"NaN","NaN","NaN","NaN",0.155935
1851,"NaN",1.009333,"NaN","NaN","NaN","NaN",0.156647
1852,"NaN",1.061839,"NaN","NaN","NaN","NaN",0.162709
1853,"NaN",1.153118,"NaN","NaN","NaN","NaN",0.169417
1854,"NaN",1.233498,"NaN","NaN","NaN","NaN",0.197994
1855,"NaN",1.377243,"NaN","NaN","NaN","NaN",0.200872
1856,"NaN",1.403083,"NaN","NaN","NaN","NaN",0.213011
1857,"NaN",1.398314,"NaN","NaN","NaN","NaN",0.213918
1858,"NaN",1.379725,"NaN",0.001627,"NaN","NaN",0.216090
1859,"NaN",1.461368,"NaN",0.002615,"NaN","NaN",0.227962
1860,"NaN",1.489932,"NaN",0.002633,"NaN","NaN",0.248882
1861,"NaN",1.397865,"NaN",0.002029,"NaN","NaN",0.260419
1862,"NaN",1.415722,"NaN",0.002237,"NaN","NaN",0.263804
1863,"NaN",1.595417,"NaN",0.002471,"NaN","NaN",0.280103
1864,"NaN",1.666750,"NaN",0.002329,"NaN","NaN",0.300231
1865,"NaN",1.632517,"NaN",0.002280,"NaN","NaN",0.317196
1866,"NaN",1.606543,"NaN",0.002565,"NaN","NaN",0.325541
1867,"NaN",1.932355,"NaN","NaN","NaN","NaN",0.346993
1868,"NaN",2.136439,"NaN","NaN","NaN",0.000322,0.354549
1869,"NaN",2.378943,"NaN","NaN","NaN",0.000534,0.374548
1870,"NaN",2.450762,"NaN","NaN","NaN",0.000532,0.380759
1871,"NaN",2.506708,"NaN","NaN","NaN",0.000740,0.402678
1872,"NaN",2.997565,"NaN","NaN","NaN",0.000946,0.443188
1873,"NaN",3.231269,"NaN","NaN","NaN",0.001149,0.468346
1874,"NaN",3.037560,"NaN","NaN","NaN",0.016638,0.436178
1875,"NaN",3.000277,"NaN","NaN","NaN",0.040635,0.470644
1876,"NaN",2.869488,"NaN","NaN","NaN",0.039294,0.474901
1877,"NaN",3.109890,"NaN","NaN","NaN",0.035808,0.481702
1878,"NaN",2.975551,"NaN",0.006892,"NaN",0.051154,0.482740
1879,"NaN",3.552003,"NaN",0.006560,"NaN",0.063343,0.514558
1880,"NaN",3.937616,"NaN",0.007336,"NaN",0.063809,0.578784
1881,"NaN",4.062248,"NaN",0.007092,"NaN",0.065062,0.594991
1882,"NaN",4.439134,"NaN",0.008398,"NaN",0.067181,0.624948
1883,"NaN",4.674607,"NaN",0.009255,"NaN",0.071794,0.660941
1884,"NaN",4.813195,"NaN",0.010265,"NaN",0.077530,0.664685
1885,"NaN",4.784934,"NaN",0.009171,"NaN",0.087150,0.665944
1886,"NaN",4.942287,"NaN",0.010251,"NaN",0.093350,0.672597
1887,"NaN",5.170583,"NaN",0.011243,"NaN",0.115107,0.702274
1888,"NaN",6.156147,"NaN",0.012399,"NaN",0.131714,0.773231
1889,"NaN",5.410577,"NaN",0.014504,"NaN",0.157590,0.768545
1890,"NaN",6.346518,"NaN",0.015849,"NaN",0.168586,0.832553
1891,"NaN",6.615251,"NaN",0.017038,"NaN",0.201166,0.866297
1892,"NaN",6.833064,"NaN",0.018701,"NaN",0.198492,0.868411
1893,"NaN",6.754248,"NaN",0.019721,"NaN",0.209111,0.853030
1894,"NaN",6.201403,"NaN",0.019948,"NaN",0.266626,0.877618
1895,"NaN",6.871027,"NaN",0.024941,"NaN",0.292681,0.925045
1896,"NaN",6.757669,"NaN",0.026927,"NaN",0.306086,0.949571
1897,"NaN",6.903274,"NaN",0.029161,"NaN",0.317570,0.988617
1898,"NaN",7.391082,"NaN",0.032186,"NaN",0.399732,1.036530
1899,"NaN",8.330346,"NaN",0.035402,"NaN",0.395913,1.125493
1900,"NaN",8.675608,"NaN",0.041932,"NaN",0.440149,1.179988
1901,"NaN",9.263655,"NaN",0.046051,"NaN",0.521108,1.211361
1902,"NaN",9.620050,"NaN",0.050401,"NaN",0.551199,1.233733
1903,"NaN",11.049427,"NaN",0.051095,"NaN",0.562536,1.335657
1904,"NaN",10.693551,"NaN",0.056813,"NaN",0.626415,1.341202
1905,"NaN",11.723323,"NaN",0.057725,"NaN",0.639160,1.417569
1906,"NaN",12.072651,"NaN",0.066247,"NaN",0.695684,1.469314
1907,0.047826,13.783778,"NaN",0.073333,"NaN",0.735397,1.661760
1908,0.054353,11.822053,"NaN",0.083389,"NaN",0.779796,1.585453
1909,0.057654,12.831814,"NaN",0.080342,"NaN",0.782824,1.638373
1910,0.059124,13.707267,"NaN",0.077747,"NaN",0.795354,1.707102
1911,0.057593,13.356820,"NaN",0.081763,"NaN",0.880411,1.720252
1912,0.039385,14.038907,"NaN",0.094006,"NaN",0.967409,1.794799
1913,0.055478,14.779236,"NaN",0.103611,"NaN",1.051152,1.931068
1914,0.060455,13.245367,"NaN",0.104270,"NaN",1.107256,1.739192
1915,0.056891,13.549469,"NaN",0.108947,"NaN",0.994696,1.702133
1916,0.066697,14.839013,"NaN",0.110074,"NaN",1.088885,1.825188
1917,0.070114,16.095347,"NaN",0.114894,"NaN",1.239663,1.894589
1918,0.075250,16.651595,"NaN",0.129005,"NaN",1.303488,1.855467
1919,0.081390,14.024052,"NaN",0.140763,"NaN",1.433292,1.596498
1920,0.085336,16.263375,"NaN",0.114097,"NaN",1.330758,1.841453
1921,0.081834,13.065495,"NaN",0.122049,"NaN",1.182676,1.602529
1922,0.084088,12.995169,"NaN",0.118890,"NaN",1.248574,1.666300
1923,0.097514,16.876826,"NaN",0.121084,"NaN",1.310166,1.874001
1924,0.102033,14.824982,"NaN",0.128285,"NaN",1.352070,1.862817
1925,0.095655,15.119753,"NaN",0.125305,"NaN",1.377832,1.865830
1926,0.090557,16.172552,"NaN",0.123585,"NaN",1.365596,1.815862
1927,0.094678,15.588351,"NaN",0.128321,"NaN",1.456653,1.963536
1928,0.098015,15.135569,"NaN",0.121544,"NaN",1.481544,1.936675
1929,0.099086,16.062058,"NaN",0.125211,"NaN",1.500227,2.059312
1930,0.101347,14.109683,"NaN",0.126039,"NaN",1.342084,1.880942
1931,0.105360,11.914655,"NaN",0.113933,"NaN",1.194755,1.665237
1932,0.101286,10.027537,"NaN",0.104481,"NaN",1.178149,1.486620
1933,0.108222,10.690100,"NaN",0.101133,"NaN",1.359628,1.549511
1934,0.124110,11.310925,"NaN",0.111392,"NaN",1.486310,1.668192
1935,0.143770,11.671615,"NaN",0.114790,"NaN",1.536475,1.733314
1936,0.148589,13.315188,"NaN",0.111251,"NaN",1.665205,1.882451
1937,0.138980,13.846397,"NaN",0.121508,"NaN",1.759743,1.992308
1938,0.119543,11.617078,"NaN",0.133953,"NaN",1.832735,1.854686
1939,0.144225,12.702852,"NaN",0.129293,"NaN",1.765337,1.944099
1940,0.175011,14.136215,"NaN",0.135237,"NaN",2.100186,2.103999
1941,0.218556,15.259516,"NaN",0.136791,"NaN",2.089110,2.134404
1942,0.243416,16.237018,"NaN",0.135073,"NaN",1.969796,2.113554
1943,0.206810,16.551511,"NaN",0.116349,"NaN",1.981942,2.133655
1944,0.194416,17.597210,"NaN",0.117594,"NaN",1.797568,2.151424
1945,0.104941,16.797069,"NaN",0.128836,"NaN",1.005394,1.777338
1946,0.067437,15.904564,"NaN",0.125783,"NaN",0.682736,1.926050
1947,0.077727,17.180792,"NaN",0.153700,"NaN",0.896483,2.117459
1948,0.070969,17.544197,"NaN",0.152012,"NaN",1.098901,2.212653
1949,0.114132,14.454580,"NaN",0.158276,"NaN",1.200670,2.122475
1950,0.144923,17.139592,3.881061,0.171146,4.045953,1.215617,2.401960
1951,0.184452,17.388702,4.313186,0.175441,4.318734,1.440857,2.508639
1952,0.226566,16.680990,4.453816,0.180769,4.553073,1.500268,2.496159
1953,0.231707,16.808948,4.503198,0.180220,4.740580,1.655400,2.517826
1954,0.272703,15.735586,4.751432,0.185804,5.095527,1.599834,2.522296
1955,0.315788,16.932928,5.100311,0.197672,5.686675,1.574809,2.710506
1956,0.350203,17.432252,5.420535,0.200307,6.134746,1.764810,2.829077
1957,0.406006,16.985847,5.550200,0.219783,6.607428,2.047817,2.864216
1958,0.814886,16.145486,5.460705,0.224764,6.944634,1.954876,2.886595
1959,1.104223,16.338840,5.499221,0.232731,7.196029,2.058434,2.981599
1960,1.221088,16.444399,5.900025,0.249633,7.388349,2.461229,3.109289
1961,0.870845,16.119921,6.129348,0.263841,7.514389,2.965608,3.069531
1962,0.691556,16.457443,6.506928,0.283886,7.790186,3.042182,3.118656
1963,0.667900,16.931977,6.888138,0.298042,8.266330,3.340323,3.214132
1964,0.653763,17.430369,7.186937,0.285218,8.709674,3.650259,3.314634
1965,0.691150,17.920337,7.216454,0.307334,9.165809,3.885353,3.391434
1966,0.739566,18.617542,7.378434,0.311890,9.611624,4.172967,3.483700
1967,0.604760,19.121758,7.486333,0.305670,9.986252,4.819440,3.523007
1968,0.634962,19.622215,7.890821,0.326320,10.210260,5.465051,3.640141
1969,0.758248,20.394011,8.361114,0.325342,10.578538,6.274759,3.802461
1970,0.982272,21.662866,8.674836,0.325959,11.074222,7.285014,4.031703
1971,1.078176,21.514514,8.863962,0.336779,11.695676,7.459023,4.112686
1972,1.122624,22.281481,9.139311,0.348358,12.236371,7.874395,4.220954
1973,1.143640,23.081082,9.522670,0.350768,12.682219,8.335792,4.358443
1974,1.143136,22.080899,9.414706,0.354019,13.088041,8.229577,4.259142
1975,1.292955,21.196241,9.176815,0.375622,13.667861,7.726164,4.190906
1976,1.319618,22.261743,9.820947,0.383950,14.097085,7.983680,4.343237
1977,1.422510,22.696185,9.675425,0.397373,14.474800,8.131974,4.388957
1978,1.562891,22.679131,9.955680,0.394961,14.868151,7.785112,4.447253
1979,1.575610,22.718443,10.184355,0.405557,14.898668,8.162268,4.493893
1980,1.521313,21.549341,10.052366,0.418627,15.401190,8.032944,4.388215
1981,1.480545,20.767941,9.486412,0.441829,15.026922,7.828947,4.207223
1982,1.585211,19.505387,9.229668,0.446234,15.217704,7.535028,4.098209
1983,1.646106,19.225551,9.096980,0.472227,15.323305,7.353550,4.050940
1984,1.766785,20.029282,9.156078,0.473931,15.346234,7.778403,4.117552
1985,1.884557,19.785905,9.267971,0.509576,16.434157,7.533092,4.180710
1986,1.952376,19.634184,9.202374,0.534304,16.305869,7.495338,4.167090
1987,2.058381,20.119187,9.256202,0.558213,16.226122,7.381521,4.220188
1988,2.173954,20.844942,9.126634,0.589751,16.638233,8.025064,4.307585
1989,2.171740,20.951413,9.189224,0.634558,16.321434,8.288119,4.290136
1990,2.153806,20.648255,9.235778,0.664019,17.126807,9.363440,4.280799
1991,2.226241,20.134295,9.059302,0.692245,16.203734,9.428065,4.299621
1992,2.306772,20.281035,8.727255,0.722197,13.216354,9.478141,4.110926
1993,2.443147,20.381667,8.544924,0.731148,12.531724,9.396468,4.090215
1994,2.567743,20.457946,8.482149,0.757746,11.065992,9.810747,4.057693
1995,2.756577,20.431330,8.580937,0.789656,10.897812,9.884957,4.084593
1996,2.852102,20.880140,8.766817,0.839232,10.700509,9.961701,4.147430
1997,2.835810,20.895594,8.600163,0.856934,10.015000,9.879864,4.114562
1998,2.695186,20.799134,8.568799,0.858549,9.917491,9.542121,4.044095
1999,2.829973,20.812016,8.429921,0.913936,10.134326,9.812611,4.076034
2000,2.883053,21.304467,8.443825,0.923058,10.066304,9.972840,4.139541
2001,2.925760,20.709631,8.562843,0.919146,10.358040,9.837338,4.119578
2002,3.210536,20.643986,8.547145,0.930677,10.340812,10.049841,4.163394
2003,3.745477,20.665068,8.714358,0.947477,10.592120,10.099357,4.324685
2004,4.028136,20.813086,8.710265,0.989662,10.680396,10.049845,4.422142
2005,4.503496,20.676284,8.635383,1.026231,10.842018,10.098716,4.515677
2006,4.941642,20.207175,8.629685,1.073585,11.289669,9.910887,4.606415
2007,5.280773,20.265635,8.515369,1.140592,11.309476,10.182005,4.684364
2008,5.636008,19.362012,8.290421,1.211135,11.510299,9.622919,4.710472
2009,5.889315,17.772331,7.593082,1.316904,10.752071,9.080565,4.575621
2010,6.391268,18.257408,7.803362,1.351343,11.352681,9.484829,4.776158
2011,7.021286,17.671368,7.561201,1.414156,11.713346,9.882525,4.875781
2012,7.156126,16.881200,7.384547,1.539909,11.798259,10.216229,4.887984
2013,7.235162,17.161404,7.189716,1.578007,11.341706,10.303726,4.871215
2014,7.218233,17.168597,6.873942,1.673244,11.308601,9.918777,4.847727
2015,7.079569,16.563306,6.985990,1.716550,11.265164,9.615687,4.788002
2016,6.965584,16.050104,6.994330,1.780779,11.196787,9.479893,4.728065
2017,7.098687,15.800777,7.038309,1.798018,11.372466,9.382092,4.749682
2018,7.306542,16.187923,6.862261,1.899518,11.674741,9.056307,4.792753
2019,7.554165,15.730884,6.530878,1.898949,11.612027,8.792438,4.775633
2020,7.688950,14.037218,5.887834,1.750956,11.154039,8.321498,4.497423
2021,8.045739,14.858668,6.275720,1.925088,12.098650,8.565739,4.693699
