"archive","Coal","Oil","Gas","Cement"
202207,55.375725,102.673111,40.388673,6.223805
202208,53.855406,105.270852,36.147489,5.679308
202209,56.147893,104.274186,40.769020,5.826452
202210,55.589842,100.074973,45.888809,6.423933
202211,60.579744,100.596705,61.208241,6.090336
202212,61.568617,105.349916,81.062094,4.478659
202301,61.144434,92.130414,82.100051,3.420590
202302,54.596925,93.687616,74.660262,4.571724
202303,54.204308,103.089978,67.818749,5.849493
202304,42.415419,93.514109,52.837162,5.526036
202305,38.200905,100.563635,39.901163,5.226546
202306,35.542263,99.760851,36.065205,5.780902
202307,38.445644,100.698399,37.201432,5.905543
202308,39.447475,100.389210,35.310753,5.042612
202309,41.902833,98.337164,38.380933,5.441443
202310,45.627497,103.904138,46.065623,5.739337
202311,46.063961,97.959073,65.745779,5.311941
202312,47.237448,99.396295,78.042716,3.793091
202401,46.789739,95.735286,90.106096,1.920192
202402,38.421573,91.133256,66.964691,3.286732
202403,39.543758,95.968317,63.196360,4.242926
202404,33.907848,98.252736,48.495753,4.401242
202405,33.074247,98.384370,38.011095,4.298775
202406,34.216731,97.129986,34.834226,4.373504
202407,35.459461,105.485749,36.527951,4.702366
202408,36.807552,101.443989,34.544039,4.234175
202409,37.477157,98.993329,39.084163,4.157489
202410,42.896866,104.989208,48.203064,4.525388
202411,46.499706,96.346718,72.850336,4.618494
202412,45.920611,100.317104,84.537053,3.303063
202501,,,89.520512,1.741454
202502,,,,3.276430
202503,,,,
202504,,,,
202505,,,,
202506,,,,
202507,,,,
202508,,,,
202509,,,,
202510,,,,
202511,,,,
202512,,,,
