"YYYYMM","ISO3","Coal (MtCO2)","Oil (MtCO2)","Gas (MtCO2)","Cement (MtCO2)"
201405,"AUT",1.025356,2.750875,0.951940,
201406,"AUT",0.828266,2.703519,0.735725,
201407,"AUT",0.951691,2.927733,0.749167,
201408,"AUT",1.085022,2.770364,0.767650,
201409,"AUT",1.195538,2.930918,0.860314,
201410,"AUT",1.474775,3.101891,1.228794,
201411,"AUT",1.486400,2.546592,1.415060,
201412,"AUT",1.252260,2.559343,1.846354,
201501,"AUT",1.276474,2.569061,2.013966,
201502,"AUT",1.356268,2.659765,1.830670,
201503,"AUT",1.367057,2.789615,1.759237,
201504,"AUT",1.194645,2.661429,1.108899,
201505,"AUT",1.060966,2.599794,0.865679,
201506,"AUT",0.886753,2.741320,0.662839,
201507,"AUT",0.843967,2.986828,0.740721,
201508,"AUT",1.019346,2.884087,0.766268,
201509,"AUT",1.035156,3.008950,0.948869,
201510,"AUT",1.334736,2.974941,1.413878,
201511,"AUT",1.496743,2.602073,1.677040,
201512,"AUT",1.499114,2.604062,1.897192,
201601,"AUT",1.463307,2.548184,2.213985,
201602,"AUT",1.428584,2.805104,1.635322,
201603,"AUT",1.213149,3.011482,1.666149,
201604,"AUT",0.887425,2.925229,1.255580,
201605,"AUT",0.979822,2.854803,0.945680,
201606,"AUT",0.987546,2.861184,0.697829,
201607,"AUT",1.005073,2.805022,0.714797,
201608,"AUT",0.964895,2.992306,0.698273,
201609,"AUT",0.909787,2.841134,0.936407,
201610,"AUT",1.086060,2.960202,1.505995,
201611,"AUT",1.106203,2.767838,1.905121,
201612,"AUT",1.301796,2.804557,2.286737,
201701,"AUT",1.466055,2.773826,2.934524,
201702,"AUT",1.228992,2.570837,2.060721,
201703,"AUT",1.296397,2.980734,1.602515,
201704,"AUT",0.947832,2.730865,1.319483,
201705,"AUT",1.181421,3.025405,0.938261,
201706,"AUT",0.958298,2.926043,0.797115,
201707,"AUT",1.034902,3.065450,0.805499,
201708,"AUT",1.001294,3.064801,0.857183,
201709,"AUT",1.077374,2.992858,1.045674,
201710,"AUT",1.169839,3.056445,1.384286,
201711,"AUT",1.284753,2.824455,1.902462,
201712,"AUT",1.375462,2.604341,2.078525,
201801,"AUT",1.150644,2.534690,2.052644,
201802,"AUT",1.247767,2.589592,2.212062,
201803,"AUT",1.325264,2.983856,2.063599,
201804,"AUT",1.070721,2.782493,0.996305,
201805,"AUT",0.935826,2.835878,0.778474,
201806,"AUT",0.695624,2.870718,0.761820,
201807,"AUT",0.732136,3.051083,0.795423,
201808,"AUT",0.504934,3.020273,0.824310,
201809,"AUT",0.617783,2.889800,1.022146,
201810,"AUT",1.532167,3.172609,1.313226,
201811,"AUT",1.254619,2.736067,1.782197,
201812,"AUT",1.226903,2.736733,2.215501,
201901,"AUT",1.269092,2.737842,2.483276,
201902,"AUT",1.172189,2.550568,1.902090,
201903,"AUT",1.134259,2.764367,1.558227,
201904,"AUT",1.248194,2.817510,1.260947,
201905,"AUT",1.171331,2.882027,1.107674,
201906,"AUT",0.982677,2.883300,0.785099,
201907,"AUT",1.106882,3.245145,0.853221,
201908,"AUT",1.126950,2.951162,0.940727,
201909,"AUT",0.969669,2.995977,1.220025,
201910,"AUT",1.030899,3.089452,1.516353,
201911,"AUT",0.984993,2.708166,1.821446,
201912,"AUT",0.807507,2.569756,2.076100,
202001,"AUT",1.188951,2.676942,2.407315,
202002,"AUT",1.148661,2.782288,1.760830,
202003,"AUT",1.088754,2.716559,1.699809,
202004,"AUT",0.799409,2.231951,1.113604,
202005,"AUT",0.865618,2.440601,0.894460,
202006,"AUT",0.822564,2.516737,0.749914,
202007,"AUT",0.792192,2.809498,0.811072,
202008,"AUT",0.840382,2.601914,0.787035,
202009,"AUT",0.866327,2.752712,0.921417,
202010,"AUT",0.979954,2.688817,1.473932,
202011,"AUT",0.924197,2.388083,1.866792,
202012,"AUT",1.053783,2.244776,2.217147,
202101,"AUT",1.064215,2.025856,2.369979,
202102,"AUT",0.958353,2.276268,1.931649,
202103,"AUT",1.077751,2.674777,1.895535,
202104,"AUT",0.983395,2.607786,1.563304,
202105,"AUT",1.110667,2.642012,1.063990,
202106,"AUT",1.052484,2.849510,0.755918,
202107,"AUT",1.069915,2.926274,0.746135,
202108,"AUT",1.054352,2.941780,0.743340,
202109,"AUT",0.912134,3.042236,0.875569,
202110,"AUT",1.049308,3.043183,1.455971,
202111,"AUT",1.031479,2.686846,1.958040,
202112,"AUT",1.043638,2.553875,2.242603,
202201,"AUT",1.050107,2.330399,2.219396,
202202,"AUT",0.867643,2.495435,1.867456,
202203,"AUT",1.067930,2.857210,1.925902,
202204,"AUT",1.014301,2.432071,1.356195,
202205,"AUT",1.025905,2.735421,0.897673,
202206,"AUT",0.935155,2.473324,0.718675,
202207,"AUT",1.033277,2.545597,0.668756,
202208,"AUT",0.944069,2.587074,0.610667,
202209,"AUT",0.853788,2.908768,0.906152,
202210,"AUT",0.979765,2.397156,1.091186,
202211,"AUT",0.925393,2.402533,1.558546,
202212,"AUT",0.965882,2.562989,1.881287,
202301,"AUT",0.972320,2.076835,1.713789,
202302,"AUT",0.796071,2.240525,1.602976,
202303,"AUT",1.012809,2.508834,1.378413,
202304,"AUT",0.943700,2.456508,1.220984,
202305,"AUT",0.969039,2.565945,0.845802,
202306,"AUT",0.938587,2.585707,0.599946,
202307,"AUT",1.017051,2.556194,0.603482,
202308,"AUT",0.808926,2.528400,0.564710,
202309,"AUT",0.782222,2.479733,0.694144,
202310,"AUT",0.913443,2.592860,0.955511,
202311,"AUT",0.991474,2.426531,1.427341,
202312,"AUT",1.002204,2.382675,1.735659,
202401,"AUT",1.039477,2.102077,1.970985,
202402,"AUT",0.939365,2.040217,1.336248,
202403,"AUT",1.052402,2.242212,1.188065,
202404,"AUT",1.005434,2.307544,0.924966,
202405,"AUT",1.083400,2.323311,0.672377,
202406,"AUT",1.009971,2.348059,0.618210,
202407,"AUT",0.799516,2.560148,0.571609,
202408,"AUT",0.805034,2.506172,0.561035,
202409,"AUT",0.705534,2.463840,0.728082,
202410,"AUT",0.767235,2.628988,1.022573,
202411,"AUT",0.823202,2.282162,1.787643,
202412,"AUT",0.871401,2.212612,1.899216,
202501,"AUT",0.862814,2.045814,2.086916,
202502,"AUT",0.742640,2.015928,1.916474,
202503,"AUT",0.904796,2.271768,1.485429,
202504,"AUT",0.871115,2.361450,1.030879,
202505,"AUT",0.957482,2.340748,0.766328,
202506,"AUT",0.848667,2.372210,0.589701,
202507,"AUT",0.911983,2.452460,0.606735,
202508,"AUT",0.960370,2.260594,0.553576,
202509,"AUT",0.891156,2.350963,0.685814,
202510,"AUT",0.978900,2.541651,1.264262,
202511,"AUT",0.833034,2.123455,1.613844,
202512,"AUT",0.876686,2.251136,1.901867,
202601,"AUT",0.928981,2.071986,2.333709,
202602,"AUT",0.768627,2.043560,1.590804,
202603,"AUT",0.911899,2.498101,1.166094,
202604,"AUT",0.892626,2.265792,1.066180,
202605,"AUT",0.899764,2.084903,0.712030,
202606,"AUT",0.926449,2.304868,0.557479,
202607,"AUT",0.937005,2.559125,0.580790,
202608,"AUT",,,0.555533,
202609,"AUT",,,,
202610,"AUT",,,,
202611,"AUT",,,,
202612,"AUT",,,,
200801,"BEL",2.022407,4.581761,4.347631,
200802,"BEL",1.718903,4.442112,3.763359,
200803,"BEL",2.072098,4.349368,3.652737,
200804,"BEL",1.917662,4.707973,3.195967,
200805,"BEL",1.956855,3.447921,2.079302,
200806,"BEL",2.321860,4.549414,2.130562,
200807,"BEL",2.382798,4.089134,1.968371,
200808,"BEL",1.976237,4.213183,1.844455,
200809,"BEL",2.171126,5.201605,2.401706,
200810,"BEL",2.114354,5.495791,2.838008,
200811,"BEL",1.319439,4.746229,3.336764,
200812,"BEL",1.285285,5.641581,4.104869,
200901,"BEL",2.564341,4.977913,4.153567,
200902,"BEL",1.566892,4.297337,3.977789,
200903,"BEL",2.098566,4.191224,3.546179,
200904,"BEL",1.559506,3.605672,2.360864,
200905,"BEL",2.004315,3.490283,1.777420,
200906,"BEL",2.116476,4.314791,1.845613,
200907,"BEL",2.138298,3.185592,2.273196,
200908,"BEL",-0.120118,3.869927,2.522959,
200909,"BEL",0.633281,4.554581,2.597883,
200910,"BEL",0.249721,5.017957,3.094155,
200911,"BEL",1.603853,4.772069,3.597323,
200912,"BEL",-1.252742,5.097140,4.713562,
201001,"BEL",0.825773,5.677906,5.465201,
201002,"BEL",0.163601,4.793920,4.654949,
201003,"BEL",0.271843,4.538826,4.509198,
201004,"BEL",0.516792,3.678119,2.535819,
201005,"BEL",0.247461,3.573424,2.724382,
201006,"BEL",1.964717,3.924437,1.826317,
201007,"BEL",2.776154,3.690531,2.125318,
201008,"BEL",3.116582,3.783264,1.810567,
201009,"BEL",1.535745,4.125954,2.054380,
201010,"BEL",1.670214,4.416218,2.484568,
201011,"BEL",0.933249,4.559479,3.795634,
201012,"BEL",3.504060,5.144571,6.340890,
201101,"BEL",2.021286,4.045850,4.884534,
201102,"BEL",1.499045,4.266263,3.989329,
201103,"BEL",1.441892,4.059568,4.706398,
201104,"BEL",1.394576,4.036505,3.849861,
201105,"BEL",1.417558,3.836148,2.240340,
201106,"BEL",1.621372,3.741420,1.947247,
201107,"BEL",1.332489,3.868796,2.026484,
201108,"BEL",0.953410,4.167900,1.960813,
201109,"BEL",1.184656,4.364096,2.110244,
201110,"BEL",1.420473,4.168456,2.621715,
201111,"BEL",1.248979,4.090820,2.807323,
201112,"BEL",1.153236,4.140289,1.418670,
201201,"BEL",1.254501,3.935112,3.176278,
201202,"BEL",1.390395,4.520679,3.263820,
201203,"BEL",1.285709,3.821972,2.974902,
201204,"BEL",1.288380,3.864816,2.897172,
201205,"BEL",0.994604,3.760106,2.819346,
201206,"BEL",1.414341,3.807277,2.576153,
201207,"BEL",1.089948,3.694907,2.628545,
201208,"BEL",1.086545,3.618169,2.522809,
201209,"BEL",1.244437,3.781837,2.423360,
201210,"BEL",1.374526,4.515014,3.283633,
201211,"BEL",1.299352,4.216669,3.061873,
201212,"BEL",1.355376,4.161062,3.275631,
201301,"BEL",1.398475,4.246592,4.697595,
201302,"BEL",1.280273,4.041528,4.378368,
201303,"BEL",1.260918,4.477697,4.326214,
201304,"BEL",1.113845,4.286849,2.969661,
201305,"BEL",1.125218,3.798509,2.533527,
201306,"BEL",0.867490,3.151566,1.910288,
201307,"BEL",0.925833,3.644988,1.651223,
201308,"BEL",0.978868,3.684169,1.560900,
201309,"BEL",1.501710,3.929881,1.892405,
201310,"BEL",1.606210,4.220840,2.237895,
201311,"BEL",1.587529,4.022522,3.373979,
201312,"BEL",1.663601,4.061521,3.727744,
201401,"BEL",1.267290,3.916982,3.669577,
201402,"BEL",1.185366,3.746969,3.195586,
201403,"BEL",1.179971,4.017895,2.827509,
201404,"BEL",1.194635,3.734869,2.208729,
201405,"BEL",1.193051,3.720094,2.056390,
201406,"BEL",1.090130,3.634717,1.869460,
201407,"BEL",1.105873,3.547830,1.789141,
201408,"BEL",1.163511,3.844971,1.827105,
201409,"BEL",1.288043,4.107966,2.014731,
201410,"BEL",1.404088,4.379956,2.556244,
201411,"BEL",1.375196,3.808287,2.999018,
201412,"BEL",1.321978,4.095178,3.968258,
201501,"BEL",1.355167,4.695883,4.397051,
201502,"BEL",1.277845,4.265173,3.940097,
201503,"BEL",1.288074,4.066312,3.532319,
201504,"BEL",1.197053,4.078094,2.646139,
201505,"BEL",1.086831,3.687090,2.130696,
201506,"BEL",0.958049,3.750887,1.808710,
201507,"BEL",1.139246,3.664909,1.713710,
201508,"BEL",1.300091,3.862452,1.727122,
201509,"BEL",1.251276,4.442924,2.294190,
201510,"BEL",1.051612,4.184240,3.040452,
201511,"BEL",1.187541,3.713839,3.275848,
201512,"BEL",1.323684,4.166486,3.290963,
201601,"BEL",1.268909,4.177579,4.039346,
201602,"BEL",1.127581,4.145791,3.727784,
201603,"BEL",1.206264,4.460723,3.702512,
201604,"BEL",1.069881,3.866602,2.665036,
201605,"BEL",1.062684,3.654566,1.940825,
201606,"BEL",1.134746,3.504643,1.764028,
201607,"BEL",1.170809,3.338404,1.633572,
201608,"BEL",1.107927,3.869985,1.763230,
201609,"BEL",1.039169,3.778372,1.878842,
201610,"BEL",1.174597,4.173336,3.123920,
201611,"BEL",1.007997,4.070900,3.825679,
201612,"BEL",1.142468,4.379732,4.289989,
201701,"BEL",1.114915,4.370653,4.914606,
201702,"BEL",1.017997,3.782425,3.621063,
201703,"BEL",1.114067,4.186759,3.224074,
201704,"BEL",1.086303,3.802497,2.922252,
201705,"BEL",1.110316,3.830753,2.218662,
201706,"BEL",0.978680,3.528304,1.790966,
201707,"BEL",1.170634,3.461227,1.783503,
201708,"BEL",1.134772,3.561747,1.751777,
201709,"BEL",1.118178,3.895732,2.076429,
201710,"BEL",1.160848,4.016382,2.705420,
201711,"BEL",1.053106,4.069551,3.722774,
201712,"BEL",1.218913,4.104581,4.282303,
201801,"BEL",1.092647,4.071818,4.030852,
201802,"BEL",1.068254,4.218938,4.390618,
201803,"BEL",1.213174,4.423551,4.030308,
201804,"BEL",1.099924,3.591987,2.388308,
201805,"BEL",1.149256,3.627806,2.079823,
201806,"BEL",1.102336,3.447473,1.939259,
201807,"BEL",1.040575,3.339947,1.917507,
201808,"BEL",1.145442,3.511671,1.983099,
201809,"BEL",1.122264,3.734927,2.078127,
201810,"BEL",1.189868,4.174342,3.082521,
201811,"BEL",1.062422,4.053573,4.033185,
201812,"BEL",1.053323,4.001918,4.135193,
201901,"BEL",1.148356,4.358893,4.825538,
201902,"BEL",0.964806,3.783458,3.636222,
201903,"BEL",1.164904,3.926930,3.385933,
201904,"BEL",1.069414,3.759896,2.700582,
201905,"BEL",1.147973,3.503217,2.494175,
201906,"BEL",1.058776,3.221976,2.025245,
201907,"BEL",1.119168,3.430668,1.940698,
201908,"BEL",1.142670,3.504557,1.869953,
201909,"BEL",1.098722,3.893580,2.243501,
201910,"BEL",1.154833,4.183453,3.047313,
201911,"BEL",1.084601,3.989508,3.966638,
201912,"BEL",1.037613,4.084556,4.071447,
202001,"BEL",1.165790,3.837097,4.406108,
202002,"BEL",0.975215,3.680098,3.861996,
202003,"BEL",0.990663,4.392740,3.726904,
202004,"BEL",0.772405,3.401272,2.325006,
202005,"BEL",0.796453,2.990246,2.303601,
202006,"BEL",0.758306,2.902229,2.218814,
202007,"BEL",0.846842,2.963336,2.434195,
202008,"BEL",0.830650,2.872789,2.157241,
202009,"BEL",0.703362,3.270796,2.262274,
202010,"BEL",0.820862,3.291930,2.979849,
202011,"BEL",0.798840,3.034329,3.533117,
202012,"BEL",0.846360,3.523649,4.288323,
202101,"BEL",0.870910,3.535517,4.860046,
202102,"BEL",0.666908,3.476643,4.033739,
202103,"BEL",0.815117,3.724345,3.895193,
202104,"BEL",1.007770,3.559078,3.456077,
202105,"BEL",0.931734,3.448364,2.572179,
202106,"BEL",0.974796,3.387986,1.903949,
202107,"BEL",1.005370,3.119126,1.824130,
202108,"BEL",1.101680,3.229102,1.818236,
202109,"BEL",0.934999,3.513187,1.840773,
202110,"BEL",1.072338,3.738080,2.558117,
202111,"BEL",1.010298,3.524451,3.824049,
202112,"BEL",1.198874,3.951850,4.030300,
202201,"BEL",0.987989,3.675114,4.377607,
202202,"BEL",0.914057,3.656498,3.324887,
202203,"BEL",1.076802,3.929173,3.039319,
202204,"BEL",0.956319,3.158036,2.507507,
202205,"BEL",0.918722,3.196203,1.989158,
202206,"BEL",0.896129,3.168514,1.818600,
202207,"BEL",1.015759,3.137262,1.775278,
202208,"BEL",1.057749,3.385241,1.891523,
202209,"BEL",0.965465,3.546498,1.968129,
202210,"BEL",1.012958,3.418604,2.279115,
202211,"BEL",0.964798,3.418238,2.674660,
202212,"BEL",1.045981,3.793396,3.744247,
202301,"BEL",1.065303,3.504430,3.651475,
202302,"BEL",0.935872,3.514335,3.348560,
202303,"BEL",1.081506,3.748454,3.311033,
202304,"BEL",0.966227,3.459399,2.557991,
202305,"BEL",1.036504,3.443918,1.832056,
202306,"BEL",0.853567,3.263191,1.689579,
202307,"BEL",0.853021,2.958467,1.539149,
202308,"BEL",0.925359,3.196031,1.641589,
202309,"BEL",0.625727,3.291000,1.678440,
202310,"BEL",0.604982,3.707524,2.020633,
202311,"BEL",0.593714,3.578961,2.938940,
202312,"BEL",0.713395,3.513629,3.271296,
202401,"BEL",0.853576,3.654178,4.017185,
202402,"BEL",0.927696,3.418543,2.864831,
202403,"BEL",1.010460,3.433246,2.799480,
202404,"BEL",1.070514,3.372334,2.325607,
202405,"BEL",0.984443,3.450019,1.692330,
202406,"BEL",0.910730,3.288621,1.564815,
202407,"BEL",0.989219,3.235118,1.446414,
202408,"BEL",1.015157,3.431113,1.381325,
202409,"BEL",0.963458,3.648627,1.650359,
202410,"BEL",1.065848,3.797639,2.128688,
202411,"BEL",0.997239,3.376166,3.258644,
202412,"BEL",1.023431,3.405990,3.512635,
202501,"BEL",1.101117,3.679644,4.067754,
202502,"BEL",0.982057,3.498482,3.532972,
202503,"BEL",1.094249,3.601560,2.842114,
202504,"BEL",0.998234,3.736293,2.129867,
202505,"BEL",1.103124,3.525256,1.704725,
202506,"BEL",1.080609,3.395750,1.495288,
202507,"BEL",1.079308,3.191586,1.433749,
202508,"BEL",1.151025,2.993672,1.465894,
202509,"BEL",0.982785,3.403203,1.645000,
202510,"BEL",1.026155,3.653543,2.367490,
202511,"BEL",1.134234,3.232564,2.947316,
202512,"BEL",1.163181,3.527996,3.494903,
202601,"BEL",0.985335,3.638206,4.315683,
202602,"BEL",0.914339,3.220078,2.997760,
202603,"BEL",1.049957,3.437573,2.576492,
202604,"BEL",1.013439,3.263633,2.113841,
202605,"BEL",1.108675,3.142392,1.887972,
202606,"BEL",1.053211,3.154915,1.677740,
202607,"BEL",1.053172,3.287375,1.519705,
202608,"BEL",,,1.518555,
202609,"BEL",,,,
202610,"BEL",,,,
202611,"BEL",,,,
202612,"BEL",,,,
200801,"BGR",3.091896,1.129133,0.921209,
200802,"BGR",2.559954,0.928816,0.780487,
200803,"BGR",2.291042,1.098283,0.692852,
200804,"BGR",2.027487,1.112134,0.511981,
200805,"BGR",2.279520,1.055032,0.530469,
200806,"BGR",2.732701,0.826920,0.465586,
200807,"BGR",2.866680,0.913401,0.443727,
200808,"BGR",2.653419,0.895247,0.418348,
200809,"BGR",3.011001,0.782151,0.419042,
200810,"BGR",2.863445,0.973205,0.401000,
200811,"BGR",3.043995,1.041713,0.489130,
200812,"BGR",3.067931,1.066242,0.651116,
200901,"BGR",3.244909,1.124359,0.493956,
200902,"BGR",2.594116,0.800601,0.585669,
200903,"BGR",2.129482,0.916015,0.562454,
200904,"BGR",1.715092,0.961901,0.366641,
200905,"BGR",1.693430,1.251810,0.286432,
200906,"BGR",1.657224,1.074489,0.250882,
200907,"BGR",1.957559,0.929647,0.300642,
200908,"BGR",1.709918,0.596223,0.274461,
200909,"BGR",2.274700,1.053886,0.347903,
200910,"BGR",3.094610,0.934079,0.393031,
200911,"BGR",2.717257,0.788390,0.533670,
200912,"BGR",2.485822,0.898567,0.653802,
201001,"BGR",2.494495,0.980066,0.725744,
201002,"BGR",2.499310,0.637027,0.587170,
201003,"BGR",2.000577,1.027237,0.609560,
201004,"BGR",1.231431,1.040617,0.450312,
201005,"BGR",1.717942,0.957889,0.273969,
201006,"BGR",2.254693,0.722719,0.273213,
201007,"BGR",2.548787,0.707714,0.262573,
201008,"BGR",2.458392,0.863927,0.283147,
201009,"BGR",2.763284,1.124048,0.301452,
201010,"BGR",3.554418,0.955731,0.423535,
201011,"BGR",3.103817,1.012750,0.494839,
201012,"BGR",2.667348,0.896203,0.704665,
201101,"BGR",2.881010,0.693611,0.796681,
201102,"BGR",2.997920,0.416673,0.718729,
201103,"BGR",2.647708,0.773032,0.692955,
201104,"BGR",2.592503,0.728928,0.499153,
201105,"BGR",3.148797,0.828179,0.434167,
201106,"BGR",2.320065,0.712344,0.350546,
201107,"BGR",2.503437,0.878243,0.365506,
201108,"BGR",2.748167,1.042314,0.409548,
201109,"BGR",2.736862,0.906075,0.258001,
201110,"BGR",3.288610,1.204467,0.376110,
201111,"BGR",3.457389,0.948769,0.595267,
201112,"BGR",3.158858,0.983782,0.654216,
201201,"BGR",2.835965,0.778546,0.815387,
201202,"BGR",2.959405,0.718229,0.794102,
201203,"BGR",2.608907,0.824255,0.614409,
201204,"BGR",1.831633,0.835147,0.411423,
201205,"BGR",2.266266,1.088310,0.377688,
201206,"BGR",1.613914,0.814879,0.333281,
201207,"BGR",2.503942,0.894138,0.254852,
201208,"BGR",2.347089,1.041131,0.241828,
201209,"BGR",2.601118,1.059187,0.306832,
201210,"BGR",2.661687,0.827426,0.376253,
201211,"BGR",2.270670,0.900833,0.547914,
201212,"BGR",2.911711,0.865224,0.679176,
201301,"BGR",2.670480,0.570946,0.733998,
201302,"BGR",1.963332,0.657368,0.629707,
201303,"BGR",1.091955,0.682746,0.621629,
201304,"BGR",1.227143,0.803982,0.459694,
201305,"BGR",0.916089,0.910384,0.381827,
201306,"BGR",1.518527,0.759766,0.341799,
201307,"BGR",1.667242,0.837029,0.289576,
201308,"BGR",2.466367,0.932025,0.266539,
201309,"BGR",2.252588,0.882912,0.314228,
201310,"BGR",3.395757,0.850305,0.351442,
201311,"BGR",2.650010,0.906583,0.524296,
201312,"BGR",3.177718,0.801898,0.697150,
201401,"BGR",2.993577,0.719694,0.691554,
201402,"BGR",2.364656,0.812454,0.584962,
201403,"BGR",1.831137,0.761730,0.550838,
201404,"BGR",1.954783,0.835705,0.459805,
201405,"BGR",2.051841,0.929700,0.402949,
201406,"BGR",1.469850,0.870724,0.314606,
201407,"BGR",1.836966,1.017443,0.285545,
201408,"BGR",2.039939,1.018493,0.305640,
201409,"BGR",2.216216,1.019852,0.324785,
201410,"BGR",2.529477,0.936163,0.418614,
201411,"BGR",2.451992,0.728328,0.573148,
201412,"BGR",2.839046,0.923339,0.689866,
201501,"BGR",2.852001,0.589712,0.685749,
201502,"BGR",2.553540,0.893369,0.607653,
201503,"BGR",1.923760,0.987158,0.588052,
201504,"BGR",2.177764,0.885923,0.471060,
201505,"BGR",1.736241,0.922969,0.408208,
201506,"BGR",1.659279,0.945796,0.389165,
201507,"BGR",2.211078,1.068795,0.368248,
201508,"BGR",2.467037,1.100874,0.372908,
201509,"BGR",2.660572,0.893451,0.334113,
201510,"BGR",2.329971,1.009420,0.455208,
201511,"BGR",2.359065,1.081606,0.561007,
201512,"BGR",2.747851,1.119118,0.698664,
201601,"BGR",2.689284,0.743139,0.756129,
201602,"BGR",2.104238,0.722523,0.565985,
201603,"BGR",1.508678,0.973711,0.553136,
201604,"BGR",1.504960,1.040640,0.430608,
201605,"BGR",1.522490,0.986813,0.416391,
201606,"BGR",1.442979,0.852985,0.370663,
201607,"BGR",1.856580,1.310727,0.314528,
201608,"BGR",1.821346,1.141104,0.314040,
201609,"BGR",1.899760,0.990721,0.366412,
201610,"BGR",2.630242,1.045997,0.504721,
201611,"BGR",2.596795,1.079211,0.609173,
201612,"BGR",2.577359,1.010465,0.743378,
201701,"BGR",2.495788,0.801344,0.868263,
201702,"BGR",2.506553,0.793758,0.659536,
201703,"BGR",1.846189,0.927021,0.569001,
201704,"BGR",1.789365,1.076211,0.484754,
201705,"BGR",2.161726,0.971525,0.398590,
201706,"BGR",1.842860,1.120757,0.395741,
201707,"BGR",1.962486,0.990847,0.328147,
201708,"BGR",1.992751,1.213596,0.304518,
201709,"BGR",2.236054,1.169567,0.339887,
201710,"BGR",2.501418,1.142473,0.464613,
201711,"BGR",2.137235,1.013646,0.579366,
201712,"BGR",2.319684,0.956126,0.660764,
201801,"BGR",2.072193,0.776844,0.722468,
201802,"BGR",1.769018,0.856675,0.656197,
201803,"BGR",1.721216,1.022986,0.612282,
201804,"BGR",1.152969,1.026391,0.373778,
201805,"BGR",1.392644,0.997692,0.383813,
201806,"BGR",1.761293,1.118083,0.348690,
201807,"BGR",1.670386,1.159936,0.310289,
