"YYYYMM","Coal","Oil","Gas","Cement"
201303,90.011110,103.397859,91.620613,5.745257
201304,82.707654,104.988604,60.125611,5.655134
201305,78.716499,105.348470,46.176404,6.400129
201306,73.575382,99.898023,39.066367,6.999386
201307,84.340658,108.093876,38.538218,6.618453
201308,84.043894,104.066257,37.320333,5.281002
201309,90.633659,102.011706,44.906813,6.177065
201310,100.213985,111.305682,50.440457,6.557230
201311,94.117425,101.428505,71.643047,5.592661
201312,96.202753,100.001954,86.694977,4.193892
201401,91.664700,97.248956,84.928882,4.116035
201402,76.027570,91.678366,71.403335,4.689547
201403,88.499949,102.803885,64.174514,6.025313
201404,76.438804,100.494307,45.547996,6.670658
201405,78.434120,99.779695,44.631182,6.879534
201406,74.964398,97.069653,37.550111,6.495284
201407,83.286102,106.714100,40.296551,6.746334
201408,76.505756,102.363078,35.908293,5.725548
201409,91.058198,105.826686,41.763112,6.435041
201410,92.849043,109.740830,51.645956,6.647167
201411,96.471539,97.496789,69.982945,6.033084
201412,92.509996,105.128971,83.833121,4.334722
201501,93.094896,101.730416,90.374753,4.167729
201502,81.660828,97.993560,83.079772,4.518722
201503,89.057849,105.199811,73.448535,6.026961
201504,78.747864,101.358231,53.579758,6.410260
201505,74.489593,97.716141,42.209303,6.622862
201506,78.386507,102.237948,37.984472,6.809355
201507,81.474469,108.675302,39.441144,6.481679
201508,81.285662,105.611319,35.917838,5.233304
201509,87.332049,109.029712,42.194510,6.464314
201510,90.667932,108.888715,59.304056,6.878396
201511,87.932197,100.257552,67.426607,6.218269
201512,90.263690,108.862337,77.401503,4.346533
201601,85.877509,98.990579,95.929647,4.088105
201602,78.963119,100.863039,78.586803,4.876592
201603,76.567359,107.485121,72.571484,5.764915
201604,71.275724,102.218645,52.989677,6.234510
201605,70.405916,101.847547,43.648976,6.786774
201606,70.801392,99.946143,38.069614,6.775351
201607,76.363272,105.587499,39.408824,6.514601
201608,75.913317,108.899692,38.178144,5.450075
201609,84.485358,106.823173,43.444031,6.293752
201610,89.675871,107.689320,62.707207,6.818020
201611,94.417323,105.583903,82.311168,5.809510
201612,90.856806,109.587012,95.369865,4.739453
201701,89.694168,103.556615,110.130771,3.672642
201702,83.108780,95.259094,80.029117,4.625642
201703,78.316866,108.347963,69.779833,6.107187
201704,72.187309,98.670571,58.058460,6.709470
201705,77.336993,106.381093,47.507775,6.878035
201706,73.599092,106.043778,41.898213,6.502772
201707,73.572018,106.702808,44.282637,6.910950
201708,76.635497,107.503506,40.617938,5.780276
201709,77.859246,106.884064,47.073694,6.541027
201710,82.298857,108.314575,57.876270,7.037295
201711,85.879063,106.242368,82.019934,6.403720
201712,82.518992,106.087937,92.840167,5.129209
201801,79.048756,99.938871,89.066589,4.221339
201802,77.056694,101.913238,95.628859,4.898990
201803,79.247924,110.119294,87.306975,5.958569
201804,68.399603,101.721546,50.669559,6.663740
201805,69.871143,103.809816,42.597614,6.845066
201806,69.541318,101.731459,41.185227,6.822799
201807,75.722030,107.061944,41.228336,6.971736
201808,75.502456,106.966958,41.000659,5.994662
201809,73.526631,101.527647,45.095850,6.538013
201810,79.964328,111.489946,58.318599,7.044112
201811,78.202006,103.760425,79.378244,6.308348
201812,77.166494,104.257135,85.414138,5.340574
201901,80.969401,107.418966,105.939748,4.127218
201902,70.833351,97.305754,82.751417,4.773961
201903,66.720506,102.620960,74.444132,6.648318
201904,61.033060,103.905043,58.040929,6.691062
201905,56.846926,102.711293,52.691859,7.067466
201906,52.363747,101.268676,40.738614,6.468457
201907,56.467844,111.675880,47.270647,6.871773
201908,54.356513,105.893286,42.204342,5.988321
201909,57.971117,104.464466,48.180769,6.432650
201910,61.838166,110.637951,60.816824,7.025119
201911,62.451252,102.087952,78.117524,6.485035
201912,59.516365,103.121487,86.646523,4.976719
202001,63.006957,101.829634,97.522079,4.109556
202002,51.864944,99.011383,79.875195,4.975356
202003,52.921130,95.919540,76.294629,5.599713
202004,40.784773,77.478259,48.059183,4.326362
202005,40.015526,85.660114,44.653492,6.333688
202006,41.343903,91.308952,42.467028,6.669090
202007,43.753535,102.259556,45.382833,6.995545
202008,47.331768,93.791565,42.881648,5.961773
202009,49.539051,97.765673,47.929590,6.444277
202010,60.711985,100.830346,62.186820,7.084303
202011,57.840391,89.723252,77.899254,6.752637
202012,62.733952,96.688765,92.777747,5.156009
202101,62.944880,84.134767,104.835635,3.853079
202102,55.376611,84.905701,86.086475,4.328217
202103,59.020201,97.908231,83.325318,6.814501
202104,51.513600,93.032122,69.297419,6.748556
202105,48.265694,94.492225,51.203390,6.632180
202106,51.389708,101.083427,42.224142,6.686196
202107,54.189213,104.419546,41.375392,7.040371
202108,54.668420,102.534301,38.306662,5.705435
202109,61.470958,104.237194,43.991828,6.330563
202110,61.058088,107.054593,58.476687,6.797814
202111,63.508383,103.880858,81.957363,6.137705
202112,70.995527,104.601508,94.889892,5.340966
202201,63.871669,95.770663,99.520538,4.129833
202202,55.940755,96.965548,79.709752,4.872086
202203,64.664387,106.396585,78.509224,6.246850
202204,56.307324,96.513595,57.782885,6.295744
202205,53.651066,100.629220,42.560742,6.619888
202206,55.583657,100.866394,39.628780,6.094857
202207,55.298416,102.735458,40.327129,6.260034
202208,53.780219,105.334253,36.100209,5.366636
202209,56.069506,104.337761,40.729610,5.922997
202210,55.512234,100.135970,45.840622,6.438022
202211,60.495169,100.658568,61.101073,5.958182
202212,61.482662,105.413077,80.949123,4.456930
202301,60.602860,92.394519,80.989334,3.530041
202302,54.113345,93.955659,73.646486,4.718291
202303,53.724205,103.384470,66.898163,5.923261
202304,42.039734,93.781881,52.119735,5.536141
202305,37.862549,100.851551,39.359315,5.320305
202306,35.227455,100.044943,35.575429,5.836030
202307,38.105120,100.984803,36.696214,5.969782
202308,39.098077,100.674608,34.831210,4.857778
202309,41.531688,98.616265,37.859725,5.507402
202310,45.223361,104.168740,45.440105,5.841284
202311,45.655959,98.194371,64.853124,5.390170
202312,46.819052,99.631581,76.824863,3.932403
202401,46.859854,96.488151,89.242194,2.997306
202402,38.471365,91.840063,66.322663,4.524790
202403,39.573920,96.743515,62.590462,5.375943
202404,33.928353,99.159230,48.030800,5.512571
202405,33.088124,99.482479,37.646664,5.385071
202406,34.221512,98.020556,34.500253,5.649059
202407,35.428231,106.454566,36.214798,5.906913
202408,36.787601,102.367423,34.212874,4.738801
202409,37.540211,99.924188,38.709437,5.179158
202410,42.867543,105.952248,47.740909,5.625963
202411,46.363577,97.157791,72.151872,5.650474
202412,45.536228,97.928513,83.726540,4.208901
202501,47.381744,94.146976,88.753345,3.224136
202502,44.649522,90.985239,80.744007,4.149443
202503,40.647474,98.995025,65.510927,5.262743
202504,35.142999,102.299018,45.837834,5.215273
202505,32.038461,100.858867,38.381667,5.408982
202506,29.349984,97.007275,33.570478,5.347997
202507,35.440508,102.565609,35.917637,5.576450
202508,30.939620,97.558233,33.039641,4.555241
202509,32.127778,101.738454,40.217407,5.329796
202510,43.422752,,,
202511,,,,
202512,,,,
