"Year","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
2005,,,,-0.294930,-0.294930,-0.493551,-0.388351,-0.388350,-0.388350,-0.388350,-0.388350,-0.404431,-0.642968,-0.655331,-0.655331,-0.620571,-0.643144,-0.640072,-0.528655,-0.581962,-0.581972,-0.585452
2006,,,,,-0.294930,-0.388823,-0.278259,-0.278258,-0.278258,-0.278258,-0.278258,-0.292056,-0.561431,-0.572946,-0.572946,-0.533223,-0.548218,-0.543612,-0.440090,-0.500974,-0.500985,-0.503506
2007,,,,,,-0.390775,-0.275822,-0.275821,-0.275821,-0.275821,-0.275821,-0.288226,-0.482051,-0.492718,-0.492718,-0.448173,-0.457293,-0.451153,-0.355593,-0.408713,-0.408724,-0.410173
2008,,,,,,,-0.274960,-0.274959,-0.274959,-0.274959,-0.395659,-0.408004,-0.496000,-0.508701,-0.508701,-0.464753,-0.468299,-0.466087,-0.375979,-0.428445,-0.428448,-0.426950
2009,,,,,,,,-0.299027,-0.299027,-0.299027,-0.425125,-0.437575,-0.473220,-0.485264,-0.485264,-0.440209,-0.449119,-0.446465,-0.362068,-0.440805,-0.440808,-0.438936
2010,,,,,,,,,-0.297939,-0.297833,-0.429328,-0.440773,-0.156590,-0.169605,-0.169899,-0.105120,-0.136185,-0.134781,-0.050883,-0.223154,-0.223158,-0.220740
2011,,,,,,,,,,-0.296742,-0.432926,-0.443965,-0.278395,-0.290974,-0.290804,-0.236320,-0.306962,-0.305543,-0.227136,-0.315920,-0.315924,-0.318177
2012,,,,,,,,,,,-0.437047,-0.447152,-0.366104,-0.376052,-0.376169,-0.327948,-0.397068,-0.395634,-0.324088,-0.385949,-0.385952,-0.413057
2013,,,,,,,,,,,,-0.450333,-0.541647,-0.550702,-0.550993,-0.514686,-0.573860,-0.572411,-0.491195,-0.522781,-0.522780,-0.576825
2014,,,,,,,,,,,,,-0.463272,-0.470325,-0.470898,-0.429917,-0.486114,-0.484650,-0.410403,-0.431534,-0.431532,-0.507908
2015,,,,,,,,,,,,,,-0.418361,-0.419847,-0.374989,-0.434610,-0.433131,-0.360915,-0.378151,-0.378149,-0.461289
2016,,,,,,,,,,,,,,,-0.503578,-0.464341,-0.521605,-0.520111,-0.460319,-0.476830,-0.476829,-0.565241
2017,,,,,,,,,,,,,,,,-0.355336,-0.413934,-0.386264,-0.329131,-0.387939,-0.387938,-0.479875
2018,,,,,,,,,,,,,,,,,-0.224076,-0.201219,-0.148463,-0.249659,-0.249658,-0.342523
2019,,,,,,,,,,,,,,,,,,-0.322462,-0.273187,-0.372102,-0.372101,-0.462468
2020,,,,,,,,,,,,,,,,,,,-0.346457,-0.456157,-0.456155,-0.547051
2021,,,,,,,,,,,,,,,,,,,,-0.613856,-0.613854,-0.706232
2022,,,,,,,,,,,,,,,,,,,,,-0.651007,-0.747692
2023,,,,,,,,,,,,,,,,,,,,,,-0.678081
