"Year","Oil","Condensate","NGLs","Natural Gas","Territorial","Forecast Oil","Forecast Gas","Reserves Reserves","Reserves Resources in fields","Reserves Resources in discoveries","Reserves Undiscovered resources"
2001,396.458430,12.427683,20.942947,102.872389,43.866414,NaN,NaN,NaN,NaN,NaN,NaN
2002,378.915169,15.972698,22.529796,124.971018,42.985664,NaN,NaN,NaN,NaN,NaN,NaN
2003,361.564396,22.592312,24.719901,139.119593,44.305680,NaN,NaN,NaN,NaN,NaN,NaN
2004,354.538345,18.883447,25.994687,150.793986,44.622580,NaN,NaN,NaN,NaN,NaN,NaN
2005,321.403984,17.248290,30.013652,163.323075,43.923157,NaN,NaN,NaN,NaN,NaN,NaN
2006,295.649122,16.516348,31.631079,168.634796,44.484781,NaN,NaN,NaN,NaN,NaN,NaN
2007,276.976213,6.758151,31.418383,170.553003,46.231286,NaN,NaN,NaN,NaN,NaN,NaN
2008,266.144804,8.505524,32.161514,189.924531,45.377695,NaN,NaN,NaN,NaN,NaN,NaN
2009,250.612513,9.680873,32.356792,198.240436,43.890027,NaN,NaN,NaN,NaN,NaN,NaN
2010,225.761628,9.018354,29.425895,203.332380,46.231654,NaN,NaN,NaN,NaN,NaN,NaN
2011,210.645766,9.899011,30.845253,190.514659,45.513360,NaN,NaN,NaN,NaN,NaN,NaN
2012,192.869562,9.902944,33.676496,214.943457,45.038313,NaN,NaN,NaN,NaN,NaN,NaN
2013,183.870933,8.637215,33.563914,203.565145,44.982395,NaN,NaN,NaN,NaN,NaN,NaN
2014,188.956007,6.266233,35.705149,201.812981,44.916606,NaN,NaN,NaN,NaN,NaN,NaN
2015,196.936837,5.354254,37.176299,217.864844,45.350496,NaN,NaN,NaN,NaN,NaN,NaN
2016,203.869486,4.188059,38.563232,218.057110,44.472730,NaN,NaN,NaN,NaN,NaN,NaN
2017,200.245622,3.710663,38.715130,232.740066,43.562541,NaN,NaN,NaN,NaN,NaN,NaN
2018,187.204051,3.710663,36.941715,228.023262,43.971590,NaN,NaN,NaN,NaN,NaN,NaN
2019,177.374048,3.602164,32.973367,215.356360,42.581994,213.949579,215.356360,NaN,NaN,NaN,NaN
2020,NaN,NaN,NaN,NaN,NaN,252.048852,219.901990,NaN,NaN,NaN,NaN
2021,NaN,NaN,NaN,NaN,NaN,265.637535,223.363516,NaN,NaN,NaN,NaN
2022,NaN,NaN,NaN,NaN,NaN,276.614644,226.311518,NaN,NaN,NaN,NaN
2023,NaN,NaN,NaN,NaN,NaN,283.769935,226.863080,NaN,NaN,NaN,NaN
2024,NaN,NaN,NaN,NaN,NaN,285.956864,226.159363,464.678985,33.119232,14.318010,0
2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,418.352449,40.207556,48.850868,2.160828
2026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,367.623479,55.656466,71.004403,6.078591
2027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,322.528817,60.018511,88.068885,11.187838
2028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,284.946566,63.128488,92.027038,18.336746
2029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,247.586456,61.937003,97.095896,26.798306
2030,NaN,NaN,NaN,NaN,NaN,NaN,NaN,215.012480,60.341626,98.105628,35.946484
