"Year","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
2000,-0.047461,-0.594854,-0.001976,0.108288,0.127928,0.117702,0.118395,-0.811351,0.351494,-1.306986,-0.891135,5.120080,5.887941,5.460501,5.679701,5.027928,4.835866,5.247280,6.879721,6.584474,1.760466,1.861285
2001,-0.628725,-0.739184,-0.173881,0.018994,-0.003893,0.045333,0.036995,-0.918735,0.241388,-1.440577,-0.690052,7.722773,6.823699,6.099983,6.093378,5.007211,5.211509,6.276566,7.872965,7.375541,2.817302,2.925738
2002,-0.977734,-0.977820,-0.191116,-0.125964,-0.112066,-0.177442,-0.148330,-1.114002,0.026637,-1.452897,-0.655975,6.978921,7.039562,6.608584,6.467805,5.360998,5.535852,6.198765,7.723062,7.561530,2.746968,2.857990
2003,,-0.981263,-0.382785,-0.298696,-0.321672,-0.277094,-0.291906,-1.196454,-0.100681,-1.563597,-1.043558,7.220894,6.991864,6.363621,6.288646,5.519615,5.570741,6.242926,7.809605,7.762078,3.066276,3.179889
2004,,,-0.071598,-0.194585,-0.237880,-0.231560,-0.194389,-1.167692,0.022770,-2.598876,-2.459752,3.687961,5.217932,4.718555,4.619790,4.102849,4.476489,4.733330,6.511786,6.381981,1.884844,2.001056
2005,,,,-0.657216,-0.455118,-0.523682,-0.508414,-1.397042,-0.268245,-2.633933,-2.275296,2.677019,5.103910,4.654639,5.351127,4.861639,4.999333,5.242752,6.986085,6.824920,2.020111,2.138915
2006,,,,,-0.523746,-0.528701,-0.531297,-1.438976,-0.353018,-2.765741,-1.365360,4.423042,5.942468,5.505976,6.302623,5.312628,5.111341,5.678392,7.201122,6.763588,1.994654,2.114518
2007,,,,,,-1.018570,-1.013010,-1.903108,-0.760896,-3.427011,-2.763211,4.421921,4.623045,4.210591,4.582365,4.322115,4.369245,4.907370,6.326732,5.727850,1.051556,1.172477
2008,,,,,,,-1.513365,-2.400421,-1.174044,-2.782529,-4.205728,3.566616,3.556000,3.055615,3.677493,4.010802,3.875717,4.127718,5.771228,5.278843,0.371129,0.492046
2009,,,,,,,,-2.215514,-1.100948,-3.075894,-4.567338,0.921279,2.877678,2.510006,3.202299,3.587631,3.361974,3.831734,5.278975,4.692158,-0.020677,0.090643
2010,,,,,,,,,-1.102609,-4.204091,-3.948442,2.958418,4.246115,3.377888,4.124637,4.249374,4.428375,5.082810,6.530375,5.730438,0.709835,0.815044
2011,,,,,,,,,,-3.781937,-3.718617,5.566835,3.903271,3.479808,4.169100,3.600690,3.790710,4.583275,5.962195,5.112890,0.045018,0.152582
2012,,,,,,,,,,,-3.222990,4.804193,4.225153,3.972081,4.938662,3.412161,3.288501,3.682058,5.299616,4.563135,-0.720503,-0.607492
2013,,,,,,,,,,,,2.929770,4.143304,3.672386,4.387340,3.873091,3.602811,3.692172,5.839528,5.241284,-0.017814,0.005969
2014,,,,,,,,,,,,,4.450936,3.985525,4.532329,3.125497,3.068933,4.861114,5.545786,4.753722,-0.465039,0.230461
2015,,,,,,,,,,,,,,3.667172,4.332624,3.889764,3.655160,4.713288,6.242941,5.257991,-0.001326,0.123877
2016,,,,,,,,,,,,,,,4.250063,2.988822,2.576917,4.177037,5.575876,4.076205,-0.820956,-0.741979
2017,,,,,,,,,,,,,,,,4.902183,4.206433,5.348364,6.949185,6.137460,0.789647,0.964540
2018,,,,,,,,,,,,,,,,,3.433261,3.920356,5.812735,5.224770,0.014830,0.125741
2019,,,,,,,,,,,,,,,,,,3.619723,5.874127,5.638885,0.111480,0.289038
2020,,,,,,,,,,,,,,,,,,,5.895938,6.006109,0.998685,0.900479
2021,,,,,,,,,,,,,,,,,,,,6.278983,0.391836,0.454675
2022,,,,,,,,,,,,,,,,,,,,,-0.356332,-0.230785
2023,,,,,,,,,,,,,,,,,,,,,,-0.065141
