"Year","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
2002,42.685906,42.685906,42.752564,42.954663,42.920646,42.827537,42.697909,42.700885,42.661989,42.662292,42.662293,42.631466,42.631466,42.631495,42.631495,42.630245,42.631433,42.629949,42.629581,42.629581,42.629581,42.629581
2003,,41.979494,42.098045,42.725642,42.707544,42.622137,42.478502,42.663647,42.643247,42.641753,42.638060,42.605537,42.605537,42.605560,42.605560,42.603658,42.604469,42.603482,42.603115,42.603115,42.603115,42.603115
2004,,,42.687921,43.162022,43.409126,43.307943,43.178692,43.363271,43.364340,43.363022,43.114888,43.084503,43.084503,43.084523,43.084523,43.083578,43.083551,43.082285,43.081883,43.081883,43.081883,43.081883
2005,,,,44.663052,45.093153,45.006718,44.888127,45.082281,45.046235,45.046089,44.893870,44.893769,44.893769,44.893692,44.955112,44.971610,44.971755,44.971153,44.970768,44.970713,44.970713,44.970713
2006,,,,,44.701099,44.622903,44.489897,44.690037,44.682030,44.681829,44.510765,44.417297,44.417297,44.417343,44.469209,44.484837,44.485141,44.484218,44.483786,44.483561,44.483561,44.483561
2007,,,,,,44.835247,44.640803,44.824814,44.808998,44.840758,44.475690,44.379486,44.379486,44.379541,44.408858,44.423116,44.426157,44.423578,44.423106,44.422839,44.422839,44.422839
2008,,,,,,,45.003967,45.160889,44.584880,44.581457,44.568896,44.477987,44.477987,44.478029,44.513401,44.530524,44.536907,44.535268,44.530789,44.530335,44.530335,44.530335
2009,,,,,,,,40.856643,40.092135,40.106606,40.130246,40.045915,40.057300,40.057299,40.078827,40.081053,40.096796,40.095011,40.092942,40.092716,40.092716,40.092716
2010,,,,,,,,,39.897330,39.917417,39.868427,39.696543,39.696673,39.696715,39.728382,39.726955,39.737561,39.780558,39.779211,39.778811,39.778812,39.778812
2011,,,,,,,,,,36.371222,36.439998,36.261973,36.255441,36.255478,36.280867,36.272443,36.284549,36.326424,36.285190,36.285168,36.285169,36.285169
2012,,,,,,,,,,,36.507438,36.344609,36.308493,36.350109,36.378724,36.363586,36.366998,36.395504,36.379632,36.379618,36.379618,36.379618
2013,,,,,,,,,,,,35.139297,35.129497,35.129544,35.166121,35.150747,35.190607,35.244655,35.234289,35.234280,35.234280,35.234268
2014,,,,,,,,,,,,,34.426315,34.420266,34.455923,34.438427,34.519453,34.637619,34.581978,34.581978,34.582033,34.582033
2015,,,,,,,,,,,,,,35.981229,36.017456,35.996446,36.072251,36.211047,36.240153,36.240153,36.240272,36.240272
2016,,,,,,,,,,,,,,,37.336738,37.297922,37.384946,37.506873,37.719422,37.719422,37.719514,37.719514
2017,,,,,,,,,,,,,,,,36.142641,36.239218,36.490395,36.433708,36.433659,36.433843,36.399020
2018,,,,,,,,,,,,,,,,,35.960642,36.366450,36.182363,36.182291,36.182502,36.094163
2019,,,,,,,,,,,,,,,,,,34.583906,34.629946,34.629810,34.630780,34.503005
2020,,,,,,,,,,,,,,,,,,,32.548154,32.515305,32.517409,32.444557
2021,,,,,,,,,,,,,,,,,,,,34.376839,34.378668,34.303672
2022,,,,,,,,,,,,,,,,,,,,,33.677174,33.618596
2023,,,,,,,,,,,,,,,,,,,,,,30.821342
