"YYYYMM","Total","VLSFO","MGO","LSMGO","HSFO","Marine Diesel Oil"
201801,480.767000,"NaN",36.942000,5.457000,438.368000,42.399000
201802,424.677000,"NaN",27.767000,6.818000,390.092000,34.585000
201803,463.682000,"NaN",34.872000,8.874000,419.936000,43.746000
201804,373.041000,"NaN",28.877000,8.903000,335.261000,37.780000
201805,403.908000,"NaN",35.993000,3.895000,364.020000,39.888000
201806,362.142000,"NaN",30.946000,6.502000,324.694000,37.448000
201807,352.290000,"NaN",25.464000,7.468000,319.358000,32.932000
201808,348.664000,"NaN",22.857000,6.081000,319.726000,28.938000
201809,324.413000,"NaN",24.512000,6.789000,293.112000,31.301000
201810,321.050000,"NaN",28.738000,0.768000,291.544000,29.506000
201811,308.366000,"NaN",27.479000,2.151000,278.736000,29.630000
201812,388.630000,"NaN",28.684000,4.357000,355.589000,33.041000
201901,438.681000,"NaN",42.440000,2.276000,393.965000,44.716000
201902,367.875000,"NaN",36.833000,1.991000,329.051000,38.824000
201903,449.815000,"NaN",43.722000,2.976000,403.117000,46.698000
201904,406.677000,"NaN",38.188000,5.403000,363.086000,43.591000
201905,414.618000,"NaN",35.014000,5.372000,374.232000,40.386000
201906,480.464000,"NaN",39.941000,6.851000,433.672000,46.792000
201907,484.144000,"NaN",43.693000,5.892000,434.559000,49.585000
201908,528.572000,"NaN",54.804000,8.337000,465.431000,63.141000
201909,392.887000,"NaN",50.644000,3.650000,338.593000,54.294000
201910,423.542000,"NaN",44.411000,9.314000,369.817000,53.725000
201911,450.193000,"NaN",49.911000,10.640000,389.642000,60.551000
201912,515.128000,"NaN",51.232000,14.065000,449.831000,65.297000
202001,477.339000,388.307000,59.308000,8.298000,21.426000,"NaN"
202002,442.886000,346.742000,45.648000,9.407000,41.089000,"NaN"
202003,448.093000,353.436000,50.667000,9.230000,34.760000,"NaN"
202004,415.222000,329.456000,46.816000,7.618000,31.332000,"NaN"
202005,386.955000,305.568000,14.056000,33.913000,33.418000,"NaN"
202006,302.330000,228.563000,6.666000,30.138000,36.963000,"NaN"
202007,337.035000,258.429000,10.218000,26.352000,42.036000,"NaN"
202008,372.055000,270.190000,11.339000,31.275000,59.251000,"NaN"
202009,375.126000,280.910000,8.954000,28.194000,57.068000,"NaN"
202010,412.622000,314.731000,9.955000,31.736000,56.200000,"NaN"
202011,363.735000,259.992000,10.132000,28.696000,64.915000,"NaN"
202012,413.230000,296.006000,12.134000,30.328000,74.762000,"NaN"
202101,413.650000,292.548000,12.216000,38.289000,70.597000,"NaN"
202102,418.415000,302.619000,10.880000,31.622000,73.294000,"NaN"
202103,442.026000,317.478000,10.692000,34.287000,79.569000,"NaN"
202104,417.305000,303.311000,14.514000,31.431000,68.049000,"NaN"
202105,417.643000,284.365000,9.692000,31.017000,92.569000,"NaN"
202106,377.153000,283.891000,9.283000,35.136000,48.843000,"NaN"
202107,387.218000,275.647000,15.668000,31.266000,64.637000,"NaN"
202108,388.640000,264.547000,8.265000,37.133000,78.695000,"NaN"
202109,388.027000,283.368000,10.677000,27.257000,66.725000,"NaN"
202110,414.442000,256.245000,24.814000,37.999000,95.384000,"NaN"
202111,465.380000,315.798000,11.591000,39.065000,98.926000,"NaN"
202112,486.614000,351.658000,11.179000,38.649000,85.128000,"NaN"
202201,451.664000,324.456000,7.743000,39.569000,79.896000,"NaN"
202202,377.649000,229.359000,6.204000,36.705000,105.381000,"NaN"
202203,425.073000,253.321000,9.487000,34.630000,127.635000,"NaN"
202204,477.901000,289.123000,9.149000,45.147000,134.482000,"NaN"
202205,421.272000,246.842000,12.723000,36.571000,125.136000,"NaN"
202206,433.973000,258.314000,9.206000,41.676000,124.777000,"NaN"
202207,448.037000,316.311000,11.133000,51.533000,69.060000,"NaN"
202208,472.448000,320.648000,8.099000,51.956000,91.745000,"NaN"
202209,381.570000,265.365000,8.071000,31.620000,76.514000,"NaN"
202210,453.654000,321.172000,9.617000,39.416000,83.449000,"NaN"
202211,412.792000,296.592000,7.102000,33.877000,75.221000,"NaN"
202212,485.336000,351.082000,17.391000,40.459000,76.404000,"NaN"
202301,434.807000,308.271000,11.551000,36.218000,78.767000,"NaN"
202302,403.703000,282.688000,12.106000,32.826000,76.083000,"NaN"
202303,467.425000,322.143000,14.254000,37.303000,93.725000,"NaN"
202304,384.656000,273.347000,10.382000,30.986000,69.941000,"NaN"
202305,406.355000,266.223000,6.276000,32.763000,101.093000,"NaN"
202306,382.955000,274.687000,10.434000,31.050000,66.784000,"NaN"
202307,412.478000,293.174000,10.159000,35.028000,74.117000,"NaN"
202308,420.862000,292.280000,9.941000,35.442000,83.199000,"NaN"
202309,384.515000,249.117000,8.210000,31.617000,95.571000,"NaN"
202310,433.448000,297.161000,4.624000,37.478000,94.185000,"NaN"
202311,381.768000,254.343000,7.801000,43.297000,76.327000,"NaN"
202312,392.063000,265.687000,4.364000,33.789000,88.223000,"NaN"
202401,377.542000,247.541000,8.157000,33.102000,88.742000,"NaN"
202402,353.629000,219.607000,12.858000,27.013000,94.151000,"NaN"
202403,391.314000,234.332000,14.878000,27.875000,114.229000,"NaN"
202404,377.180000,225.732000,7.667000,29.688000,114.093000,"NaN"
202405,398.064000,244.616000,3.744000,31.185000,118.519000,"NaN"
202406,386.125000,235.534000,7.396000,33.738000,109.457000,"NaN"
202407,436.507000,257.730000,10.870000,36.791000,131.116000,"NaN"
202408,457.126000,264.278000,8.012000,34.764000,150.072000,"NaN"
202409,427.644000,267.115000,5.030000,38.001000,117.498000,"NaN"
202410,524.549000,316.410000,12.659000,38.422000,157.058000,"NaN"
202411,468.095000,291.505000,7.480000,38.430000,130.680000,"NaN"
202412,500.563000,287.768000,11.347000,43.763000,157.685000,"NaN"
202501,477.900000,307.024000,11.114000,41.899000,117.863000,"NaN"
202502,416.061000,265,7.562000,35.546000,107.953000,"NaN"
202503,498.814000,306.752000,7.992000,47.498000,136.572000,"NaN"
202504,459.126000,273.571000,3.941000,48.282000,133.332000,"NaN"
202505,453.397000,276.907000,3.525000,47.093000,125.872000,"NaN"
202506,431.147000,267.076000,5.978000,40.326000,117.767000,"NaN"
202507,387.152000,259.478000,4.283000,36.499000,86.892000,"NaN"
202508,419.056000,281.158000,3.524000,46.137000,88.237000,"NaN"
202509,376.033000,245.877000,4.874000,40.369000,84.913000,"NaN"
202510,461.308000,327.581000,2.681000,46.060000,83.386000,"NaN"
202511,428.523000,284.498000,2.847000,45.954000,93.003000,"NaN"
