"YYYYMM","Total","Marine diesel oil","Marine gasoil","Low-S marine gasoil","Marine fuel oil","Low-sulphur fuel oil","Ultra-low-S fuel oil"
200503,2069.810000,9.350000,113.580000,0,1946.880000,0,0
200504,2153.380000,8.800000,119.160000,0,2025.420000,0,0
200505,2081.340000,8.980000,121.340000,0,1951.020000,0,0
200506,2137.970000,8.730000,115.020000,0,2014.220000,0,0
200507,2240.450000,8.870000,131.880000,0,2099.700000,0,0
200508,2268.400000,7.530000,125.400000,0,2135.470000,0,0
200509,2137,9.580000,110.540000,0,2016.880000,0,0
200510,2252.080000,7.970000,133.270000,0,2110.840000,0,0
200511,2084.690000,8.420000,117.970000,0,1958.300000,0,0
200512,2144.480000,8.900000,123.630000,0,2011.950000,0,0
200601,2229.980000,8.400000,124.250000,0,2097.330000,0,0
200602,2057.940000,5.740000,116.800000,0,1935.400000,0,0
200603,2302.600000,5.740000,126.160000,0,2170.700000,0,0
200604,2217.730000,4.350000,104.050000,0,2109.330000,0,0
200605,2491.640000,4.790000,132.840000,0,2354.010000,0,0
200606,2192.920000,3.960000,122.740000,0,2066.220000,0,0
200607,2347.690000,3.310000,117.770000,0,2226.610000,0,0
200608,2518.720000,2.410000,136.260000,0,2380.050000,0,0
200609,2410.700000,2.150000,134.280000,0,2274.270000,0,0
200610,2556.030000,3.770000,138.930000,0,2413.330000,0,0
200611,2390.900000,2.050000,126.530000,0,2262.320000,0,0
200612,2662.260000,3.440000,134.320000,0,2524.500000,0,0
200701,2255.830000,2.080000,127.960000,0,2125.790000,0,0
200702,2668.890000,1.800000,134.890000,0,2532.200000,0,0
200703,2567.010000,2.410000,131.390000,0,2433.210000,0,0
200704,2624.920000,3,125.790000,0,2496.130000,0,0
200705,2504.710000,2.050000,123.780000,0,2378.880000,0,0
200706,2715.990000,1.450000,132.770000,0,2581.770000,0,0
200707,2493.460000,2.510000,109.960000,0,2380.990000,0,0
200708,2925.790000,1.260000,136.240000,0,2788.290000,0,0
200709,2811.480000,1.680000,126.150000,0,2683.650000,0,0
200710,2721.820000,0.800000,123.060000,0,2597.960000,0,0
200711,2523.440000,1.340000,113.490000,0,2408.610000,0,0
200712,2732.680000,0.670000,116.560000,0,2615.450000,0,0
200801,2802.210000,0.700000,127.030000,0,2674.480000,0,0
200802,2733.960000,1.050000,127.190000,0,2605.720000,0,0
200803,3045.290000,1.320000,136.960000,0,2907.010000,0,0
200804,3047.050000,0.650000,125.290000,0,2921.110000,0,0
200805,2919.050000,1.390000,116.160000,0,2801.500000,0,0
200806,2810.360000,1.090000,108.350000,0,2700.920000,0,0
200807,3030.910000,1.330000,129.670000,0,2899.910000,0,0
200808,3151.670000,1.070000,134.160000,0,3016.440000,0,0
200809,2856.230000,0.760000,134.330000,0,2721.140000,0,0
200810,2925.500000,1.280000,135.700000,0,2788.520000,0,0
200811,2879.910000,0.820000,122.590000,0,2756.500000,0,0
200812,2734.300000,0.270000,140.080000,0,2593.950000,0,0
200901,3019.750000,1.600000,132.270000,0,2885.880000,0,0
200902,2670.030000,1.100000,126.820000,0,2542.110000,0,0
200903,3129.720000,1.680000,147.190000,0,2980.850000,0,0
200904,2884.810000,1.050000,126.710000,0,2757.050000,0,0
200905,3227.220000,0.940000,143.370000,0,3082.910000,0,0
200906,2960.700000,0.640000,132.640000,0,2827.420000,0,0
200907,3072.610000,0.900000,132.490000,0,2939.220000,0,0
200908,3063.120000,0.800000,134.680000,0,2927.640000,0,0
200909,3172.380000,0.450000,126.520000,0,3045.410000,0,0
200910,3122.340000,1.100000,136.790000,0,2984.450000,0,0
200911,2882.830000,0.820000,114.260000,0,2767.750000,0,0
200912,3181.270000,0.670000,129.470000,0,3051.130000,0,0
201001,3212.540000,0.880000,132.080000,0,3079.580000,0,0
201002,3022.370000,0.990000,137.030000,0,2884.350000,0,0
201003,3328.550000,0.660000,140.830000,0,3187.060000,0,0
201004,3422.640000,0.840000,144.470000,0,3277.330000,0,0
201005,3470.440000,1.030000,137.010000,0,3332.400000,0,0
201006,3543.800000,0.600000,134.720000,0,3408.480000,0,0
201007,3563.800000,0.490000,129.640000,0,3433.670000,0,0
201008,3375.020000,0.500000,131.220000,0,3243.300000,0,0
201009,3553.740000,0.600000,124.860000,0,3428.280000,0,0
201010,3556.100000,0.690000,130.770000,0,3424.640000,0,0
201011,3310.980000,0.660000,138.350000,0,3171.970000,0,0
201012,3493.020000,0.570000,115.640000,0,3376.810000,0,0
201101,3642.360000,0.640000,133.990000,0,3507.730000,0,0
201102,3268.780000,0.560000,111.730000,0,3156.490000,0,0
201103,3520.700000,0.780000,134.940000,0,3384.980000,0,0
201104,3248.490000,0.760000,118.890000,0,3128.840000,0,0
201105,3621.910000,0.620000,123.170000,0,3498.120000,0,0
201106,3859.200000,0.470000,143.360000,0,3715.370000,0,0
201107,3642.920000,0.610000,127.830000,0,3514.480000,0,0
201108,3815.260000,0.750000,149.260000,0,3665.250000,0,0
201109,3568.360000,0.440000,125.650000,0,3442.270000,0,0
201110,3546.180000,0.200000,145.090000,0,3400.890000,0,0
201111,3615.390000,0.600000,126.760000,0,3488.030000,0,0
201112,3804.130000,0.230000,128.910000,0,3674.990000,0,0
201201,3668.560000,0.260000,113.330000,0,3554.970000,0,0
201202,3092.740000,0.220000,128.730000,0,2963.790000,0,0
201203,3608.820000,0.300000,126.390000,0,3482.130000,0,0
201204,3735.390000,0.060000,129.930000,0,3605.400000,0,0
201205,3985.720000,0.120000,128.380000,0,3857.220000,0,0
201206,3646.940000,0.360000,123.420000,0,3523.160000,0,0
201207,3655.220000,0.260000,114.680000,0,3540.280000,0,0
201208,3556.000000,0.090000,120.130000,0,3435.780000,0,0
201209,3326.390000,0.030000,118.100000,0,3208.260000,0,0
201210,3508.390000,0.140000,114.220000,0,3394.030000,0,0
201211,3275.600000,0.240000,118.580000,0,3156.780000,0,0
201212,3625.670000,0.090000,118.340000,0,3507.240000,0,0
201301,3787.560000,0.160000,119.330000,10,3614.070000,44,0
201302,3076.850000,0.200000,84.480000,14,2933.170000,45,0
201303,3362.740000,0.130000,104.750000,19,3186.860000,52,0
201304,3647.020000,0.140000,113.880000,20,3458,55,0
201305,3533.820000,0.160000,93.690000,13,3371.970000,55,0
201306,3478.310000,0.070000,95.040000,16,3320.200000,47,0
201307,3740.080000,0.160000,107.350000,16,3572.570000,44,0
201308,3488.450000,0.170000,96.710000,11,3335.570000,45,0
201309,3610.400000,0.320000,104.150000,17,3437.930000,51,0
201310,3780.590000,0.190000,91.580000,19,3628.820000,41,0
201311,3373.080000,0.170000,74.530000,17,3245.380000,36,0
201312,3802.480000,0.180000,97.450000,19,3643.850000,42,0
201401,3558.160000,0.170000,70.420000,13,3435.570000,39,0
201402,3277.590000,0.250000,91.690000,16,3121.650000,48,0
201403,3184.890000,0.040000,88.290000,14,3037.560000,45,0
201404,3812.310000,0.040000,98.660000,27,3643.610000,43,0
201405,3637.170000,0.150000,90.040000,20,3485.980000,41,0
201406,3372.850000,0.100000,80.260000,20,3228.490000,44,0
201407,3662.250000,0.120000,86.350000,21,3515.780000,39,0
201408,3669.350000,0.350000,82.760000,19,3525.240000,42,0
201409,3521.470000,0.110000,89.900000,16,3385.460000,30,0
201410,3593.760000,0.210000,94.080000,25,3447.470000,27,0
201411,3548.610000,0.220000,64.030000,38,3430.360000,16,0
201412,3576.260000,0.130000,85.820000,58,3428.310000,4,0
201501,3680.550000,0.090000,86.860000,81,3511.600000,1,0
201502,3395.680000,0.310000,82.890000,68,3244.480000,0,0
201503,3577.760000,0.140000,83.640000,65,3428.980000,0,0
201504,3666.560000,0.070000,81.620000,62,3518.870000,4,0
201505,3707.170000,0.180000,79.470000,65,3562.520000,0,0
201506,3535.420000,0.030000,70.140000,64,3401.250000,0,0
201507,3785.360000,0.110000,77.010000,58,3650.240000,0,0
201508,4287.130000,0.070000,70.440000,71,4143.620000,2,0
201509,3848.270000,0.100000,84.640000,64,3696.530000,3,0
201510,3636.510000,0.250000,87.220000,62,3485.040000,2,0
201511,3984.340000,0.060000,68.060000,61,3850.220000,5,0
201512,4050.970000,0.090000,64.180000,65,3915.700000,6,0
201601,4164.980000,0.060000,76.430000,85,3993.490000,10,0
201602,3510.880000,0.210000,62.560000,83,3353.110000,12,0
201603,4150.570000,0.140000,78.200000,88,3972.230000,12,0
201604,4109.860000,0,91.010000,128,3878.850000,12,0
201605,4363.640000,0,81.560000,101,4173.080000,8,0
201606,4087.500000,0.040000,68.050000,86,3921.410000,12,0
201607,4114.430000,0,67.500000,92,3944.930000,10,0
201608,4228.110000,0,68.700000,86,4063.410000,10,0
201609,3831.420000,0.010000,68.600000,96,3656.810000,10,0
201610,4008.200000,0,71.940000,103,3826.260000,7,0
201611,4142.540000,0,61.820000,97,3971.720000,12,0
201612,3904,0,57.080000,93,3740.920000,13,0
201701,4461.920000,0.070000,61.980000,118,4267.870000,14,0
201702,3846.380000,0,68.100000,102,3660.280000,16,0
201703,4341.130000,0,70.760000,114,4144.370000,12,0
201704,4253.680000,0,57.500000,102,4085.180000,9,0
201705,4181.360000,0,62.780000,103,4003.580000,12,0
201706,3836.540000,0,49.590000,99,3675.950000,11,0
201707,4393.360000,0,57.650000,104,4223.710000,8,0
201708,4363.490000,0,60.550000,110,4185.940000,7,0
201709,4340.640000,0,55.510000,110,4160.130000,15,0
201710,4004.690000,0,64.450000,97,3830.240000,13,0
201711,4315.280000,0,56.920000,108,4135.360000,15,0
201712,4297.180000,0,70.310000,118,4096.870000,12,0
201801,4605.080000,0,68.180000,115,4395.900000,26,0
