"Year","fossil_carbon","land-use_change","atmosphere","land","ocean"
1900,1.952225,4.107187,1.768147,3.709261,1.799226
1901,2.016761,4.166763,1.773594,0.491407,1.829270
1902,2.067798,4.228741,1.828071,-1.308264,1.840885
1903,2.256077,4.257070,1.926906,4.584311,1.872341
1904,2.281858,4.314984,2.068545,4.939934,1.904346
1905,2.429631,4.337629,2.233530,0.995746,1.916968
1906,2.551870,4.356429,2.353378,3.778231,1.948937
1907,2.885281,4.379202,2.451436,3.817026,1.982132
1908,2.776432,4.408244,2.524590,4.131699,2.013386
1909,2.887083,4.447998,2.567393,2.448414,2.045135
1910,3.027589,4.457601,2.593853,3.405365,2.058875
1911,3.082462,4.446582,2.657668,0.756508,2.089561
1912,3.228332,4.390409,2.769733,1.579831,2.102989
1913,3.492411,4.397686,2.891916,1.881572,2.133272
1914,3.168341,4.390399,2.986861,3.381656,2.143880
1915,3.125089,4.342397,3.063127,2.138052,2.175958
1916,3.373154,4.295771,3.105930,4.036866,2.187390
1917,3.527726,4.298310,3.109043,5.761101,2.216354
1918,3.479186,4.319614,3.063127,2.409619,2.245098
1919,3.014874,4.302780,2.966626,0.353468,2.257061
1920,3.507598,4.425252,2.842109,4.358005,2.285347
1921,3.076038,4.526540,2.745608,3.922635,2.314842
1922,3.226445,4.568536,2.685684,1.642334,2.324167
1923,3.661081,4.591486,2.663894,3.967896,2.353112
1924,3.672399,4.604175,2.669341,1.601384,2.361979
1925,3.712868,4.660597,2.687241,3.176904,2.388745
1926,3.645190,4.656209,2.733156,0.191821,2.396567
1927,3.981433,4.648239,2.791524,3.933412,2.403566
1928,3.962553,4.659204,2.857674,0.556066,2.428298
1929,4.255151,4.661702,2.898142,1.579831,2.433006
1930,3.923058,4.765491,2.902033,2.219953,2.438337
1931,3.497335,4.861890,2.899698,-0.696160,2.443357
1932,3.152407,4.905990,2.895029,2.566955,2.463747
1933,3.319615,4.957103,2.885690,2.094946,2.466385
1934,3.609576,5.014255,2.870904,2.446259,2.467942
1935,3.786787,5.004215,2.839774,1.508706,2.469298
1936,4.160794,5.027956,2.781407,1.069026,2.469261
1937,4.447214,5.032669,2.708253,1.079802,2.468712
1938,4.182643,5.067150,2.617978,1.719925,2.467429
1939,4.424764,5.073083,2.463109,4.866654,2.466806
1940,4.837459,5.258444,2.224970,3.325619,2.466990
1941,4.945976,5.352161,1.918346,0.814701,2.447662
1942,4.927368,5.356855,1.575923,3.357948,2.448834
1943,5.011523,5.343944,1.225718,3.465713,2.450648
1944,5.095465,5.325220,0.951780,0.209064,2.454330
1945,4.235568,5.291821,0.786016,1.754409,2.459405
1946,4.622146,5.261854,0.746326,1.062560,2.485383
1947,5.117104,5.226998,0.789129,3.914014,2.495495
1948,5.385825,5.158000,0.917537,3.810560,2.524569
1949,5.225718,5.088511,1.112096,1.857864,2.539445
1950,5.983231,5.445868,1.329223,7.293515,2.574125
1951,6.357228,5.623022,1.536233,2.672565,2.609977
1952,6.441047,5.832846,1.760364,-0.480631,2.668858
1953,6.620345,5.970608,2.009399,3.379501,2.728361
1954,6.759786,6.163262,2.283337,2.909647,2.773080
1955,7.409829,6.371054,2.566614,6.711586,2.820071
1956,7.887777,6.590895,2.842887,8.481082,2.869975
1957,8.146536,6.778724,3.193092,2.618682,2.905424
1958,8.375835,6.990010,6.354016,-0.273722,2.959834
1959,8.809715,6.761981,7.471043,1.450513,3.363633
1960,9.336228,6.791999,5.525459,4.237308,3.294407
1961,9.363505,6.822809,6.070222,2.239351,2.762875
1962,9.691905,6.560754,4.358108,4.232998,2.932551
1963,10.209739,6.052422,4.435932,3.885995,3.594861
1964,10.761252,5.730903,3.813345,5.683511,4.310023
1965,11.245836,5.192520,8.560570,1.049628,4.656730
1966,11.789229,4.942244,8.560570,4.935624,4.542963
1967,12.162612,5.027824,4.747225,5.987407,4.050425
1968,12.823689,5.054606,7.704513,8.808687,4.079028
1969,13.675093,4.735443,10.272684,2.129431,4.385888
1970,14.800508,4.713789,8.794040,1.875106,4.001269
1971,15.395706,4.664764,5.681105,8.873346,4.202167
1972,16.109454,4.676369,11.440034,4.157562,5.078692
1973,16.959307,4.538366,11.362211,5.922748,4.910776
1974,16.887232,4.368462,5.291988,13.815435,4.625341
1975,16.921539,5.191953,9.572273,8.970334,4.418610
1976,17.851823,4.770264,7.548866,10.750607,4.874531
1977,18.353594,4.643330,14.942085,5.892574,5.306718
1978,18.917135,4.228091,10.039213,9.726842,5.475102
1979,19.453935,4.252958,16.654199,4.998127,5.153834
1980,19.331908,4.143886,13.307795,1.663887,6.107248
1981,18.862980,4.314896,9.027510,8.211671,6.107363
1982,18.708732,4.233685,7.626689,5.642560,6.653121
1983,18.825431,4.661190,14.397322,1.066871,7.162683
1984,19.478804,5.172877,9.572273,9.782880,6.743191
1985,20.134428,4.901381,12.763031,9.334579,6.314582
1986,20.427863,4.828224,7.782336,7.918551,6.426838
1987,21.065415,4.630071,20.701014,1.396631,6.778559
1988,21.888607,4.503999,16.965492,7.590946,6.478015
1989,22.194187,4.353715,11.517857,12.502861,6.368902
1990,22.538880,4.299178,9.338803,8.155633,7.026112
1991,23.014403,4.212086,5.836752,7.414212,7.341985
1992,22.342763,4.391597,5.525459,7.780612,7.942036
1993,22.561057,4.293192,9.650097,10.319548,7.761491
1994,22.708786,4.814919,12.918678,5.439962,7.241858
1995,23.184039,4.766209,15.486849,5.825760,7.147740
1996,23.874380,4.841018,8.249276,11.218306,7.152542
1997,24.009312,6.670643,15.409025,11.205374,7.580603
1998,23.911459,5.134418,22.101834,5.752480,7.824585
1999,24.213276,5.073022,10.428330,12.388631,7.137306
2000,24.916272,4.537287,9.650097,12.884348,6.856637
2001,25.122698,4.164914,14.319498,8.804376,6.564320
2002,25.693330,4.718125,18.521960,3.739435,7.803382
2003,26.995251,5.093357,17.821549,7.929327,8.302011
2004,28.230178,4.576294,12.062621,11.936019,8.101011
2005,29.177553,4.099913,19.144547,6.873233,8.227056
2006,30.120470,4.639984,13.852558,10.770005,8.596097
2007,30.994664,4.046596,16.498552,9.636320,8.490242
2008,31.552939,4.138871,13.774735,12.304574,8.453267
2009,31.063547,4.529241,12.296091,9.789346,8.971048
2010,32.765864,4.278861,18.755430,11.384264,8.942367
2011,33.843633,4.831138,13.152148,14.440471,9.124057
2012,34.323528,4.676440,18.755430,8.761271,9.344031
2013,34.601537,4.316789,18.988900,11.936019,9.532996
2014,34.822933,4.563695,15.953789,13.205487,9.969670
2015,34.777474,4.766906,22.957891,7.864668,10.204436
2016,34.722934,3.703575,22.024011,10.259200,10.750743
2017,35.179404,3.662879,16.732022,12.914522,10.402902
2018,35.873565,3.857539,18.755430,12.261468,10.653781
2019,35.913653,3.825411,19.767133,9.864781,10.896643
2020,34.005671,3.209993,18.366313,10.716122,10.973427
