"Year","China","USA","EU27","India","Russia","Japan","United Kingdom","All others"
1881,0,18.130905,36.809150,0.082432,0.495277,0.092428,43.401329,0.988479
1882,0,18.549610,36.846479,0.091451,0.526040,0.102841,42.837176,1.046403
1883,0,18.965184,36.890906,0.100574,0.559234,0.112880,42.262892,1.108329
1884,0,19.399296,36.928039,0.110237,0.589301,0.123103,41.677998,1.172026
1885,0,19.803647,36.971147,0.117390,0.621117,0.134265,41.118735,1.233700
1886,0,20.227814,36.989450,0.125290,0.650724,0.145467,40.569634,1.291622
1887,0,20.654971,37.002205,0.133496,0.679172,0.159331,40.014578,1.356246
1888,0,21.230770,36.958008,0.141718,0.703689,0.174087,39.365205,1.426523
1889,0,21.584081,37.018349,0.151728,0.730351,0.191984,38.833686,1.489821
1890,0,22.076871,37.022305,0.161734,0.759012,0.209279,38.220290,1.550509
1891,0,22.566755,37.015542,0.171655,0.789410,0.229574,37.609423,1.617640
1892,0,23.082660,36.966136,0.182252,0.820350,0.247579,37.016776,1.684246
1893,0,23.575540,36.971417,0.192979,0.860379,0.265753,36.373399,1.760532
1894,0,23.890075,37.002233,0.202669,0.896788,0.289984,35.884154,1.834097
1895,0,24.285734,36.982362,0.215424,0.938332,0.315029,35.354670,1.908448
1896,0,24.612710,37.006760,0.228435,0.976159,0.339411,34.853218,1.983307
1897,0,24.914569,37.047376,0.241651,1.020633,0.362685,34.353005,2.060082
1898,0,25.252512,37.068786,0.255482,1.068999,0.393137,33.817680,2.143405
1899,0.000249,25.665322,37.025002,0.269418,1.123113,0.419230,33.265867,2.231800
1900,0.000237,26.066956,36.998498,0.286023,1.182654,0.447119,32.695350,2.323164
1901,0.000225,26.530153,36.912131,0.303593,1.237692,0.480841,32.107102,2.428264
1902,0.000430,27.017047,36.761441,0.322212,1.282606,0.514672,31.572029,2.529564
1903,0.004623,27.628387,36.576261,0.338416,1.316040,0.545092,30.966219,2.624961
1904,0.008680,28.143137,36.417782,0.356540,1.355930,0.579080,30.404427,2.734425
1905,0.012746,28.733084,36.244215,0.372695,1.377887,0.609993,29.817724,2.831657
1906,0.043910,29.294213,36.035235,0.391377,1.406229,0.642091,29.246720,2.940225
1907,0.071352,29.926200,35.837466,0.409894,1.434264,0.671247,28.594220,3.055357
1908,0.106212,30.299042,35.782051,0.432673,1.462838,0.703160,28.036578,3.177446
1909,0.134685,30.765216,35.656982,0.451388,1.491290,0.731929,27.486436,3.282073
1910,0.157105,31.284993,35.493930,0.466442,1.512199,0.758250,26.932572,3.394509
1911,0.190676,31.714518,35.345957,0.481672,1.533190,0.788660,26.423485,3.521841
1912,0.195737,32.160114,35.239044,0.499802,1.560506,0.821859,25.869963,3.652975
1913,0.200948,32.584580,35.126683,0.518477,1.587832,0.855898,25.331487,3.794094
1914,0.212095,32.948802,34.958378,0.538005,1.610068,0.895304,24.924138,3.913210
1915,0.223698,33.363365,34.722334,0.558083,1.624618,0.925797,24.569178,4.012927
1916,0.235968,33.826900,34.457164,0.575438,1.638128,0.958032,24.190320,4.118050
1917,0.249003,34.367003,34.143661,0.592133,1.641751,0.996123,23.792071,4.218255
1918,0.262471,34.967580,33.812393,0.612597,1.606071,1.036253,23.399406,4.303229
1919,0.279686,35.415201,33.462166,0.638470,1.576950,1.086766,23.136761,4.404000
1920,0.296914,35.919093,33.144905,0.651186,1.540005,1.123500,22.790561,4.533835
1921,0.312828,36.233120,33.021330,0.668448,1.513581,1.155269,22.415008,4.680417
1922,0.328620,36.487764,32.880638,0.683135,1.490879,1.187879,22.133374,4.807710
1923,0.347181,37.005180,32.529689,0.695137,1.466061,1.217784,21.805495,4.933472
1924,0.367118,37.307963,32.356165,0.708657,1.447447,1.248679,21.515686,5.048286
1925,0.384038,37.630021,32.192367,0.720597,1.429143,1.279468,21.214105,5.150261
1926,0.397092,38.077365,32.028598,0.732091,1.425010,1.309582,20.772916,5.257345
1927,0.411447,38.358307,31.886080,0.742455,1.426546,1.339840,20.480951,5.354374
1928,0.425424,38.602388,31.777439,0.750862,1.433304,1.370692,20.187390,5.452501
1929,0.438872,38.846117,31.688918,0.758319,1.440260,1.398463,19.884780,5.544270
1930,0.454136,39.009057,31.600489,0.767695,1.468924,1.421556,19.634683,5.643461
1931,0.471626,39.093566,31.531446,0.776321,1.514278,1.441745,19.436181,5.734837
1932,0.488280,39.109566,31.459721,0.784515,1.571399,1.464550,19.282816,5.839153
1933,0.506111,39.142464,31.374037,0.790988,1.634597,1.493837,19.111543,5.946424
1934,0.526857,39.155977,31.279137,0.798396,1.711935,1.525454,18.931749,6.070496
1935,0.551436,39.159824,31.182747,0.805681,1.798579,1.557145,18.742444,6.202144
1936,0.578138,39.210840,31.044842,0.810224,1.894983,1.590180,18.533782,6.337012
1937,0.599620,39.238176,30.943082,0.815795,1.986018,1.623923,18.312063,6.481323
1938,0.617805,39.159493,30.903354,0.825582,2.083205,1.662291,18.119466,6.628804
1939,0.641124,39.120074,30.843106,0.833067,2.174251,1.693998,17.912846,6.781534
1940,0.672512,39.107290,30.742835,0.839909,2.283460,1.734602,17.688016,6.931375
1941,0.713709,39.165109,30.618834,0.846576,2.365317,1.772697,17.461649,7.056109
1942,0.756140,39.307573,30.515125,0.852946,2.378747,1.805256,17.248828,7.135384
1943,0.787297,39.464140,30.409229,0.854979,2.393682,1.836813,17.032173,7.221687
1944,0.816807,39.684559,30.198642,0.857086,2.440953,1.859855,16.813033,7.329065
1945,0.824670,40.023164,29.802856,0.865396,2.502861,1.858696,16.664524,7.457833
1946,0.821262,40.220705,29.541405,0.871376,2.571086,1.842314,16.499791,7.632062
1947,0.817160,40.422684,29.290409,0.875465,2.654927,1.830606,16.315579,7.793169
1948,0.807696,40.608769,29.063527,0.878259,2.740479,1.825575,16.126468,7.949225
1949,0.815438,40.624963,28.921197,0.882909,2.844201,1.826806,15.962457,8.122029
1950,0.828675,40.670388,28.718111,0.886529,2.952054,1.823649,15.759817,8.360777
1951,0.849890,40.680685,28.544773,0.889778,3.064315,1.826713,15.561577,8.582269
1952,0.880505,40.647489,28.394400,0.893960,3.182758,1.831867,15.361469,8.807552
1953,0.911188,40.611074,28.242480,0.897777,3.303863,1.841650,15.165351,9.026618
1954,0.950471,40.504680,28.120956,0.902356,3.435243,1.848588,14.976210,9.261496
1955,0.996630,40.394269,27.986170,0.906871,3.579432,1.850238,14.768967,9.517424
1956,1.047807,40.266707,27.855055,0.910568,3.731602,1.855480,14.546085,9.786696
1957,1.109498,40.099636,27.726718,0.916811,3.894971,1.868610,14.321129,10.062627
1958,1.261333,39.878343,27.577771,0.923413,4.063536,1.877015,14.092552,10.326038
1959,1.469089,39.639338,27.406468,0.930167,4.230220,1.886025,13.853037,10.585656
1960,1.687746,39.366791,27.249567,0.938153,4.390960,1.904374,13.616031,10.846378
1961,1.819837,39.103481,27.131323,0.948481,4.550431,1.937564,13.393465,11.115418
1962,1.907630,38.848707,27.040233,0.961004,4.709724,1.969905,13.171656,11.391141
1963,1.986268,38.588206,26.960102,0.974236,4.872873,2.006836,12.945680,11.665799
1964,2.057957,38.321199,26.879147,0.984204,5.037051,2.048169,12.713868,11.958407
1965,2.133523,38.056231,26.775528,0.996210,5.202736,2.091882,12.483042,12.260847
1966,2.214545,37.797964,26.660394,1.007512,5.367836,2.138648,12.247019,12.566083
1967,2.264578,37.553917,26.542305,1.017137,5.531795,2.198835,12.006945,12.884490
1968,2.316554,37.296155,26.430834,1.028121,5.684946,2.269972,11.765527,13.207891
1969,2.387922,37.024427,26.319865,1.037031,5.829406,2.354178,11.520526,13.526643
1970,2.495715,36.744043,26.178806,1.043564,5.965140,2.453637,11.266975,13.852121
1971,2.615805,36.438437,26.031839,1.050555,6.103383,2.549328,11.017377,14.193277
1972,2.736436,36.141933,25.882300,1.057827,6.239756,2.646535,10.764935,14.530278
1973,2.851943,35.845600,25.733004,1.063940,6.369483,2.745244,10.513195,14.877592
1974,2.963825,35.541399,25.593807,1.071170,6.504134,2.837419,10.271901,15.216346
1975,3.098782,35.226789,25.447554,1.081489,6.646861,2.914021,10.043436,15.541070
1976,3.227373,34.921689,25.318376,1.091193,6.781519,2.987641,9.811349,15.860861
1977,3.365434,34.630477,25.166741,1.101846,6.912604,3.058288,9.586761,16.177849
1978,3.517976,34.332565,25.022822,1.111399,7.039829,3.115365,9.367506,16.492538
1979,3.662693,34.034007,24.884076,1.121545,7.154836,3.174608,9.161031,16.807204
1980,3.793432,33.728186,24.753270,1.133835,7.277193,3.229222,8.958914,17.125949
1981,3.915940,33.447160,24.614535,1.149992,7.390832,3.279934,8.773206,17.428400
1982,4.052558,33.153217,24.475530,1.167098,7.505637,3.323765,8.598734,17.723461
1983,4.193906,32.867362,24.333425,1.187101,7.616996,3.361913,8.432338,18.006957
1984,4.345401,32.600323,24.180873,1.206185,7.717356,3.402922,8.264814,18.282125
1985,4.506118,32.316250,24.022306,1.228218,7.829163,3.434773,8.103468,18.559705
1986,4.670574,32.036296,23.860409,1.252492,7.931299,3.463327,7.949189,18.836414
1987,4.842429,31.766182,23.691355,1.278234,8.022194,3.485890,7.797131,19.116587
1988,5.021302,31.506182,23.500223,1.305894,8.109005,3.514262,7.644999,19.398133
1989,5.192845,31.259145,23.315669,1.337745,8.183764,3.544283,7.499999,19.666551
1990,5.355166,31.010357,23.136250,1.371888,8.266418,3.588079,7.362289,19.909553
1991,5.519959,30.750362,22.945451,1.407847,8.323934,3.628729,7.228868,20.194848
1992,5.694897,30.541520,22.767993,1.447700,8.333265,3.671188,7.106509,20.436930
1993,5.881096,30.346810,22.585811,1.487600,8.328608,3.709641,6.986978,20.673456
1994,6.076647,30.166823,22.406876,1.529550,8.298314,3.751600,6.871857,20.898332
1995,6.287164,29.986684,22.230425,1.573488,8.262027,3.790782,6.758015,21.111415
1996,6.497789,29.813404,22.055394,1.620806,8.217949,3.826428,6.647192,21.321037
1997,6.697595,29.652172,21.879013,1.669002,8.163978,3.859013,6.538248,21.540980
1998,6.873143,29.506155,21.712449,1.716814,8.111711,3.886353,6.435792,21.757582
1999,7.037153,29.365310,21.541675,1.769097,8.062205,3.914791,6.335632,21.974137
2000,7.197019,29.230796,21.365351,1.820275,8.008079,3.941366,6.236528,22.200585
2001,7.354928,29.086823,21.198450,1.869929,7.958317,3.964505,6.141687,22.425360
2002,7.534184,28.937809,21.028076,1.919025,7.905515,3.987106,6.046522,22.641764
2003,7.756024,28.767397,20.848410,1.966771,7.848528,4.004645,5.949745,22.858479
2004,8.017651,28.582603,20.655584,2.015765,7.786145,4.016530,5.851279,23.074445
2005,8.315136,28.385016,20.453514,2.065802,7.721833,4.025138,5.752586,23.280974
2006,8.641727,28.167373,20.245707,2.117778,7.659336,4.028145,5.653943,23.485991
2007,8.985131,27.946347,20.030040,2.173534,7.594184,4.030930,5.555415,23.684419
2008,9.348053,27.706659,19.809349,2.233750,7.531395,4.026182,5.458138,23.886474
2009,9.726460,27.455069,19.584031,2.303325,7.466063,4.017792,5.363667,24.083592
2010,10.128469,27.194822,19.351801,2.371396,7.400504,4.008452,5.268147,24.276409
2011,10.568791,26.915240,19.107917,2.441611,7.335913,3.999934,5.169952,24.460642
2012,11.001137,26.625459,18.863959,2.520528,7.272933,3.993325,5.076031,24.646627
2013,11.422341,26.353500,18.622234,2.600146,7.207254,3.986830,4.984898,24.822797
2014,11.823627,26.093382,18.379747,2.685587,7.143713,3.976473,4.894656,25.002815
2015,12.197295,25.836150,18.152611,2.772552,7.083368,3.964035,4.807704,25.186284
2016,12.545913,25.583448,17.936842,2.862952,7.025701,3.951009,4.723388,25.370746
2017,12.887701,25.331947,17.726974,2.951683,6.970291,3.936405,4.640717,25.554283
2018,13.231256,25.090799,17.514060,3.045368,6.917053,3.917948,4.559335,25.724181
2019,13.571223,24.852249,17.301745,3.136382,6.865200,3.897910,4.480623,25.894667
2020,13.922538,24.619524,17.099395,3.216177,6.817182,3.878644,4.407926,26.038613
